,Points:0,Points:1,Points:2,U:0,U:1,U:2
0,-0.051881,-0.2,-0.12404000000000001,0.021578999999999127,-0.005495199999999922,-0.0532967000000002
1,-0.055958,-0.2,-0.13364,-0.03964269999999903,-0.010323200000000643,0.04280029999999968
2,-0.033694,-0.2,-0.13015,0.5702179999999988,0.08175950000000043,0.017386600000000474
3,-0.036362,-0.2,-0.14023,0.5596189999999996,0.10273500000000002,0.02079169999999997
4,-0.047803,-0.2,-0.11442999999999999,0.23912300000000108,0.08204010000000017,-0.15387170000000028
5,-0.031025999999999998,-0.2,-0.12005999999999999,0.31647400000000125,0.024229600000000184,0.013073299999999843
6,-0.043726,-0.2,-0.10482999999999999,0.2870720000000002,0.02053780000000005,-0.1663669999999997
7,-0.028359,-0.2,-0.10998,0.08311599999999864,-0.0008168000000000619,-0.01015229999999967
8,-0.039648,-0.2,-0.09522,0.2784880000000012,-0.03631580000000001,-0.11360320000000002
9,-0.025691000000000002,-0.2,-0.099892,0.18253400000000042,0.014614670000000052,-0.03900699999999979
10,-0.035571,-0.2,-0.085615,0.18604500000000002,0.005906999999999996,-0.048504000000000325
11,-0.023023,-0.2,-0.089806,0.14167400000000185,0.021635999999999878,-0.014033399999999752
12,-0.031809,-0.2,-0.076752,0.0750479999999989,-0.010943999999999954,0.0008859999999999424
13,-0.020562,-0.2,-0.080501,0.02892199999999967,-0.0003836699999999471,0.02311469999999982
14,-0.016036,-0.2,-0.14400000000000002,0.03614299999999915,0.0821357000000007,-0.0038927499999999726
15,-0.014831,-0.2,-0.13364,-0.07942099999999996,0.026934600000000142,0.011542199999999947
16,-0.013626,-0.2,-0.12327,-0.42559099999999894,-0.05481040000000004,0.054475700000000016
17,-0.01242,-0.2,-0.11291,-0.8675870000000003,-0.053368729999999975,0.056089500000000014
18,-0.011215000000000001,-0.2,-0.10254,-0.4361739999999994,0.026779999999999915,-0.020259599999999933
19,-0.01001,-0.2,-0.09218,-0.05443099999999923,-0.0060312500000000435,-0.05207644999999994
20,-0.0088985,-0.2,-0.082618,0.0592649999999999,-0.011898769999999947,-0.028005169999999913
21,0.0046186000000000005,-0.2,-0.14479,0.09655000000000058,0.11500449999999995,0.005306040000000012
22,0.004336199999999999,-0.2,-0.13437000000000002,0.17460499999999968,0.07948680000000019,-0.00023560000000000247
23,0.0040539,-0.2,-0.12394000000000001,0.2492460000000012,0.026247300000000306,-0.005615339999999969
24,0.0037715000000000005,-0.2,-0.11352000000000001,0.14061399999999935,-0.02208729999999992,-0.017341600000000068
25,0.0034891999999999996,-0.2,-0.10309000000000001,-0.4065580000000004,0.051099300000000014,-0.01893239999999996
26,0.0032069000000000004,-0.2,-0.092668,-0.011181000000000552,0.028231500000000076,-0.004484999999999961
27,0.0029463000000000002,-0.2,-0.08305,0.15119999999999933,-0.010526230000000025,-0.01635719999999996
28,0.025192,-0.2,-0.14274,0.4160104000000011,0.1468875999999999,0.07240899999999995
29,0.023426,-0.2,-0.13246,0.42315700000000156,0.1214814999999998,0.05978379999999994
30,0.021661,-0.2,-0.12217,0.3655229999999996,0.07121330000000015,0.040228199999999825
31,0.019895,-0.2,-0.11188,0.21657100000000007,0.005914100000000033,0.011809999999999654
32,0.01813,-0.2,-0.10159,-0.28260799999999797,0.010263400000000034,-0.048108700000000226
33,0.016364,-0.2,-0.091307,-0.09382100000000015,0.03793330000000006,0.004283500000000107
34,0.014735,-0.2,-0.081816,0.10637599999999914,0.018617580000000022,-0.03747949999999989
