"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-8.625802,-2.5372226,4.2967415,-0.064555,-0.2,-0.11792000000000001
-7.9989996,-2.7905593,3.6740777,-0.069613,-0.2,-0.12704000000000001
-9.5170145,-1.9144263,4.891741,-0.059497,-0.2,-0.10879000000000001
-9.71028,-0.6493345,4.864475,-0.054438,-0.2,-0.09966599999999999
-9.719269,0.65010715,4.9753323,-0.04938,-0.2,-0.09054
-9.726389,1.0423315,4.997735,-0.044322,-0.2,-0.081415
-9.918206,0.7673774,5.150707,-0.039655,-0.2,-0.072996
-7.163963,-2.7388597,4.4782333,-0.082504,-0.2,-0.11905999999999999
-7.982844,-2.5212305,5.2265387,-0.076521,-0.2,-0.11051
-9.009994,-1.9344655,5.9360704,-0.070538,-0.2,-0.10197
-9.263254,-0.6134565,5.93908,-0.064555,-0.2,-0.093421
-9.289879,0.7249161,6.0499125,-0.058571000000000005,-0.2,-0.084876
-9.267673,1.0912477,6.0888066,-0.052588,-0.2,-0.07633
-9.374359,0.81987756,6.2393413,-0.047068,-0.2,-0.068445
-6.706763,-2.8008666,5.346872,-0.094493,-0.2,-0.10977999999999999
-7.5373898,-2.6044683,6.174438,-0.08765,-0.2,-0.1019
-8.408844,-1.9573574,6.9070582,-0.080808,-0.2,-0.09403099999999999
-8.497159,-0.58266675,6.8506365,-0.073965,-0.2,-0.086158
-8.460292,0.8028281,6.9164276,-0.067123,-0.2,-0.07828500000000001
-8.472299,1.1120496,7.0216494,-0.06027999999999999,-0.2,-0.070412
-8.562056,0.86033475,7.1928773,-0.053967999999999995,-0.2,-0.063149
-6.3013964,-2.9231215,6.103651,-0.10545,-0.2,-0.09929600000000001
-6.98965,-2.6872265,6.938293,-0.09782,-0.2,-0.092181
-7.648418,-1.9496136,7.670303,-0.090192,-0.2,-0.085066
-7.579159,-0.5562611,7.583514,-0.082565,-0.2,-0.07795099999999999
-7.5146675,0.82019645,7.6443243,-0.074937,-0.2,-0.070836
-7.5677876,1.1308565,7.827271,-0.06731000000000001,-0.2,-0.063722
-7.6745243,0.8940438,8.05189,-0.060273,-0.2,-0.05715800000000001
-5.6701884,-2.9773884,6.7098155,-0.11525,-0.2,-0.08772999999999999
-6.2554903,-2.7172062,7.6156235,-0.10692,-0.2,-0.08145
-6.7950377,-1.9445747,8.415291,-0.098587,-0.2,-0.075171
-6.6739783,-0.53115463,8.291784,-0.090258,-0.2,-0.068892
-6.592188,0.789334,8.346501,-0.081929,-0.2,-0.062612
-6.605136,1.144352,8.511933,-0.0736,-0.2,-0.056333
-6.718899,0.918739,8.800922,-0.065916,-0.2,-0.050539999999999995
-4.9474697,-3.0047624,7.3179955,-0.12378,-0.2,-0.075204
-5.448609,-2.7434201,8.306587,-0.11484000000000001,-0.2,-0.069829
-5.8850303,-1.9519466,9.159029,-0.1059,-0.2,-0.064455
-5.7366247,-0.5153994,8.972282,-0.096964,-0.2,-0.059079999999999994
-5.624925,0.8477462,8.967371,-0.088026,-0.2,-0.053704999999999996
-5.596402,1.1489476,9.078041,-0.079087,-0.2,-0.04833
-5.710137,0.9365503,9.455295,-0.070841,-0.2,-0.043371
-11.01125,0.3858373,2.535831,-0.019672,-0.2,-0.077065
-10.580347,0.47465765,4.0311594,-0.030438,-0.2,-0.073476
-10.9927435,0.7006251,4.196297,-0.029067000000000003,-0.2,-0.0702
-11.437591,0.58730716,2.6366076,-0.018782,-0.2,-0.073629
-11.636502,1.5342999,4.362714,-0.027696,-0.2,-0.066924
-12.135886,1.4133582,2.7178247,-0.017891999999999998,-0.2,-0.07019299999999999
-11.098193,0.27801913,0.8615651,-0.0085068,-0.2,-0.07909
-11.4538965,0.43747708,0.9041781,-0.008115100000000002,-0.2,-0.075562
-12.14674,1.2321831,0.8847173,-0.0077235,-0.2,-0.072034
-10.974389,0.17826626,-0.733545,0.0028318,-0.2,-0.07950399999999999
-11.325794,0.28821397,-0.74193966,0.0027174,-0.2,-0.075959
-12.064626,1.0593362,-0.8744734,0.0026030000000000003,-0.2,-0.072413
-10.712884,0.08917097,-2.321395,0.014116,-0.2,-0.078316
-11.075654,0.14375857,-2.3800514,0.013497,-0.2,-0.074816
-11.868149,0.8696226,-2.6309478,0.012877000000000001,-0.2,-0.071315
-10.085199,-0.014080592,-3.6716413,0.025106,-0.2,-0.075495
-10.377597,-0.009854317,-3.774106,0.023997,-0.2,-0.072126
-11.215696,0.6797542,-4.1472645,0.022889,-0.2,-0.068758
-9.438723,-0.1066237,-4.910137,0.035588999999999996,-0.2,-0.071156
-9.643518,-0.13359877,-5.0148067,0.034010000000000006,-0.2,-0.067976
-10.387743,0.56833977,-5.4628797,0.032431,-0.2,-0.06479700000000001
-8.623997,-0.20681368,-6.0713353,0.04534,-0.2,-0.065357
-8.790695,-0.2705973,-6.176452,0.043327,-0.2,-0.062437
-9.424172,0.35887942,-6.6518135,0.041314,-0.2,-0.059516999999999994
-7.7332373,-0.30463418,-7.236532,0.054172000000000005,-0.2,-0.058235
-7.856207,-0.41255158,-7.334552,0.051766,-0.2,-0.055635000000000004
-8.372418,0.17095427,-7.810062,0.04936,-0.2,-0.053034000000000005
-6.8001757,-0.4219066,-8.352977,0.061935000000000004,-0.2,-0.049958999999999996
-6.855909,-0.4883379,-8.426719,0.059172,-0.2,-0.047718
-7.260571,0.0030689028,-8.88883,0.056409,-0.2,-0.045477
-5.642034,-0.5548394,-9.149178,0.068381,-0.2,-0.040619999999999996
