"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-6.5561,-1.8655,2.3932,79.809,-0.051881,-0.2,-0.12404
-5.8089,-2.0044,1.8829,82.306,-0.055958,-0.2,-0.13364
-6.769,-1.8294,1.4836,80.017,-0.033694,-0.2,-0.13015
-5.984,-1.9561,1.053,82.458,-0.036362,-0.2,-0.14023
-7.3435,-1.4506,2.8244,74.654,-0.047803,-0.2,-0.11443
-7.6,-1.4459,1.8195,74.952,-0.031026,-0.2,-0.12006
-7.3777,-0.56419,2.7743,69.083,-0.043726,-0.2,-0.10483
-7.6479,-0.59729,1.7537,69.419,-0.028359,-0.2,-0.10998
-7.3592,0.41097,2.7886,63.036,-0.039648,-0.2,-0.09522
-7.6413,0.36316,1.7761,63.402,-0.025691,-0.2,-0.099892
-7.3346,0.69283,2.7539,56.425,-0.035571,-0.2,-0.085615
-7.6215,0.64328,1.7412,56.864,-0.023023,-0.2,-0.089806
-7.459,0.5164,2.8048,50.268,-0.031809,-0.2,-0.076752
-7.7407,0.45876,1.7562,50.797,-0.020562,-0.2,-0.080501
-6.0557,-1.8954,0.1609,82.773,-0.016036,-0.2,-0.144
-6.8633,-1.7833,0.49557,80.352,-0.014831,-0.2,-0.13364
-7.7201,-1.4364,0.71917,75.374,-0.013626,-0.2,-0.12327
-7.7842,-0.63248,0.63389,69.927,-0.01242,-0.2,-0.11291
-7.7962,0.30855,0.66281,63.967,-0.011215,-0.2,-0.10254
-7.7797,0.58542,0.63005,57.5,-0.01001,-0.2,-0.09218
-7.8883,0.3941,0.61876,51.514,-0.0088985,-0.2,-0.082618
-5.9804,-1.8265,-0.72766,83.149,0.0046186,-0.2,-0.14479
-6.8029,-1.7313,-0.49149,80.72,0.0043362,-0.2,-0.13437
-7.6768,-1.425,-0.38076,75.789,0.0040539,-0.2,-0.12394
-7.7544,-0.66847,-0.4869,70.417,0.0037715,-0.2,-0.11352
-7.789,0.25265,-0.45427,64.524,0.0034892,-0.2,-0.10309
-7.7767,0.52629,-0.48048,58.141,0.0032069,-0.2,-0.092668
-7.8684,0.32964,-0.50947,52.234,0.0029463,-0.2,-0.08305
-5.7944,-1.7519,-1.6019,83.389,0.025192,-0.2,-0.14274
-6.6156,-1.6742,-1.4625,80.972,0.023426,-0.2,-0.13246
-7.4848,-1.4085,-1.4597,76.115,0.021661,-0.2,-0.12217
-7.5641,-0.69855,-1.5838,70.841,0.019895,-0.2,-0.11188
-7.6181,0.20078,-1.5473,65.039,0.01813,-0.2,-0.10159
-7.6161,0.46784,-1.5649,58.767,0.016364,-0.2,-0.091307
-7.6925,0.26518,-1.6052,52.939,0.014735,-0.2,-0.081816
-5.5081,-1.6737,-2.3933,83.471,0.045214,-0.2,-0.13759
-6.3061,-1.614,-2.3717,81.118,0.042006,-0.2,-0.12768
-7.149,-1.388,-2.4922,76.383,0.038798,-0.2,-0.11776
-7.2262,-0.72145,-2.6305,71.215,0.03559,-0.2,-0.10784
-7.2972,0.15434,-2.5943,65.512,0.032382,-0.2,-0.097928
-7.3099,0.40964,-2.6048,59.331,0.029174,-0.2,-0.088012
-7.3709,0.19797,-2.6516,53.541,0.026215,-0.2,-0.078863
-5.1201,-1.5941,-3.1069,83.523,0.064364,-0.2,-0.12982
-5.8782,-1.553,-3.2133,81.249,0.059772,-0.2,-0.12045
-6.6771,-1.3661,-3.4633,76.628,0.05518,-0.2,-0.11108
-6.7519,-0.73918,-3.6124,71.538,0.050588,-0.2,-0.10171
-6.8403,0.11211,-3.5807,65.904,0.045996,-0.2,-0.092346
-6.8686,0.34957,-3.5868,59.765,0.041404,-0.2,-0.082978
-6.9149,0.12546,-3.6295,53.994,0.037167,-0.2,-0.074335
-4.6538,-1.5167,-3.7913,83.508,0.082161,-0.2,-0.11931
