"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-6.8322,-1.9379,2.4945,86.821,-0.051881,-0.2,-0.12404
-6.0521,-2.0817,1.9623,89.531,-0.055958,-0.2,-0.13364
-7.0543,-1.9002,1.5465,87.046,-0.033694,-0.2,-0.13015
-6.2348,-2.0313,1.0977,89.697,-0.036362,-0.2,-0.14023
-7.6547,-1.5069,2.9445,81.221,-0.047803,-0.2,-0.11443
-7.9221,-1.5019,1.8969,81.545,-0.031026,-0.2,-0.12006
-7.6914,-0.58296,2.8933,75.166,-0.043726,-0.2,-0.10483
-7.9731,-0.61736,1.8293,75.532,-0.028359,-0.2,-0.10998
-7.6741,0.43186,2.9091,68.593,-0.039648,-0.2,-0.09522
-7.9683,0.38206,1.8532,68.99,-0.025691,-0.2,-0.099892
-7.6503,0.72226,2.8735,61.4,-0.035571,-0.2,-0.085615
-7.9495,0.6706,1.8172,61.876,-0.023023,-0.2,-0.089806
-7.7808,0.53693,2.9272,54.699,-0.031809,-0.2,-0.076752
-8.0747,0.47686,1.8333,55.275,-0.020562,-0.2,-0.080501
-6.3099,-1.9681,0.16793,90.039,-0.016036,-0.2,-0.144
-7.1528,-1.8523,0.51676,87.41,-0.014831,-0.2,-0.13364
-8.0474,-1.492,0.74993,82.003,-0.013626,-0.2,-0.12327
-8.1153,-0.65394,0.66168,76.083,-0.01242,-0.2,-0.11291
-8.1298,0.32517,0.69218,69.603,-0.011215,-0.2,-0.10254
-8.1145,0.61031,0.6581,62.567,-0.01001,-0.2,-0.09218
-8.2287,0.40947,0.64667,56.054,-0.0088985,-0.2,-0.082618
-6.2319,-1.8965,-0.75819,90.448,0.0046186,-0.2,-0.14479
-7.0902,-1.7982,-0.51209,87.811,0.0043362,-0.2,-0.13437
-8.0025,-1.4802,-0.39671,82.454,0.0040539,-0.2,-0.12394
-8.0844,-0.69145,-0.50697,76.616,0.0037715,-0.2,-0.11352
-8.1224,0.26692,-0.47287,70.208,0.0034892,-0.2,-0.10309
-8.1114,0.54873,-0.50034,63.264,0.0032069,-0.2,-0.092668
