"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-16.411,-4.4755,6.0011,514.85,-0.051881,-0.2,-0.12404
-14.487,-4.7865,4.7149,530.37,-0.055958,-0.2,-0.13364
-16.952,-4.3847,3.7236,516.1,-0.033694,-0.2,-0.13015
-14.936,-4.6644,2.642,531.29,-0.036362,-0.2,-0.14023
-18.446,-3.4751,7.0985,482.52,-0.047803,-0.2,-0.11443
-19.092,-3.4609,4.5731,484.33,-0.031026,-0.2,-0.12006
-18.551,-1.1927,7.0123,447.34,-0.043726,-0.2,-0.10483
-19.232,-1.2701,4.4435,449.39,-0.028359,-0.2,-0.10998
-18.568,1.2117,7.0837,409.01,-0.039648,-0.2,-0.09522
-19.281,1.0944,4.5273,411.25,-0.025691,-0.2,-0.099892
-18.585,1.7703,7.0276,366.63,-0.035571,-0.2,-0.085615
-19.313,1.6482,4.4584,369.36,-0.023023,-0.2,-0.089806
-18.952,1.267,7.1852,326.92,-0.031809,-0.2,-0.076752
-19.669,1.1255,4.5189,330.26,-0.020562,-0.2,-0.080501
-15.13,-4.5155,0.40771,533.28,-0.016036,-0.2,-0.144
-17.199,-4.2723,1.2462,518.2,-0.014831,-0.2,-0.13364
-19.398,-3.4365,1.8068,486.96,-0.013626,-0.2,-0.12327
-19.577,-1.3536,1.6225,452.56,-0.01242,-0.2,-0.11291
-19.672,0.96004,1.7148,414.77,-0.011215,-0.2,-0.10254
-19.714,1.5062,1.6396,373.35,-0.01001,-0.2,-0.09218
-20.044,0.96781,1.6266,334.8,-0.0088985,-0.2,-0.082618
-14.957,-4.3518,-1.822,535.72,0.0046186,-0.2,-0.14479
-17.059,-4.1495,-1.2325,520.57,0.0043362,-0.2,-0.13437
-19.293,-3.4108,-0.96029,489.58,0.0040539,-0.2,-0.12394
-19.507,-1.4421,-1.2027,455.64,0.0037715,-0.2,-0.11352
-19.657,0.82197,-1.1099,418.23,0.0034892,-0.2,-0.10309
-19.705,1.3618,-1.1777,377.36,0.0032069,-0.2,-0.092668
-19.991,0.81123,-1.2432,339.36,0.0029463,-0.2,-0.08305
-14.505,-4.179,-4.0218,537.29,0.025192,-0.2,-0.14274
-16.606,-4.0185,-3.6754,522.17,0.023426,-0.2,-0.13246
-18.819,-3.3758,-3.6769,491.62,0.021661,-0.2,-0.12217
-19.03,-1.5185,-3.9692,458.28,0.019895,-0.2,-0.11188
-19.227,0.69281,-3.8748,421.42,0.01813,-0.2,-0.10159
-19.297,1.219,-3.9289,381.26,0.016364,-0.2,-0.091307
-19.541,0.65418,-4.0308,343.79,0.014735,-0.2,-0.081816
-13.805,-4.0013,-6.0182,537.84,0.045214,-0.2,-0.13759
-15.839,-3.883,-5.9659,523.06,0.042006,-0.2,-0.12768
-17.977,-3.3329,-6.278,493.23,0.038798,-0.2,-0.11776
-18.184,-1.5796,-6.6114,460.57,0.03559,-0.2,-0.10784
-18.419,0.5756,-6.5245,424.32,0.032382,-0.2,-0.097928
-18.518,1.0771,-6.5673,384.75,0.029174,-0.2,-0.088012
-18.722,0.49178,-6.6937,347.53,0.026215,-0.2,-0.078863
-12.848,-3.823,-7.8213,538.22,0.064364,-0.2,-0.12982
-14.767,-3.7484,-8.0886,523.89,0.059772,-0.2,-0.12045
-16.786,-3.2893,-8.7252,494.73,0.05518,-0.2,-0.11108
-16.995,-1.6299,-9.0907,462.54,0.050588,-0.2,-0.10171
-17.268,0.4677,-9.0221,426.71,0.045996,-0.2,-0.092346
-17.398,0.93121,-9.0591,387.39,0.041404,-0.2,-0.082978
-17.561,0.3182,-9.1812,350.34,0.037167,-0.2,-0.074335
-11.688,-3.655,-9.5499,538.17,0.082161,-0.2,-0.11931
-13.452,-3.6234,-10.078,524.27,0.076284,-0.2,-0.11069
-15.296,-3.2522,-10.975,495.75,0.070407,-0.2,-0.10208
-15.489,-1.6754,-11.369,463.96,0.06453,-0.2,-0.093459
-15.796,0.36438,-11.331,428.33,0.058653,-0.2,-0.084842
-15.955,0.77529,-11.359,389.02,0.052776,-0.2,-0.076226
-16.085,0.12702,-11.45,352.29,0.047354,-0.2,-0.068276
-10.286,-3.5037,-11.093,539.27,0.098271,-0.2,-0.10637
-11.863,-3.5155,-11.855,525.36,0.091231,-0.2,-0.098682
-13.506,-3.2311,-12.987,496.79,0.084192,-0.2,-0.090994
-13.686,-1.7271,-13.415,465.01,0.077152,-0.2,-0.083306
-14.023,0.25802,-13.423,429.31,0.070112,-0.2,-0.075617
-14.21,0.60628,-13.421,389.93,0.063073,-0.2,-0.067929
-14.321,-0.083475,-13.468,353.58,0.056578,-0.2,-0.060836
-8.6937,-3.3946,-12.5,539.07,0.11255,-0.2,-0.091419
-10.051,-3.4394,-13.445,525.47,0.10447,-0.2,-0.084797
-11.456,-3.2315,-14.755,497.29,0.09639,-0.2,-0.078175
-11.613,-1.7934,-15.205,465.7,0.08831,-0.2,-0.071553
-11.975,0.14603,-15.252,430.02,0.080231,-0.2,-0.064931
-12.179,0.42657,-15.214,390.67,0.072152,-0.2,-0.058309
-12.287,-0.31052,-15.206,354.71,0.064697,-0.2,-0.0522
-7.0417,-3.3297,-13.703,537.82,0.12426,-0.2,-0.074379
-8.1129,-3.3975,-14.791,524.82,0.11534,-0.2,-0.068986
-9.2059,-3.2475,-16.227,497.42,0.10642,-0.2,-0.063593
-9.3244,-1.8593,-16.684,466.2,0.097498,-0.2,-0.0582
-9.6897,0.032934,-16.769,430.73,0.088577,-0.2,-0.052807
-9.919,0.23593,-16.706,391.58,0.079656,-0.2,-0.047414
-10.046,-0.55192,-16.635,356.05,0.071425,-0.2,-0.042438
-5.2688,-3.2995,-14.569,538.69,0.13364,-0.2,-0.055958
-6.0898,-3.3886,-15.773,525.32,0.12403,-0.2,-0.051886
-6.9188,-3.2913,-17.323,497.55,0.11443,-0.2,-0.047814
-7.0057,-1.941,-17.795,466.46,0.10482,-0.2,-0.043742
-7.3662,-0.08539,-17.908,431.19,0.09521,-0.2,-0.03967
-7.6409,0.049986,-17.825,392.36,0.085602,-0.2,-0.035598
-7.8065,-0.78279,-17.698,357.36,0.076738,-0.2,-0.031841
-15.708,-4.5434,7.9274,514.75,-0.064555,-0.2,-0.11792
-13.902,-4.8865,6.5186,530.39,-0.069613,-0.2,-0.12704
-17.597,-3.467,9.1755,482.11,-0.059497,-0.2,-0.10879
-17.663,-1.1073,9.1145,446.76,-0.054438,-0.2,-0.099666
-17.656,1.3138,9.1737,408.25,-0.04938,-0.2,-0.09054
-17.658,1.8627,9.1525,365.55,-0.044322,-0.2,-0.081415
-18.026,1.3784,9.4116,325.64,-0.039655,-0.2,-0.072996
-13.174,-4.9808,8.1168,530.08,-0.082504,-0.2,-0.11906
-14.846,-4.6051,9.6218,514.67,-0.076521,-0.2,-0.11051
-16.572,-3.4563,10.984,481.98,-0.070538,-0.2,-0.10197
-16.593,-1.0292,10.934,446.35,-0.064555,-0.2,-0.093421
-16.569,1.402,10.98,407.61,-0.058571,-0.2,-0.084876
-16.553,1.9372,11.007,364.91,-0.052588,-0.2,-0.07633
-16.899,1.4738,11.351,325.13,-0.047068,-0.2,-0.068445
-12.302,-5.0693,9.5768,529.51,-0.094493,-0.2,-0.10978
-13.817,-4.6647,11.195,514.14,-0.08765,-0.2,-0.1019
-15.359,-3.4533,12.687,481.25,-0.080808,-0.2,-0.094031
-15.335,-0.96895,12.644,445.44,-0.073965,-0.2,-0.086158
