"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-15.993,-4.3672,5.8482,488.75,-0.051881,-0.2,-0.12404
-14.119,-4.6712,4.5947,503.49,-0.055958,-0.2,-0.13364
-16.52,-4.2787,3.6288,489.93,-0.033694,-0.2,-0.13015
-14.557,-4.5522,2.5747,504.36,-0.036362,-0.2,-0.14023
-17.974,-3.391,6.9173,458.04,-0.047803,-0.2,-0.11443
-18.605,-3.3772,4.4565,459.76,-0.031026,-0.2,-0.12006
-18.076,-1.1659,6.8326,424.64,-0.043726,-0.2,-0.10483
-18.739,-1.2414,4.3297,426.59,-0.028359,-0.2,-0.10998
-18.091,1.1794,6.9018,388.26,-0.039648,-0.2,-0.09522
-18.785,1.0651,4.4111,390.38,-0.025691,-0.2,-0.099892
-18.106,1.7258,6.8465,348.04,-0.035571,-0.2,-0.085615
-18.815,1.6067,4.3436,350.63,-0.023023,-0.2,-0.089806
-18.463,1.2356,6.9995,310.35,-0.031809,-0.2,-0.076752
-19.161,1.0978,4.4021,313.52,-0.020562,-0.2,-0.080501
-14.745,-4.4069,0.39737,506.25,-0.016036,-0.2,-0.144
-16.76,-4.169,1.2147,491.92,-0.014831,-0.2,-0.13364
-18.902,-3.3533,1.7609,462.26,-0.013626,-0.2,-0.12327
-19.076,-1.3227,1.581,429.59,-0.01242,-0.2,-0.11291
-19.167,0.93414,1.6709,393.72,-0.011215,-0.2,-0.10254
-19.206,1.4685,1.5975,354.4,-0.01001,-0.2,-0.09218
-19.526,0.94411,1.5845,317.82,-0.0088985,-0.2,-0.082618
-14.576,-4.2471,-1.7755,508.56,0.0046186,-0.2,-0.14479
-16.624,-4.0492,-1.2008,494.17,0.0043362,-0.2,-0.13437
-18.8,-3.3281,-0.93535,464.75,0.0040539,-0.2,-0.12394
-19.007,-1.4089,-1.1717,432.52,0.0037715,-0.2,-0.11352
-19.152,0.79959,-1.0811,397.01,0.0034892,-0.2,-0.10309
-19.197,1.3278,-1.1472,358.22,0.0032069,-0.2,-0.092668
-19.475,0.79156,-1.2112,322.15,0.0029463,-0.2,-0.08305
-14.136,-4.0784,-3.919,510.05,0.025192,-0.2,-0.14274
-16.182,-3.9211,-3.5811,495.69,0.023426,-0.2,-0.13246
-18.338,-3.2938,-3.5824,466.68,0.021661,-0.2,-0.12217
-18.543,-1.4832,-3.8674,435.03,0.019895,-0.2,-0.11188
-18.734,0.67373,-3.7749,400.04,0.01813,-0.2,-0.10159
-18.8,1.1886,-3.8275,361.92,0.016364,-0.2,-0.091307
-19.036,0.63856,-3.9268,326.35,0.014735,-0.2,-0.081816
-13.453,-3.9048,-5.8642,510.57,0.045214,-0.2,-0.13759
-15.435,-3.7887,-5.813,496.53,0.042006,-0.2,-0.12768
-17.517,-3.2516,-6.117,468.21,0.038798,-0.2,-0.11776
-17.718,-1.5425,-6.4417,437.2,0.03559,-0.2,-0.10784
-17.946,0.55954,-6.3565,402.79,0.032382,-0.2,-0.097928
-18.041,1.0504,-6.3978,365.23,0.029174,-0.2,-0.088012
-18.239,0.48032,-6.5209,329.91,0.026215,-0.2,-0.078863
-12.52,-3.7304,-7.6211,510.93,0.064364,-0.2,-0.12982
-14.39,-3.657,-7.8815,497.32,0.059772,-0.2,-0.12045
-16.357,-3.2088,-8.5016,469.64,0.05518,-0.2,-0.11108
-16.56,-1.5914,-8.8575,439.07,0.050588,-0.2,-0.10171
-16.825,0.45444,-8.7899,405.06,0.045996,-0.2,-0.092346
-16.95,0.90819,-8.8254,367.74,0.041404,-0.2,-0.082978
-17.108,0.31118,-8.9442,332.57,0.037167,-0.2,-0.074335
-11.39,-3.5661,-9.3053,510.88,0.082161,-0.2,-0.11931
-13.108,-3.5345,-9.8202,497.69,0.076284,-0.2,-0.11069
-14.905,-3.1722,-10.693,470.61,0.070407,-0.2,-0.10208
-15.092,-1.6355,-11.077,440.42,0.06453,-0.2,-0.093459
-15.39,0.35385,-11.04,406.6,0.058653,-0.2,-0.084842
-15.544,0.75626,-11.065,369.29,0.052776,-0.2,-0.076226
-15.67,0.1249,-11.154,334.43,0.047354,-0.2,-0.068276
-10.024,-3.4178,-10.809,511.93,0.098271,-0.2,-0.10637
-11.56,-3.4288,-11.552,498.72,0.091231,-0.2,-0.098682
-13.161,-3.1511,-12.654,471.59,0.084192,-0.2,-0.090994
-13.336,-1.6855,-13.071,441.42,0.077152,-0.2,-0.083306
-13.664,0.25033,-13.077,407.54,0.070112,-0.2,-0.075617
-13.845,0.59161,-13.075,370.15,0.063073,-0.2,-0.067929
-13.952,-0.080171,-13.121,335.66,0.056578,-0.2,-0.060836
-8.472,-3.3106,-12.179,511.74,0.11255,-0.2,-0.091419
-9.7949,-3.3539,-13.101,498.82,0.10447,-0.2,-0.084797
-11.163,-3.1509,-14.377,472.07,0.09639,-0.2,-0.078175
-11.316,-1.7498,-14.814,442.08,0.08831,-0.2,-0.071553
