"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-6.0042,-1.7215,2.1908,66.682,-0.051881,-0.2,-0.12404
-5.3228,-1.8503,1.7241,68.778,-0.055958,-0.2,-0.13364
-6.1988,-1.6886,1.3578,66.857,-0.033694,-0.2,-0.13015
-5.4826,-1.8062,0.9638,68.906,-0.036362,-0.2,-0.14023
-6.7214,-1.3386,2.5842,62.36,-0.047803,-0.2,-0.11443
-6.9559,-1.3344,1.6645,62.611,-0.031026,-0.2,-0.12006
-6.7501,-0.52579,2.5361,57.697,-0.043726,-0.2,-0.10483
-6.9972,-0.55633,1.6025,57.98,-0.028359,-0.2,-0.10998
-6.7291,0.37053,2.5475,52.641,-0.039648,-0.2,-0.09522
-6.987,0.32668,1.6218,52.948,-0.025691,-0.2,-0.099892
-6.7034,0.6347,2.5146,47.12,-0.035571,-0.2,-0.085615
-6.9655,0.58938,1.5893,47.488,-0.023023,-0.2,-0.089806
-6.8158,0.47569,2.5602,41.981,-0.031809,-0.2,-0.076752
-7.0731,0.42296,1.6023,42.424,-0.020562,-0.2,-0.080501
-5.5475,-1.7506,0.1468,69.17,-0.016036,-0.2,-0.144
-6.2845,-1.6463,0.45315,67.138,-0.014831,-0.2,-0.13364
-7.0655,-1.3257,0.65752,62.965,-0.013626,-0.2,-0.12327
-7.1217,-0.58869,0.57827,58.405,-0.01242,-0.2,-0.11291
-7.1286,0.27663,0.60416,53.422,-0.011215,-0.2,-0.10254
-7.11,0.5364,0.57407,48.021,-0.01001,-0.2,-0.09218
-7.2079,0.36381,0.56314,43.025,-0.0088985,-0.2,-0.082618
-5.4778,-1.6873,-0.66669,69.484,0.0046186,-0.2,-0.14479
-6.2287,-1.5983,-0.45041,67.447,0.0043362,-0.2,-0.13437
-7.0258,-1.3151,-0.34902,63.313,0.0040539,-0.2,-0.12394
-7.0943,-0.62166,-0.44683,58.816,0.0037715,-0.2,-0.11352
-7.1218,0.22542,-0.41696,53.888,0.0034892,-0.2,-0.10309
-7.1073,0.48222,-0.44064,48.558,0.0032069,-0.2,-0.092668
-7.1898,0.3048,-0.46753,43.627,0.0029463,-0.2,-0.08305
-5.3065,-1.6184,-1.4667,69.683,0.025192,-0.2,-0.14274
-6.0565,-1.5455,-1.339,67.657,0.023426,-0.2,-0.13246
-6.8497,-1.2997,-1.3362,63.586,0.021661,-0.2,-0.12217
-6.92,-0.64911,-1.45,59.171,0.019895,-0.2,-0.11188
-6.9656,0.17795,-1.416,54.32,0.01813,-0.2,-0.10159
-6.9607,0.42866,-1.4315,49.082,0.016364,-0.2,-0.091307
-7.0293,0.2458,-1.4684,44.217,0.014735,-0.2,-0.081816
-5.0434,-1.5459,-2.1908,69.751,0.045214,-0.2,-0.13759
-5.7726,-1.4897,-2.1709,67.779,0.042006,-0.2,-0.12768
-6.5422,-1.2804,-2.2808,63.811,0.038798,-0.2,-0.11776
-6.6107,-0.66984,-2.4072,59.485,0.03559,-0.2,-0.10784
-6.6721,0.13552,-2.373,54.717,0.032382,-0.2,-0.097928
-6.6809,0.37533,-2.3816,49.556,0.029174,-0.2,-0.088012
-6.7355,0.18423,-2.4244,44.722,0.026215,-0.2,-0.078863
-4.6873,-1.472,-2.8436,69.793,0.064364,-0.2,-0.12982
-5.3804,-1.4329,-2.9408,67.888,0.059772,-0.2,-0.12045
-6.1103,-1.2597,-3.1691,64.017,0.05518,-0.2,-0.11108
-6.1766,-0.68572,-3.3051,59.756,0.050588,-0.2,-0.10171
-6.2543,0.097019,-3.2745,55.046,0.045996,-0.2,-0.092346
-6.2779,0.32027,-3.2789,49.919,0.041404,-0.2,-0.082978
-6.3191,0.1177,-3.3177,45.101,0.037167,-0.2,-0.074335
-4.2598,-1.3999,-3.4695,69.779,0.082161,-0.2,-0.11931
-4.8985,-1.3779,-3.662,67.933,0.076284,-0.2,-0.11069
-5.5675,-1.2397,-3.985,64.153,0.070407,-0.2,-0.10208
-5.6279,-0.6984,-4.1295,59.952,0.06453,-0.2,-0.093459
-5.7207,0.06068,-4.1077,55.274,0.058653,-0.2,-0.084842
-5.7587,0.26165,-4.1072,50.15,0.052776,-0.2,-0.076226
-5.7897,0.044661,-4.1332,45.367,0.047354,-0.2,-0.068276
-3.7463,-1.332,-4.0287,69.919,0.098271,-0.2,-0.10637
-4.3189,-1.3277,-4.3058,68.073,0.091231,-0.2,-0.098682
-4.917,-1.2241,-4.7143,64.291,0.084192,-0.2,-0.090994
-4.9728,-0.71192,-4.8695,60.098,0.077152,-0.2,-0.083306
-5.0791,0.024043,-4.8616,55.415,0.070112,-0.2,-0.075617
-5.131,0.19883,-4.8501,50.285,0.063073,-0.2,-0.067929
