"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-10.291,-2.8708,3.7603,200.43,-0.051881,-0.2,-0.12404
-9.0991,-3.0763,2.9563,206.55,-0.055958,-0.2,-0.13364
-10.628,-2.8138,2.3323,200.93,-0.033694,-0.2,-0.13015
-9.3772,-2.9997,1.6552,206.92,-0.036362,-0.2,-0.14023
-11.548,-2.2292,4.4419,187.73,-0.047803,-0.2,-0.11443
-11.952,-2.2207,2.8613,188.45,-0.031026,-0.2,-0.12006
-11.604,-0.79976,4.3768,173.97,-0.043726,-0.2,-0.10483
-12.029,-0.84952,2.7709,174.78,-0.028359,-0.2,-0.10998
-11.597,0.72513,4.4135,159.01,-0.039648,-0.2,-0.09522
-12.042,0.65103,2.8176,159.9,-0.025691,-0.2,-0.099892
-11.592,1.111,4.3721,142.53,-0.035571,-0.2,-0.085615
-12.046,1.0341,2.7706,143.61,-0.023023,-0.2,-0.089806
-11.813,0.81134,4.4659,127.11,-0.031809,-0.2,-0.076752
-12.26,0.72237,2.8047,128.42,-0.020562,-0.2,-0.080501
-9.4945,-2.9052,0.25443,207.7,-0.016036,-0.2,-0.144
-10.779,-2.7423,0.7801,201.75,-0.014831,-0.2,-0.13364
-12.142,-2.2053,1.1304,189.49,-0.013626,-0.2,-0.12327
-12.245,-0.90279,1.0078,176.03,-0.01242,-0.2,-0.11291
-12.286,0.5663,1.0623,161.28,-0.011215,-0.2,-0.10254
-12.296,0.94458,1.0135,145.17,-0.01001,-0.2,-0.09218
-12.493,0.62281,1.0027,130.2,-0.0088985,-0.2,-0.082618
-9.3816,-2.7999,-1.1422,208.64,0.0046186,-0.2,-0.14479
-10.688,-2.663,-0.77196,202.67,0.0043362,-0.2,-0.13437
-12.075,-2.1882,-0.60035,190.51,0.0040539,-0.2,-0.12394
-12.199,-0.95854,-0.75726,177.23,0.0037715,-0.2,-0.11352
-12.276,0.47932,-0.70009,162.65,0.0034892,-0.2,-0.10309
-12.292,0.85337,-0.74244,146.75,0.0032069,-0.2,-0.092668
-12.461,0.5238,-0.78478,131.98,0.0029463,-0.2,-0.08305
-9.0949,-2.6874,-2.5182,209.24,0.025192,-0.2,-0.14274
-10.4,-2.5772,-2.3003,203.3,0.023426,-0.2,-0.13246
-11.776,-2.1643,-2.2991,191.31,0.021661,-0.2,-0.12217
-11.9,-1.0059,-2.4852,178.27,0.019895,-0.2,-0.11188
-12.008,0.39829,-2.4247,163.9,0.01813,-0.2,-0.10159
-12.038,0.76313,-2.4573,148.29,0.016364,-0.2,-0.091307
-12.182,0.42448,-2.521,133.71,0.014735,-0.2,-0.081816
-8.6511,-2.5709,-3.7655,209.45,0.045214,-0.2,-0.13759
-9.9165,-2.4879,-3.7324,203.65,0.042006,-0.2,-0.12768
-11.248,-2.1346,-3.9254,191.96,0.038798,-0.2,-0.11776
-11.371,-1.0428,-4.1349,179.18,0.03559,-0.2,-0.10784
-11.503,0.32529,-4.0772,165.05,0.032382,-0.2,-0.097928
-11.554,0.67343,-4.1018,149.66,0.029174,-0.2,-0.088012
-11.672,0.32139,-4.1797,135.19,0.026215,-0.2,-0.078863
-8.0471,-2.4531,-4.8912,209.59,0.064364,-0.2,-0.12982
-9.2452,-2.3982,-5.0591,203.97,0.059772,-0.2,-0.12045
-10.505,-2.1038,-5.4553,192.55,0.05518,-0.2,-0.11108
-10.626,-1.0725,-5.683,179.96,0.050588,-0.2,-0.10171
-10.784,0.25845,-5.6347,166,0.045996,-0.2,-0.092346
-10.856,0.58105,-5.6552,150.71,0.041404,-0.2,-0.082978
-10.95,0.21076,-5.7293,136.29,0.037167,-0.2,-0.074335
-7.318,-2.3403,-5.9705,209.56,0.082161,-0.2,-0.11931
-8.42,-2.3134,-6.3022,204.12,0.076284,-0.2,-0.11069
-9.5718,-2.076,-6.8613,192.95,0.070407,-0.2,-0.10208
-9.6835,-1.0981,-7.105,180.52,0.06453,-0.2,-0.093459
-9.8646,0.19465,-7.0747,166.64,0.058653,-0.2,-0.084842
-9.9571,0.48241,-7.0889,151.36,0.052776,-0.2,-0.076226
-10.031,0.089099,-7.1431,137.06,0.047354,-0.2,-0.068276
-6.4387,-2.2368,-6.9345,209.98,0.098271,-0.2,-0.10637
-7.4249,-2.2384,-7.4124,204.53,0.091231,-0.2,-0.098682
-8.4524,-2.0574,-8.1186,193.35,0.084192,-0.2,-0.090994
-8.5567,-1.1267,-8.3823,180.94,0.077152,-0.2,-0.083306
-8.7585,0.12948,-8.3786,167.04,0.070112,-0.2,-0.075617
-8.8705,0.37596,-8.3754,151.72,0.063073,-0.2,-0.067929
-8.9329,-0.044393,-8.4016,137.57,0.056578,-0.2,-0.060836
-5.4414,-2.1588,-7.8133,209.89,0.11255,-0.2,-0.091419
-6.2913,-2.1826,-8.4057,204.57,0.10447,-0.2,-0.084797
-7.1704,-2.0519,-9.2232,193.55,0.09639,-0.2,-0.078175
-7.2615,-1.1644,-9.4991,181.21,0.08831,-0.2,-0.071553
