"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-8.6284,-2.43,3.1514,140.14,-0.051881,-0.2,-0.12404
-7.6349,-2.6061,2.4784,144.44,-0.055958,-0.2,-0.13364
-8.9098,-2.3822,1.9542,140.49,-0.033694,-0.2,-0.13015
-7.8668,-2.542,1.3869,144.7,-0.036362,-0.2,-0.14023
-9.6748,-1.8871,3.7205,131.21,-0.047803,-0.2,-0.11443
-10.013,-1.8802,2.3965,131.72,-0.031026,-0.2,-0.12006
-9.7185,-0.69209,3.6616,121.55,-0.043726,-0.2,-0.10483
-10.074,-0.73428,2.3169,122.13,-0.028359,-0.2,-0.10998
-9.7056,0.59169,3.6888,111.08,-0.039648,-0.2,-0.09522
-10.078,0.52938,2.3535,111.7,-0.025691,-0.2,-0.099892
-9.6944,0.92986,3.6514,99.553,-0.035571,-0.2,-0.085615
-10.074,0.86527,2.3125,100.31,-0.023023,-0.2,-0.089806
-9.8751,0.68485,3.7276,88.774,-0.031809,-0.2,-0.076752
-10.248,0.61017,2.3391,89.694,-0.020562,-0.2,-0.080501
-7.9635,-2.4625,0.2126,145.25,-0.016036,-0.2,-0.144
-9.0356,-2.3219,0.65328,141.07,-0.014831,-0.2,-0.13364
-10.172,-1.8673,0.94664,132.45,-0.013626,-0.2,-0.12327
-10.255,-0.77936,0.84093,123.01,-0.01242,-0.2,-0.11291
-10.282,0.45813,0.88484,112.68,-0.011215,-0.2,-0.10254
-10.283,0.79004,0.84349,101.41,-0.01001,-0.2,-0.09218
-10.444,0.52643,0.83307,90.942,-0.0088985,-0.2,-0.082618
-7.8672,-2.3732,-0.9578,145.9,0.0046186,-0.2,-0.14479
-8.9582,-2.2546,-0.64711,141.71,0.0043362,-0.2,-0.13437
-10.115,-1.8526,-0.50288,133.17,0.0040539,-0.2,-0.12394
-10.216,-0.82619,-0.63659,123.85,0.0037715,-0.2,-0.11352
-10.274,0.38507,-0.5894,113.63,0.0034892,-0.2,-0.10309
-10.279,0.71332,-0.62453,102.52,0.0032069,-0.2,-0.092668
-10.417,0.44308,-0.66073,92.191,0.0029463,-0.2,-0.08305
-7.6253,-2.2774,-2.1102,146.32,0.025192,-0.2,-0.14274
-8.714,-2.1814,-1.9271,142.14,0.023426,-0.2,-0.13246
-9.8631,-1.8318,-1.9252,133.73,0.021661,-0.2,-0.12217
-9.9657,-0.8657,-2.0828,124.58,0.019895,-0.2,-0.11188
-10.049,0.31711,-2.0319,114.52,0.01813,-0.2,-0.10159
-10.067,0.63738,-2.0582,103.6,0.016364,-0.2,-0.091307
-10.184,0.35954,-2.1116,93.41,0.014735,-0.2,-0.081816
-7.2515,-2.1778,-3.1543,146.47,0.045214,-0.2,-0.13759
-8.3082,-2.1048,-3.1262,142.4,0.042006,-0.2,-0.12768
-9.4209,-1.8059,-3.2869,134.19,0.038798,-0.2,-0.11776
