"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-14.183,-3.893,5.1849,383.58,-0.051881,-0.2,-0.12404
-12.525,-4.1659,4.0743,395.17,-0.055958,-0.2,-0.13364
-14.649,-3.8147,3.2168,384.51,-0.033694,-0.2,-0.13015
-12.912,-4.0606,2.2824,395.86,-0.036362,-0.2,-0.14023
-15.934,-3.0229,6.1307,359.43,-0.047803,-0.2,-0.11443
-16.492,-3.011,3.9494,360.79,-0.031026,-0.2,-0.12006
-16.021,-1.0502,6.052,333.19,-0.043726,-0.2,-0.10483
-16.609,-1.1178,3.8338,334.73,-0.028359,-0.2,-0.10998
-16.03,1.0349,6.1109,304.63,-0.039648,-0.2,-0.09522
-16.645,0.9332,3.9042,306.31,-0.025691,-0.2,-0.099892
-16.04,1.531,6.0601,273.07,-0.035571,-0.2,-0.085615
-16.668,1.4253,3.8432,275.11,-0.023023,-0.2,-0.089806
-16.354,1.102,6.1946,243.51,-0.031809,-0.2,-0.076752
-16.972,0.97961,3.8941,246,-0.020562,-0.2,-0.080501
-13.078,-3.9315,0.35178,397.35,-0.016036,-0.2,-0.144
-14.861,-3.7173,1.0764,386.07,-0.014831,-0.2,-0.13364
-16.756,-2.99,1.5602,362.75,-0.013626,-0.2,-0.12327
-16.907,-1.1904,1.3981,337.1,-0.01242,-0.2,-0.11291
-16.983,0.81679,1.4766,308.93,-0.011215,-0.2,-0.10254
-17.013,1.3025,1.4109,278.09,-0.01001,-0.2,-0.09218
-17.295,0.84313,1.3987,249.39,-0.0088985,-0.2,-0.082618
-12.926,-3.7891,-1.5745,399.16,0.0046186,-0.2,-0.14479
-14.739,-3.6104,-1.0648,387.84,0.0043362,-0.2,-0.13437
-16.664,-2.9676,-0.82937,364.71,0.0040539,-0.2,-0.12394
-16.846,-1.2672,-1.041,339.39,0.0037715,-0.2,-0.11352
-16.97,0.69723,-0.96111,311.52,0.0034892,-0.2,-0.10309
-17.006,1.1774,-1.0199,281.09,0.0032069,-0.2,-0.092668
-17.25,0.70764,-1.0771,252.79,0.0029463,-0.2,-0.08305
-12.535,-3.6382,-3.474,400.32,0.025192,-0.2,-0.14274
-14.345,-3.4958,-3.1744,389.03,0.023426,-0.2,-0.13246
-16.254,-2.9367,-3.1752,366.23,0.021661,-0.2,-0.12217
-16.433,-1.3331,-3.4292,341.37,0.019895,-0.2,-0.11188
-16.599,0.58552,-3.3471,313.91,0.01813,-0.2,-0.10159
-16.654,1.0538,-3.3938,284,0.016364,-0.2,-0.091307
-16.862,0.57168,-3.4819,256.09,0.014735,-0.2,-0.081816
-11.927,-3.4829,-5.1974,400.73,0.045214,-0.2,-0.13759
-13.682,-3.3772,-5.1522,389.7,0.042006,-0.2,-0.12768
-15.526,-2.8985,-5.4213,367.44,0.038798,-0.2,-0.11776
-15.702,-1.3855,-5.7098,343.08,0.03559,-0.2,-0.10784
-15.901,0.48436,-5.6336,316.08,0.032382,-0.2,-0.097928
-15.983,0.93098,-5.6703,286.61,0.029174,-0.2,-0.088012
-16.156,0.43095,-5.7792,258.89,0.026215,-0.2,-0.078863
-11.099,-3.3265,-6.7536,401.01,0.064364,-0.2,-0.12982
-12.756,-3.2588,-6.9849,390.32,0.059772,-0.2,-0.12045
-14.498,-2.8595,-7.5343,368.57,0.05518,-0.2,-0.11108
-14.675,-1.4283,-7.8499,344.56,0.050588,-0.2,-0.10171
-14.907,0.39139,-7.7888,317.87,0.045996,-0.2,-0.092346
-15.016,0.80461,-7.8204,288.59,0.041404,-0.2,-0.082978
-15.154,0.28041,-7.9252,260.99,0.037167,-0.2,-0.074335
-10.096,-3.1784,-8.2456,400.97,0.082161,-0.2,-0.11931
-11.619,-3.1482,-8.7026,390.6,0.076284,-0.2,-0.11069
-13.211,-2.8258,-9.4765,369.33,0.070407,-0.2,-0.10208
-13.374,-1.4666,-9.8159,345.62,0.06453,-0.2,-0.093459
-13.636,0.30244,-9.7814,319.08,0.058653,-0.2,-0.084842
-13.771,0.66961,-9.8046,289.81,0.052776,-0.2,-0.076226
-13.881,0.11466,-9.8824,262.44,0.047354,-0.2,-0.068276
-8.8847,-3.0442,-9.5778,401.78,0.098271,-0.2,-0.10637
-10.246,-3.0522,-10.237,391.41,0.091231,-0.2,-0.098682
-11.665,-2.8054,-11.214,370.1,0.084192,-0.2,-0.090994
-11.818,-1.5098,-11.582,346.41,0.077152,-0.2,-0.083306
-12.106,0.21108,-11.586,319.82,0.070112,-0.2,-0.075617
-12.267,0.52346,-11.585,290.49,0.063073,-0.2,-0.067929
-12.36,-0.067663,-11.624,263.41,0.056578,-0.2,-0.060836
-7.5092,-2.9462,-10.792,401.63,0.11255,-0.2,-0.091419
-8.6819,-2.9833,-11.609,391.49,0.10447,-0.2,-0.084797
-9.8949,-2.8035,-12.74,370.48,0.09639,-0.2,-0.078175
-10.028,-1.5657,-13.127,346.92,0.08831,-0.2,-0.071553
-10.338,0.11486,-13.164,320.35,0.080231,-0.2,-0.064931
-10.515,0.36811,-13.132,291.05,0.072152,-0.2,-0.058309
-10.605,-0.26423,-13.123,264.26,0.064697,-0.2,-0.0522
-6.0826,-2.8863,-11.832,400.69,0.12426,-0.2,-0.074379
-7.0079,-2.9439,-12.772,390.99,0.11534,-0.2,-0.068986
-7.9524,-2.8152,-14.011,370.56,0.10642,-0.2,-0.063593
-8.0524,-1.6211,-14.403,347.3,0.097498,-0.2,-0.0582
-8.3665,0.017716,-14.473,320.88,0.088577,-0.2,-0.052807
-8.5645,0.20335,-14.419,291.73,0.079656,-0.2,-0.047414
-8.6727,-0.47307,-14.356,265.26,0.071425,-0.2,-0.042438
-4.5521,-2.8564,-12.58,401.33,0.13364,-0.2,-0.055958
-5.2612,-2.9331,-13.62,391.36,0.12403,-0.2,-0.051886
-5.9777,-2.8507,-14.957,370.66,0.11443,-0.2,-0.047814
-6.0509,-1.6898,-15.362,347.49,0.10482,-0.2,-0.043742
-6.3616,-0.083769,-15.456,321.22,0.09521,-0.2,-0.03967
-6.5993,0.042487,-15.386,292.31,0.085602,-0.2,-0.035598
-6.7408,-0.67302,-15.273,266.23,0.076738,-0.2,-0.031841
-13.575,-3.9514,6.8498,383.49,-0.064555,-0.2,-0.11792
-12.021,-4.2518,5.6338,395.19,-0.069613,-0.2,-0.12704
-15.201,-3.0155,7.9249,359.12,-0.059497,-0.2,-0.10879
-15.255,-0.97568,7.8673,332.76,-0.054438,-0.2,-0.099666
-15.243,1.1235,7.915,304.05,-0.04938,-0.2,-0.09054
-15.24,1.6109,7.8936,272.26,-0.044322,-0.2,-0.081415
-15.554,1.1984,8.1155,242.55,-0.039655,-0.2,-0.072996
-11.392,-4.3327,7.0155,394.95,-0.082504,-0.2,-0.11906
-12.831,-4.0042,8.3142,383.43,-0.076521,-0.2,-0.11051
-14.316,-3.0058,9.4868,359.02,-0.070538,-0.2,-0.10197
-14.332,-0.90759,9.4385,332.45,-0.064555,-0.2,-0.093421
-14.305,1.1999,9.4744,303.58,-0.058571,-0.2,-0.084876
-14.286,1.6755,9.494,271.78,-0.052588,-0.2,-0.07633
-14.582,1.281,9.7891,242.16,-0.047068,-0.2,-0.068445
-10.638,-4.4084,8.2779,394.51,-0.094493,-0.2,-0.10978
-11.943,-4.0551,9.674,383.03,-0.08765,-0.2,-0.1019
-13.268,-3.0027,10.958,358.48,-0.080808,-0.2,-0.094031
-13.245,-0.85484,10.915,331.77,-0.073965,-0.2,-0.086158
-13.205,1.2614,10.934,302.87,-0.067123,-0.2,-0.078285
-13.17,1.7287,10.978,271.17,-0.06028,-0.2,-0.070412
