"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-16.69,-4.5481,6.1032,532.65,-0.051881,-0.2,-0.12404
-14.733,-4.8638,4.795,548.7,-0.055958,-0.2,-0.13364
-17.241,-4.4558,3.787,533.94,-0.033694,-0.2,-0.13015
-15.19,-4.7397,2.6869,549.65,-0.036362,-0.2,-0.14023
-18.761,-3.5316,7.2196,499.21,-0.047803,-0.2,-0.11443
-19.418,-3.5173,4.6511,501.08,-0.031026,-0.2,-0.12006
-18.868,-1.2108,7.1326,462.81,-0.043726,-0.2,-0.10483
-19.561,-1.2895,4.5198,464.93,-0.028359,-0.2,-0.10998
-18.887,1.2336,7.2055,423.16,-0.039648,-0.2,-0.09522
-19.612,1.1144,4.6052,425.47,-0.025691,-0.2,-0.099892
-18.905,1.8004,7.1487,379.31,-0.035571,-0.2,-0.085615
-19.645,1.6762,4.5354,382.13,-0.023023,-0.2,-0.089806
-19.278,1.2877,7.3092,338.22,-0.031809,-0.2,-0.076752
-20.007,1.1439,4.5969,341.67,-0.020562,-0.2,-0.080501
-15.388,-4.5883,0.41462,551.71,-0.016036,-0.2,-0.144
-17.492,-4.3416,1.2674,536.11,-0.014831,-0.2,-0.13364
-19.729,-3.4925,1.8375,503.8,-0.013626,-0.2,-0.12327
-19.912,-1.3745,1.6504,468.21,-0.01242,-0.2,-0.11291
-20.01,0.9777,1.7443,429.11,-0.011215,-0.2,-0.10254
-20.053,1.5319,1.668,386.25,-0.01001,-0.2,-0.09218
-20.389,0.9835,1.6547,346.37,-0.0088985,-0.2,-0.082618
-15.211,-4.422,-1.8531,554.24,0.0046186,-0.2,-0.14479
-17.349,-4.2169,-1.2536,538.56,0.0043362,-0.2,-0.13437
-19.622,-3.4664,-0.97683,506.51,0.0040539,-0.2,-0.12394
-19.84,-1.4645,-1.2232,471.39,0.0037715,-0.2,-0.11352
-19.995,0.83725,-1.1288,432.7,0.0034892,-0.2,-0.10309
-20.044,1.3851,-1.1979,390.41,0.0032069,-0.2,-0.092668
-20.335,0.82432,-1.2645,351.08,0.0029463,-0.2,-0.08305
-14.752,-4.2465,-4.0904,555.86,0.025192,-0.2,-0.14274
-16.889,-4.0838,-3.7381,540.22,0.023426,-0.2,-0.13246
-19.141,-3.431,-3.7398,508.62,0.021661,-0.2,-0.12217
-19.355,-1.5423,-4.0372,474.13,0.019895,-0.2,-0.11188
-19.557,0.70584,-3.9413,435.99,0.01813,-0.2,-0.10159
-19.628,1.2399,-3.9964,394.44,0.016364,-0.2,-0.091307
-19.877,0.66471,-4.1001,355.67,0.014735,-0.2,-0.081816
-14.04,-4.066,-6.1209,556.43,0.045214,-0.2,-0.13759
-16.109,-3.9463,-6.0677,541.14,0.042006,-0.2,-0.12768
-18.284,-3.3874,-6.3855,510.28,0.038798,-0.2,-0.11776
-18.495,-1.6045,-6.7247,476.5,0.03559,-0.2,-0.10784
-18.735,0.58656,-6.6366,438.99,0.032382,-0.2,-0.097928
-18.836,1.0956,-6.6801,398.04,0.029174,-0.2,-0.088012
-19.043,0.49969,-6.8089,359.54,0.026215,-0.2,-0.078863
-13.067,-3.885,-7.9549,556.82,0.064364,-0.2,-0.12982
-15.019,-3.8096,-8.2268,542,0.059772,-0.2,-0.12045
-17.072,-3.3433,-8.8744,511.84,0.05518,-0.2,-0.11108
-17.286,-1.6558,-9.2465,478.53,0.050588,-0.2,-0.10171
-17.564,0.47675,-9.1772,441.46,0.045996,-0.2,-0.092346
-17.697,0.94729,-9.2149,400.78,0.041404,-0.2,-0.082978
-17.863,0.32332,-9.3392,362.44,0.037167,-0.2,-0.074335
-11.887,-3.7146,-9.7131,556.77,0.082161,-0.2,-0.11931
-13.681,-3.6827,-10.25,542.4,0.076284,-0.2,-0.11069
-15.557,-3.3058,-11.162,512.89,0.070407,-0.2,-0.10208
-15.753,-1.7023,-11.563,480,0.06453,-0.2,-0.093459
-16.067,0.37159,-11.526,443.14,0.058653,-0.2,-0.084842
-16.229,0.7888,-11.554,402.47,0.052776,-0.2,-0.076226
-16.361,0.12906,-11.646,364.46,0.047354,-0.2,-0.068276
-10.461,-3.561,-11.283,557.91,0.098271,-0.2,-0.10637
-12.065,-3.5734,-12.058,543.52,0.091231,-0.2,-0.098682
-13.736,-3.2846,-13.209,513.96,0.084192,-0.2,-0.090994
-13.92,-1.7551,-13.645,481.09,0.077152,-0.2,-0.083306
-14.264,0.26333,-13.653,444.16,0.070112,-0.2,-0.075617
-14.454,0.61699,-13.652,403.4,0.063073,-0.2,-0.067929
-14.567,-0.08482,-13.7,365.8,0.056578,-0.2,-0.060836
-8.842,-3.4505,-12.713,557.7,0.11255,-0.2,-0.091419
-10.223,-3.4964,-13.675,543.64,0.10447,-0.2,-0.084797
-11.651,-3.2852,-15.007,514.49,0.09639,-0.2,-0.078175
-11.812,-1.8227,-15.465,481.8,0.08831,-0.2,-0.071553
-12.18,0.14935,-15.514,444.89,0.080231,-0.2,-0.064931
-12.388,0.4343,-15.475,404.18,0.072152,-0.2,-0.058309
-12.498,-0.31552,-15.467,366.97,0.064697,-0.2,-0.0522
-7.1618,-3.3851,-13.937,556.42,0.12426,-0.2,-0.074379
-8.251,-3.4541,-15.044,542.96,0.11534,-0.2,-0.068986
-9.3626,-3.3018,-16.504,514.62,0.10642,-0.2,-0.063593
-9.4837,-1.89,-16.969,482.32,0.097498,-0.2,-0.0582
-9.8556,0.034261,-17.057,445.62,0.088577,-0.2,-0.052807
-10.089,0.2405,-16.993,405.12,0.079656,-0.2,-0.047414
-10.219,-0.56085,-16.921,368.35,0.071425,-0.2,-0.042438
-5.3586,-3.3547,-14.818,557.31,0.13364,-0.2,-0.055958
-6.1934,-3.4453,-16.042,543.49,0.12403,-0.2,-0.051886
-7.0364,-3.3465,-17.618,514.75,0.11443,-0.2,-0.047814
-7.1253,-1.9731,-18.1,482.6,0.10482,-0.2,-0.043742
-7.4922,-0.086126,-18.215,446.1,0.09521,-0.2,-0.03967
-7.7717,0.05149,-18.131,405.92,0.085602,-0.2,-0.035598
-7.9403,-0.79547,-18.002,369.71,0.076738,-0.2,-0.031841
-15.975,-4.6172,8.0624,532.55,-0.064555,-0.2,-0.11792
-14.138,-4.9655,6.6293,548.72,-0.069613,-0.2,-0.12704
