"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-15.157,-4.1483,5.5421,438.56,-0.051881,-0.2,-0.12404
-13.383,-4.4379,4.3546,451.81,-0.055958,-0.2,-0.13364
-15.657,-4.0646,3.4387,439.63,-0.033694,-0.2,-0.13015
-13.798,-4.3253,2.4399,452.59,-0.036362,-0.2,-0.14023
-17.033,-3.221,6.5543,410.99,-0.047803,-0.2,-0.11443
-17.63,-3.2083,4.2225,412.54,-0.031026,-0.2,-0.12006
-17.128,-1.1129,6.4723,381,-0.043726,-0.2,-0.10483
-17.756,-1.1848,4.1008,382.75,-0.028359,-0.2,-0.10998
-17.14,1.112,6.5366,348.34,-0.039648,-0.2,-0.09522
-17.798,1.0034,4.177,350.25,-0.025691,-0.2,-0.099892
-17.152,1.635,6.4832,312.25,-0.035571,-0.2,-0.085615
-17.824,1.5221,4.1123,314.58,-0.023023,-0.2,-0.089806
-17.489,1.1729,6.6273,278.44,-0.031809,-0.2,-0.076752
-18.15,1.0422,4.1669,281.29,-0.020562,-0.2,-0.080501
-13.976,-4.1875,0.37645,454.29,-0.016036,-0.2,-0.144
-15.884,-3.9606,1.151,441.42,-0.014831,-0.2,-0.13364
-17.912,-3.1857,1.6683,414.78,-0.013626,-0.2,-0.12327
-18.075,-1.2622,1.4966,385.45,-0.01242,-0.2,-0.11291
-18.159,0.87918,1.5811,353.26,-0.011215,-0.2,-0.10254
-18.194,1.3909,1.5111,317.98,-0.01001,-0.2,-0.09218
-18.496,0.8964,1.4981,285.16,-0.0088985,-0.2,-0.082618
-13.815,-4.0358,-1.6826,456.37,0.0046186,-0.2,-0.14479
-15.754,-3.8466,-1.1379,443.44,0.0043362,-0.2,-0.13437
-17.815,-3.1618,-0.88641,417.01,0.0040539,-0.2,-0.12394
-18.01,-1.344,-1.1114,388.08,0.0037715,-0.2,-0.11352
-18.145,0.75154,-1.0259,356.21,0.0034892,-0.2,-0.10309
-18.186,1.2575,-1.0887,321.41,0.0032069,-0.2,-0.092668
-18.447,0.7517,-1.1498,289.04,0.0029463,-0.2,-0.08305
-13.397,-3.8752,-3.7135,457.7,0.025192,-0.2,-0.14274
-15.335,-3.7248,-3.3934,444.8,0.023426,-0.2,-0.13246
-17.376,-3.129,-3.3945,418.75,0.021661,-0.2,-0.12217
-17.569,-1.4145,-3.6652,390.34,0.019895,-0.2,-0.11188
-17.748,0.63221,-3.5776,358.94,0.01813,-0.2,-0.10159
-17.809,1.1255,-3.6275,324.73,0.016364,-0.2,-0.091307
-18.032,0.60651,-3.7218,292.82,0.014735,-0.2,-0.081816
-12.749,-3.71,-5.5564,458.17,0.045214,-0.2,-0.13759
-14.626,-3.5988,-5.508,445.56,0.042006,-0.2,-0.12768
-16.598,-3.0887,-5.796,420.13,0.038798,-0.2,-0.11776
-16.788,-1.4706,-6.104,392.29,0.03559,-0.2,-0.10784
-17.002,0.52403,-6.023,361.41,0.032382,-0.2,-0.097928
-17.091,0.99432,-6.0622,327.71,0.029174,-0.2,-0.088012
-17.276,0.4563,-6.1788,296.01,0.026215,-0.2,-0.078863
-11.865,-3.5439,-7.2206,458.49,0.064364,-0.2,-0.12982
-13.636,-3.4732,-7.4677,446.28,0.059772,-0.2,-0.12045
-15.499,-3.0477,-8.0552,421.41,0.05518,-0.2,-0.11108
-15.69,-1.5167,-8.3925,393.97,0.050588,-0.2,-0.10171
-15.939,0.42453,-8.328,363.45,0.045996,-0.2,-0.092346
-16.057,0.8594,-8.3617,329.97,0.041404,-0.2,-0.082978
-16.205,0.29572,-8.4739,298.41,0.037167,-0.2,-0.074335
-10.793,-3.387,-8.8162,458.45,0.082161,-0.2,-0.11931
-12.421,-3.3562,-9.3045,446.6,0.076284,-0.2,-0.11069
-14.123,-3.0124,-10.132,422.29,0.070407,-0.2,-0.10208
-14.299,-1.5582,-10.495,395.19,0.06453,-0.2,-0.093459
-14.581,0.3293,-10.459,364.84,0.058653,-0.2,-0.084842
-14.725,0.71527,-10.484,331.36,0.052776,-0.2,-0.076226
-14.843,0.11887,-10.567,300.07,0.047354,-0.2,-0.068276
-9.4983,-3.2452,-10.241,459.38,0.098271,-0.2,-0.10637
-10.954,-3.2549,-10.945,447.53,0.091231,-0.2,-0.098682
