"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-16.132,-4.4037,5.899,497.37,-0.051881,-0.2,-0.12404
-14.242,-4.71,4.6347,512.36,-0.055958,-0.2,-0.13364
-16.664,-4.3145,3.6602,498.57,-0.033694,-0.2,-0.13015
-14.683,-4.59,2.597,513.25,-0.036362,-0.2,-0.14023
-18.131,-3.4196,6.9773,466.12,-0.047803,-0.2,-0.11443
-18.767,-3.4058,4.495,467.87,-0.031026,-0.2,-0.12006
-18.234,-1.1755,6.892,432.13,-0.043726,-0.2,-0.10483
-18.903,-1.2517,4.3671,434.12,-0.028359,-0.2,-0.10998
-18.25,1.1897,6.9618,395.11,-0.039648,-0.2,-0.09522
-18.951,1.0744,4.4493,397.27,-0.025691,-0.2,-0.099892
-18.266,1.7412,6.9064,354.18,-0.035571,-0.2,-0.085615
-18.981,1.6211,4.3814,356.81,-0.023023,-0.2,-0.089806
-18.626,1.2476,7.0611,315.82,-0.031809,-0.2,-0.076752
-19.331,1.1086,4.4406,319.05,-0.020562,-0.2,-0.080501
-14.874,-4.4435,0.40077,515.17,-0.016036,-0.2,-0.144
-16.906,-4.2039,1.2251,500.6,-0.014831,-0.2,-0.13364
-19.067,-3.3817,1.7759,470.41,-0.013626,-0.2,-0.12327
-19.243,-1.3338,1.5944,437.18,-0.01242,-0.2,-0.11291
-19.335,0.94225,1.685,400.67,-0.011215,-0.2,-0.10254
-19.375,1.4817,1.6111,360.66,-0.01001,-0.2,-0.09218
-19.699,0.9536,1.5981,323.43,-0.0088985,-0.2,-0.082618
-14.703,-4.2824,-1.791,517.53,0.0046186,-0.2,-0.14479
-16.768,-4.0831,-1.2115,502.88,0.0043362,-0.2,-0.13437
-18.964,-3.3564,-0.94388,472.95,0.0040539,-0.2,-0.12394
-19.173,-1.4208,-1.1824,440.15,0.0037715,-0.2,-0.11352
-19.321,0.8065,-1.0911,404.02,0.0034892,-0.2,-0.10309
-19.367,1.3397,-1.1578,364.54,0.0032069,-0.2,-0.092668
-19.647,0.79972,-1.2222,327.83,0.0029463,-0.2,-0.08305
-14.259,-4.1123,-3.9531,519.05,0.025192,-0.2,-0.14274
-16.323,-3.954,-3.6126,504.43,0.023426,-0.2,-0.13246
-18.498,-3.3219,-3.614,474.91,0.021661,-0.2,-0.12217
-18.705,-1.4959,-3.9016,442.71,0.019895,-0.2,-0.11188
-18.898,0.67953,-3.8086,407.1,0.01813,-0.2,-0.10159
-18.965,1.1994,-3.8617,368.31,0.016364,-0.2,-0.091307
-19.205,0.64538,-3.9618,332.11,0.014735,-0.2,-0.081816
-13.57,-3.9373,-5.9153,519.58,0.045214,-0.2,-0.13759
-15.569,-3.8206,-5.8639,505.29,0.042006,-0.2,-0.12768
-17.67,-3.2794,-6.1707,476.47,0.038798,-0.2,-0.11776
-17.873,-1.5558,-6.4985,444.92,0.03559,-0.2,-0.10784
-18.104,0.56434,-6.4129,409.9,0.032382,-0.2,-0.097928
-18.201,1.0599,-6.4547,371.68,0.029174,-0.2,-0.088012
