"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-9.5978,-2.6872,3.5064,173.99,-0.051881,-0.2,-0.12404
-8.4886,-2.8805,2.7571,179.32,-0.055958,-0.2,-0.13364
-9.9116,-2.634,2.1747,174.43,-0.033694,-0.2,-0.13015
-8.7475,-2.8091,1.5433,179.64,-0.036362,-0.2,-0.14023
-10.767,-2.0866,4.1412,162.95,-0.047803,-0.2,-0.11443
-11.144,-2.0788,2.6676,163.58,-0.031026,-0.2,-0.12006
-10.818,-0.75481,4.0786,150.98,-0.043726,-0.2,-0.10483
-11.214,-0.8014,2.5816,151.7,-0.028359,-0.2,-0.10998
-10.808,0.66963,4.1114,137.99,-0.039648,-0.2,-0.09522
-11.223,0.60045,2.6241,138.77,-0.025691,-0.2,-0.099892
-10.801,1.0356,4.0717,123.69,-0.035571,-0.2,-0.085615
-11.224,0.96384,2.5797,124.62,-0.023023,-0.2,-0.089806
-11.005,0.75881,4.1582,110.3,-0.031809,-0.2,-0.076752
-11.421,0.67579,2.6107,111.44,-0.020562,-0.2,-0.080501
-8.8562,-2.7209,0.23702,180.31,-0.016036,-0.2,-0.144
-10.052,-2.5672,0.72725,175.14,-0.014831,-0.2,-0.13364
-11.321,-2.0644,1.0538,164.48,-0.013626,-0.2,-0.12327
-11.415,-0.85124,0.9383,152.78,-0.01242,-0.2,-0.11291
-11.451,0.52134,0.98837,139.97,-0.011215,-0.2,-0.10254
-11.457,0.88028,0.94274,125.98,-0.01001,-0.2,-0.09218
-11.639,0.58282,0.93213,112.98,-0.0088985,-0.2,-0.082618
-8.7502,-2.6222,-1.0653,181.13,0.0046186,-0.2,-0.14479
-9.967,-2.4929,-0.71988,175.94,0.0043362,-0.2,-0.13437
-11.258,-2.0483,-0.55966,165.36,0.0040539,-0.2,-0.12394
-11.372,-0.90325,-0.70689,153.83,0.0037715,-0.2,-0.11352
-11.441,0.44017,-0.65387,141.16,0.0034892,-0.2,-0.10309
-11.453,0.79511,-0.69318,127.36,0.0032069,-0.2,-0.092668
-11.609,0.49034,-0.73293,114.53,0.0029463,-0.2,-0.08305
-8.4822,-2.5167,-2.348,181.65,0.025192,-0.2,-0.14274
-9.6969,-2.4123,-2.1447,176.48,0.023426,-0.2,-0.13246
-10.978,-2.0257,-2.1432,166.06,0.021661,-0.2,-0.12217
-11.094,-0.94733,-2.3173,154.73,0.019895,-0.2,-0.11188
-11.191,0.36459,-2.2609,142.25,0.01813,-0.2,-0.10159
-11.216,0.71082,-2.2908,128.69,0.016364,-0.2,-0.091307
-11.349,0.39759,-2.3502,116.04,0.014735,-0.2,-0.081816
-8.0676,-2.4072,-3.5106,181.83,0.045214,-0.2,-0.13759
-9.246,-2.3283,-3.4796,176.79,0.042006,-0.2,-0.12768
-10.486,-1.9976,-3.6592,166.62,0.038798,-0.2,-0.11776
-10.6,-0.98156,-3.8548,155.52,0.03559,-0.2,-0.10784
-10.72,0.29657,-3.8006,143.25,0.032382,-0.2,-0.097928
-10.765,0.62702,-3.8229,129.89,0.029174,-0.2,-0.088012
-10.874,0.30124,-3.8953,117.32,0.026215,-0.2,-0.078863
-7.5036,-2.2964,-4.5597,181.95,0.064364,-0.2,-0.12982
-8.62,-2.2439,-4.7162,177.07,0.059772,-0.2,-0.12045
-9.7935,-1.9684,-5.0852,167.14,0.05518,-0.2,-0.11108
-9.9051,-1.0089,-5.2975,156.2,0.050588,-0.2,-0.10171
-10.05,0.23436,-5.2518,144.07,0.045996,-0.2,-0.092346
-10.115,0.5407,-5.27,130.8,0.041404,-0.2,-0.082978
-10.202,0.19775,-5.3388,118.29,0.037167,-0.2,-0.074335
-6.8233,-2.19,-5.5656,181.92,0.082161,-0.2,-0.11931
-7.8503,-2.1637,-5.8749,177.19,0.076284,-0.2,-0.11069
-8.9237,-1.9417,-6.3957,167.49,0.070407,-0.2,-0.10208
-9.0265,-1.0324,-6.6227,156.69,0.06453,-0.2,-0.093459
-9.1934,0.17502,-6.5934,144.64,0.058653,-0.2,-0.084842
-9.278,0.44855,-6.6058,131.37,0.052776,-0.2,-0.076226
-9.3461,0.083983,-6.6559,118.95,0.047354,-0.2,-0.068276
-6.0031,-2.0921,-6.4641,182.29,0.098271,-0.2,-0.10637
-6.9225,-2.0926,-6.9096,177.56,0.091231,-0.2,-0.098682
-7.8802,-1.9234,-7.5675,167.84,0.084192,-0.2,-0.090994
-7.9761,-1.0584,-7.8129,157.05,0.077152,-0.2,-0.083306
-8.1626,0.11451,-7.8082,144.98,0.070112,-0.2,-0.075617
-8.2657,0.34919,-7.8044,131.68,0.063073,-0.2,-0.067929
-8.3229,-0.040779,-7.8283,119.4,0.056578,-0.2,-0.060836
-5.0731,-2.0178,-7.2832,182.21,0.11255,-0.2,-0.091419
-5.8655,-2.0393,-7.8354,177.59,0.10447,-0.2,-0.084797
-6.6851,-1.9174,-8.597,168.01,0.09639,-0.2,-0.078175
-6.7689,-1.093,-8.8536,157.29,0.08831,-0.2,-0.071553
-6.9716,0.050683,-8.8706,145.23,0.080231,-0.2,-0.064931
-7.0868,0.24372,-8.8456,131.95,0.072152,-0.2,-0.058309
-7.1426,-0.17502,-8.8365,119.79,0.064697,-0.2,-0.0522
-4.1096,-1.9688,-7.985,181.78,0.12426,-0.2,-0.074379
-4.7353,-2.0057,-8.62,177.35,0.11534,-0.2,-0.068986
-5.3744,-1.9203,-9.4541,168.04,0.10642,-0.2,-0.063593
-5.4364,-1.1269,-9.7134,157.46,0.097498,-0.2,-0.0582
-5.6433,-0.013733,-9.7518,145.47,0.088577,-0.2,-0.052807
-5.775,0.13207,-9.7127,132.26,0.079656,-0.2,-0.047414
-5.8433,-0.31717,-9.6658,120.25,0.071425,-0.2,-0.042438
-3.0772,-1.9409,-8.4907,182.06,0.13364,-0.2,-0.055958
-3.5566,-1.9921,-9.1931,177.51,0.12403,-0.2,-0.051886
-4.0419,-1.9398,-10.093,168.08,0.11443,-0.2,-0.047814
-4.0868,-1.1696,-10.36,157.54,0.10482,-0.2,-0.043742
-4.2932,-0.081019,-10.413,145.61,0.09521,-0.2,-0.03967
-4.453,0.022537,-10.364,132.51,0.085602,-0.2,-0.035598
-4.5449,-0.45379,-10.283,120.67,0.076738,-0.2,-0.031841
-9.1882,-2.7263,4.6334,173.95,-0.064555,-0.2,-0.11792
-8.1488,-2.9381,3.8139,179.32,-0.069613,-0.2,-0.12704
-10.273,-2.0813,5.3533,162.8,-0.059497,-0.2,-0.10879
-10.301,-0.70344,5.3037,150.78,-0.054438,-0.2,-0.099666
-10.279,0.73,5.3273,137.72,-0.04938,-0.2,-0.09054
-10.262,1.0899,5.3055,123.31,-0.044322,-0.2,-0.081415
-10.467,0.82451,5.4503,109.86,-0.039655,-0.2,-0.072996
-7.7239,-2.9917,4.7502,179.2,-0.082504,-0.2,-0.11906
-8.6855,-2.7613,5.6246,173.91,-0.076521,-0.2,-0.11051
-9.6751,-2.0741,6.4086,162.74,-0.070538,-0.2,-0.10197
-9.6788,-0.6563,6.3641,150.63,-0.064555,-0.2,-0.093421
-9.6466,0.78202,6.3784,137.5,-0.058571,-0.2,-0.084876
-9.6204,1.1341,6.3826,123.08,-0.052588,-0.2,-0.07633
-9.8131,0.88118,6.5763,109.68,-0.047068,-0.2,-0.068445
-7.2139,-3.0414,5.6058,178.99,-0.094493,-0.2,-0.10978
-8.085,-2.7947,6.5452,173.72,-0.08765,-0.2,-0.1019
-8.9673,-2.0712,7.4029,162.49,-0.080808,-0.2,-0.094031
-8.946,-0.61951,7.3607,150.31,-0.073965,-0.2,-0.086158
-8.9059,0.8239,7.3623,137.17,-0.067123,-0.2,-0.078285
-8.8695,1.1698,7.382,122.8,-0.06028,-0.2,-0.070412
-9.0402,0.93053,7.6215,109.38,-0.053968,-0.2,-0.063149
-6.621,-3.0869,6.3889,178.77,-0.10545,-0.2,-0.099296
-7.3912,-2.8259,7.3926,173.45,-0.09782,-0.2,-0.092181
-8.1569,-2.0707,8.321,162.12,-0.090192,-0.2,-0.085066
-8.1131,-0.59016,8.2761,149.93,-0.082565,-0.2,-0.077951
-8.068,0.85678,8.2628,136.82,-0.074937,-0.2,-0.070836
-8.0208,1.195,8.2909,122.48,-0.06731,-0.2,-0.063722
-8.1582,0.96879,8.5721,109.06,-0.060273,-0.2,-0.057158
-5.9418,-3.1283,7.0954,178.64,-0.11525,-0.2,-0.08773
-6.6036,-2.8547,8.1575,173.25,-0.10692,-0.2,-0.08145
-7.2483,-2.0724,9.146,161.8,-0.098587,-0.2,-0.075171
-7.1872,-0.56792,9.0933,149.62,-0.090258,-0.2,-0.068892
-7.1396,0.88074,9.0662,136.55,-0.081929,-0.2,-0.062612
-7.0805,1.2106,9.0976,122.25,-0.0736,-0.2,-0.056333
