"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-5.3156,-1.5413,1.9383,51.955,-0.051881,-0.2,-0.12404
-4.716,-1.6574,1.5259,53.6,-0.055958,-0.2,-0.13364
-5.4872,-1.5123,1.2008,52.093,-0.033694,-0.2,-0.13015
-4.8568,-1.6186,0.85247,53.701,-0.036362,-0.2,-0.14023
-5.9452,-1.1984,2.2845,48.571,-0.047803,-0.2,-0.11443
-6.1523,-1.1947,1.471,48.768,-0.031026,-0.2,-0.12006
-5.9671,-0.47714,2.2389,44.926,-0.043726,-0.2,-0.10483
-6.1853,-0.50445,1.414,45.148,-0.028359,-0.2,-0.10998
-5.9432,0.32059,2.2469,40.982,-0.039648,-0.2,-0.09522
-6.1709,0.2817,1.4296,41.223,-0.025691,-0.2,-0.099892
-5.9163,0.56195,2.2163,36.683,-0.035571,-0.2,-0.085615
-6.1475,0.52189,1.4,36.972,-0.023023,-0.2,-0.089806
-6.0138,0.42438,2.2555,32.685,-0.031809,-0.2,-0.076752
-6.2406,0.37775,1.4105,33.031,-0.020562,-0.2,-0.080501
-4.9132,-1.5694,0.12924,53.907,-0.016036,-0.2,-0.144
-5.5624,-1.4748,0.40022,52.313,-0.014831,-0.2,-0.13364
-6.2489,-1.187,0.58057,49.046,-0.013626,-0.2,-0.12327
-6.2952,-0.53328,0.50898,45.482,-0.01242,-0.2,-0.11291
-6.2958,0.23732,0.53114,41.594,-0.011215,-0.2,-0.10254
-6.275,0.47501,0.50432,37.388,-0.01001,-0.2,-0.09218
-6.3595,0.32535,0.49389,33.5,-0.0088985,-0.2,-0.082618
-4.8504,-1.5129,-0.59057,54.151,0.0046186,-0.2,-0.14479
-5.5121,-1.4319,-0.39915,52.554,0.0043362,-0.2,-0.13437
-6.2135,-1.1775,-0.30944,49.318,0.0040539,-0.2,-0.12394
-6.2707,-0.56246,-0.39675,45.803,0.0037715,-0.2,-0.11352
