"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-11.401,-3.1639,4.1668,246.65,-0.051881,-0.2,-0.12404
-10.077,-3.3888,3.2753,254.16,-0.055958,-0.2,-0.13364
-11.775,-3.1008,2.5847,247.26,-0.033694,-0.2,-0.13015
-10.386,-3.304,1.8342,254.61,-0.036362,-0.2,-0.14023
-12.799,-2.4568,4.9236,231.06,-0.047803,-0.2,-0.11443
-13.247,-2.4474,3.1717,231.94,-0.031026,-0.2,-0.12006
-12.864,-0.87162,4.8544,214.14,-0.043726,-0.2,-0.10483
-13.335,-0.92644,3.0739,215.14,-0.028359,-0.2,-0.10998
-12.861,0.81376,4.8973,195.76,-0.039648,-0.2,-0.09522
-13.354,0.73178,3.1274,196.84,-0.025691,-0.2,-0.099892
-12.86,1.2313,4.8531,175.48,-0.035571,-0.2,-0.085615
-13.363,1.1462,3.0763,176.8,-0.023023,-0.2,-0.089806
-13.107,0.89497,4.9585,156.49,-0.031809,-0.2,-0.076752
-13.603,0.79649,3.1151,158.1,-0.020562,-0.2,-0.080501
-10.517,-3.1995,0.28227,255.56,-0.016036,-0.2,-0.144
-11.944,-3.0218,0.86473,248.27,-0.014831,-0.2,-0.13364
-13.458,-2.4303,1.2531,233.21,-0.013626,-0.2,-0.12327
-13.574,-0.98522,1.1192,216.67,-0.01242,-0.2,-0.11291
-13.625,0.63803,1.1805,198.54,-0.011215,-0.2,-0.10254
-13.641,1.0472,1.1268,178.72,-0.01001,-0.2,-0.09218
-13.862,0.68643,1.1156,160.28,-0.0088985,-0.2,-0.082618
-10.393,-3.0835,-1.2654,256.72,0.0046186,-0.2,-0.14479
-11.844,-2.9345,-0.85538,249.4,0.0043362,-0.2,-0.13437
-13.384,-2.4116,-0.66559,234.47,0.0040539,-0.2,-0.12394
-13.524,-1.047,-0.83809,218.15,0.0037715,-0.2,-0.11352
-13.614,0.54174,-0.77436,200.22,0.0034892,-0.2,-0.10309
-13.635,0.94634,-0.82145,180.66,0.0032069,-0.2,-0.092668
-13.826,0.57702,-0.86803,162.47,0.0029463,-0.2,-0.08305
-10.076,-2.96,-2.7907,257.47,0.025192,-0.2,-0.14274
-11.525,-2.8405,-2.5495,250.17,0.023426,-0.2,-0.13246
-13.053,-2.3856,-2.5488,235.45,0.021661,-0.2,-0.12217
-13.193,-1.0996,-2.7542,219.43,0.019895,-0.2,-0.11188
-13.316,0.45194,-2.6874,201.76,0.01813,-0.2,-0.10159
-13.354,0.84656,-2.7241,182.54,0.016364,-0.2,-0.091307
-13.516,0.46723,-2.7948,164.6,0.014735,-0.2,-0.081816
-9.5857,-2.8323,-4.1738,257.73,0.045214,-0.2,-0.13759
-10.991,-2.7427,-4.1372,250.61,0.042006,-0.2,-0.12768
-12.468,-2.3535,-4.3519,236.24,0.038798,-0.2,-0.11776
-12.606,-1.1409,-4.5838,220.54,0.03559,-0.2,-0.10784
-12.756,0.37093,-4.5206,203.16,0.032382,-0.2,-0.097928
-12.816,0.74739,-4.5487,184.23,0.029174,-0.2,-0.088012
-12.95,0.35336,-4.6354,166.41,0.026215,-0.2,-0.078863
-8.9177,-2.7034,-5.4222,257.9,0.064364,-0.2,-0.12982
-10.247,-2.6447,-5.6082,251,0.059772,-0.2,-0.12045
-11.644,-2.3203,-6.0481,236.97,0.05518,-0.2,-0.11108
-11.78,-1.1742,-6.3007,221.5,0.050588,-0.2,-0.10171
-11.959,0.29665,-6.2485,204.33,0.045996,-0.2,-0.092346
-12.042,0.64531,-6.2721,185.51,0.041404,-0.2,-0.082978
-12.148,0.23131,-6.355,167.77,0.037167,-0.2,-0.074335
-8.1105,-2.5803,-6.6192,257.87,0.082161,-0.2,-0.11931
-9.3324,-2.5524,-6.9867,251.18,0.076284,-0.2,-0.11069
-10.61,-2.2907,-7.607,237.46,0.070407,-0.2,-0.10208
-10.736,-1.2035,-7.8777,222.19,0.06453,-0.2,-0.093459
-10.94,0.2257,-7.8459,205.11,0.058653,-0.2,-0.084842
-11.044,0.53628,-7.8628,186.3,0.052776,-0.2,-0.076226
-11.129,0.097022,-7.9237,168.7,0.047354,-0.2,-0.068276
-7.1364,-2.4679,-7.6882,258.39,0.098271,-0.2,-0.10637
-8.2297,-2.4713,-8.2177,251.7,0.091231,-0.2,-0.098682
-9.3688,-2.2715,-9.0011,237.96,0.084192,-0.2,-0.090994
-9.4866,-1.2362,-9.2943,222.7,0.077152,-0.2,-0.083306
-9.713,0.15308,-9.2925,205.59,0.070112,-0.2,-0.075617
-9.8387,0.41849,-9.29,186.74,0.063073,-0.2,-0.067929
-9.9098,-0.050451,-9.3199,169.33,0.056578,-0.2,-0.060836
-6.0312,-2.384,-8.6626,258.28,0.11255,-0.2,-0.091419
-6.9732,-2.4116,-9.3192,251.74,0.10447,-0.2,-0.084797
-7.9475,-2.2669,-10.226,238.2,0.09639,-0.2,-0.078175
-8.0505,-1.279,-10.533,223.03,0.08831,-0.2,-0.071553
-8.2953,0.076563,-10.558,205.94,0.080231,-0.2,-0.064931
-8.4346,0.29338,-10.53,187.11,0.072152,-0.2,-0.058309
-8.5038,-0.20927,-10.521,169.89,0.064697,-0.2,-0.0522
-4.8856,-2.3304,-9.4972,257.67,0.12426,-0.2,-0.074379
-5.6292,-2.3755,-10.252,251.42,0.11534,-0.2,-0.068986
-6.3883,-2.2731,-11.246,238.25,0.10642,-0.2,-0.063593
-6.4651,-1.3212,-11.557,223.27,0.097498,-0.2,-0.0582
-6.714,-0.00068288,-11.607,206.28,0.088577,-0.2,-0.052807
-6.8719,0.1608,-11.562,187.55,0.079656,-0.2,-0.047414
-6.9557,-0.37772,-11.509,170.53,0.071425,-0.2,-0.042438
-3.6574,-2.3015,-10.098,258.07,0.13364,-0.2,-0.055958
-4.2272,-2.3629,-10.934,251.65,0.12403,-0.2,-0.051886
-4.8034,-2.2988,-12.005,238.31,0.11443,-0.2,-0.047814
-4.8592,-1.3741,-12.326,223.39,0.10482,-0.2,-0.043742
-5.1066,-0.081384,-12.395,206.49,0.09521,-0.2,-0.03967
-5.2971,0.031045,-12.338,187.91,0.085602,-0.2,-0.035598
-5.4083,-0.5393,-12.244,171.14,0.076738,-0.2,-0.031841
-10.914,-3.2107,5.5053,246.59,-0.064555,-0.2,-0.11792
-9.6723,-3.4576,4.53,254.16,-0.069613,-0.2,-0.12704
-12.211,-2.4507,6.3646,230.85,-0.059497,-0.2,-0.10879
-12.249,-0.81113,6.3115,213.86,-0.054438,-0.2,-0.099666
-12.23,0.88524,6.3444,195.38,-0.04938,-0.2,-0.09054
-12.219,1.2956,6.3225,174.95,-0.044322,-0.2,-0.081415
-12.467,0.97269,6.4976,155.87,-0.039655,-0.2,-0.072996
-9.1673,-3.522,5.6416,254,-0.082504,-0.2,-0.11906
-10.316,-3.2527,6.6827,246.55,-0.076521,-0.2,-0.11051
-11.501,-2.4425,7.6192,230.78,-0.070538,-0.2,-0.10197
-11.508,-0.75574,7.5727,213.65,-0.064555,-0.2,-0.093421
-11.477,0.94683,7.5952,195.06,-0.058571,-0.2,-0.084876
-11.454,1.3478,7.6052,174.63,-0.052588,-0.2,-0.07633
-11.687,1.0396,7.8387,155.61,-0.047068,-0.2,-0.068445
-8.5615,-3.5819,6.6572,253.71,-0.094493,-0.2,-0.10978
-9.6027,-3.293,7.7761,246.28,-0.08765,-0.2,-0.1019
-10.659,-2.4395,8.8011,230.42,-0.080808,-0.2,-0.094031
-10.636,-0.71267,8.758,213.21,-0.073965,-0.2,-0.086158
-10.596,0.9964,8.766,194.61,-0.067123,-0.2,-0.078285
-10.56,1.3904,8.7952,174.23,-0.06028,-0.2,-0.070412
-10.767,1.0984,9.0836,155.2,-0.053968,-0.2,-0.063149
-7.8575,-3.6371,7.5868,253.41,-0.10545,-0.2,-0.099296
-8.7784,-3.3308,8.7826,245.91,-0.09782,-0.2,-0.092181
-9.6952,-2.4395,9.8925,229.9,-0.090192,-0.2,-0.085066
-9.6457,-0.67843,9.8467,212.67,-0.082565,-0.2,-0.077951
-9.5985,1.0353,9.8375,194.12,-0.074937,-0.2,-0.070836
-9.549,1.4208,9.8774,173.79,-0.06731,-0.2,-0.063722
-9.7165,1.1444,10.216,154.74,-0.060273,-0.2,-0.057158
-7.0511,-3.6876,8.4256,253.23,-0.11525,-0.2,-0.08773
-7.8426,-3.366,9.6911,245.63,-0.10692,-0.2,-0.08145
-8.615,-2.4421,10.873,229.46,-0.098587,-0.2,-0.075171
-8.5445,-0.65263,10.819,212.23,-0.090258,-0.2,-0.068892
-8.4935,1.0636,10.793,193.74,-0.081929,-0.2,-0.062612
-8.4292,1.4395,10.838,173.46,-0.0736,-0.2,-0.056333
-8.5465,1.1771,11.218,154.39,-0.065916,-0.2,-0.05054
-6.1512,-3.7335,9.168,253.11,-0.12378,-0.2,-0.075204
-6.8057,-3.3989,10.495,245.42,-0.11484,-0.2,-0.069829
-7.4308,-2.4473,11.734,229.12,-0.1059,-0.2,-0.064455
-7.3466,-0.63503,11.663,211.91,-0.096964,-0.2,-0.05908
-7.2933,1.0818,11.624,193.47,-0.088026,-0.2,-0.053705
-7.2129,1.4472,11.667,173.22,-0.079087,-0.2,-0.04833
-7.2724,1.1968,12.077,154.14,-0.070841,-0.2,-0.043371
-14.001,0.4729,3.191,145.14,-0.019672,-0.2,-0.077065
-13.529,0.59136,5.1187,143.34,-0.030438,-0.2,-0.073476
-14.039,0.85244,5.3116,133.05,-0.029067,-0.2,-0.0702
-14.507,0.70211,3.3069,134.98,-0.018782,-0.2,-0.073629
-14.862,1.9025,5.5109,116.31,-0.027696,-0.2,-0.066924
-15.375,1.729,3.406,118.46,-0.017892,-0.2,-0.070193
-14.223,0.34576,1.1299,147.59,-0.0085068,-0.2,-0.07909
-14.697,0.52664,1.1748,137.74,-0.0081151,-0.2,-0.075562
-15.604,1.5319,1.1401,121.53,-0.0077235,-0.2,-0.072034
-14.141,0.22179,-0.90374,149.97,0.0028318,-0.2,-0.079504
-14.559,0.3426,-0.91646,140.37,0.0027174,-0.2,-0.075959
-15.497,1.3146,-1.0851,124.5,0.002603,-0.2,-0.072413
-13.783,0.10196,-2.8664,152.23,0.014116,-0.2,-0.078316
-14.137,0.16125,-2.9207,142.78,0.013497,-0.2,-0.074816
-15.074,1.0883,-3.2173,127.2,0.012877,-0.2,-0.071315
-13.168,-0.014982,-4.7155,154.1,0.025106,-0.2,-0.075495
-13.46,-0.011509,-4.7923,144.91,0.023997,-0.2,-0.072126
-14.359,0.85804,-5.2145,129.73,0.022889,-0.2,-0.068758
-12.321,-0.13373,-6.4188,155.62,0.035589,-0.2,-0.071156
-12.56,-0.17349,-6.508,146.75,0.03401,-0.2,-0.067976
-13.391,0.63058,-7.0399,132.07,0.032431,-0.2,-0.064797
-11.266,-0.26156,-7.9732,156.82,0.04534,-0.2,-0.065357
-11.463,-0.32587,-8.0731,148.17,0.043327,-0.2,-0.062437
-12.203,0.41207,-8.6655,134.02,0.041314,-0.2,-0.059517
-10.026,-0.40032,-9.3631,157.72,0.054172,-0.2,-0.058235
-10.188,-0.47198,-9.4691,149.26,0.051766,-0.2,-0.055635
-10.825,0.20277,-10.086,135.7,0.04936,-0.2,-0.053034
-8.6188,-0.546,-10.555,158.53,0.061935,-0.2,-0.049959
-8.7518,-0.61437,-10.666,150.29,0.059172,-0.2,-0.047718
-9.2821,-0.0015283,-11.295,137.39,0.056409,-0.2,-0.045477
-7.0788,-0.69668,-11.521,159.41,0.068381,-0.2,-0.04062
-7.1915,-0.75106,-11.636,151.45,0.065337,-0.2,-0.038801
-7.6168,-0.20088,-12.269,139.25,0.062293,-0.2,-0.036982
-5.5384,-0.83965,-12.23,160.24,0.073461,-0.2,-0.030472
-5.6433,-0.87526,-12.35,152.46,0.070184,-0.2,-0.029103
-5.9896,-0.36942,-12.984,140.74,0.066907,-0.2,-0.027734
-12.902,0.69333,6.7338,142.65,-0.037951,-0.2,-0.069883
-13.398,0.97258,7.0052,132.29,-0.036246,-0.2,-0.066771
-14.174,2.063,7.2756,115.1,-0.034542,-0.2,-0.063658
-12.122,0.78525,8.129,142.24,-0.045049,-0.2,-0.065529
-12.592,1.0671,8.4742,131.66,-0.043029,-0.2,-0.062612
-13.321,2.2032,8.8279,113.77,-0.041009,-0.2,-0.059696
-11.186,0.86955,9.438,141.6,-0.051654,-0.2,-0.060459
-11.615,1.142,9.8489,130.81,-0.04934,-0.2,-0.057769
-12.291,2.3163,10.288,112.28,-0.047027,-0.2,-0.055079
-10.104,0.94623,10.637,140.97,-0.057692,-0.2,-0.054725
-10.483,1.2064,11.105,130.03,-0.05511,-0.2,-0.052292
-11.096,2.4086,11.617,110.97,-0.052529,-0.2,-0.04986
-8.8887,1.012,11.702,140.51,-0.063096,-0.2,-0.048391
-9.2085,1.2624,12.216,129.48,-0.060276,-0.2,-0.046242
-9.7478,2.4843,12.79,110.02,-0.057455,-0.2,-0.044093
-7.5586,1.0637,12.619,140.18,-0.067811,-0.2,-0.041529
-7.8146,1.3082,13.172,129.07,-0.064781,-0.2,-0.039686
-8.2722,2.5455,13.794,109.37,-0.061752,-0.2,-0.037844
-16.009,3.1927,3.0616,85.821,-0.015713,-0.2,-0.060838
-15.481,3.3485,5.2299,84.079,-0.024229,-0.2,-0.058559
-15.164,4.6107,4.5158,39.391,-0.020761,-0.2,-0.050193
-15.607,4.4878,2.4295,40.28,-0.013534,-0.2,-0.051483
-13.552,4.8764,3.4738,-7.0088,-0.017293,-0.2,-0.041828
-13.816,4.7434,1.5925,-7.8609,-0.011355,-0.2,-0.042128
-11.839,4.1949,2.5949,-38.018,-0.013825,-0.2,-0.033462
-11.48,3.6035,1.1542,-44.142,-0.0091757,-0.2,-0.032773
-16.269,3.0532,0.68707,87.954,-0.006938,-0.2,-0.061971
-15.753,4.389,0.093894,39.962,-0.0061525,-0.2,-0.051907
-13.749,4.5727,-0.54699,-10.798,-0.0053671,-0.2,-0.041844
-11.076,2.9956,-0.63484,-47.873,-0.0045816,-0.2,-0.03178
-16.204,2.8917,-1.6731,90.32,0.0019407,-0.2,-0.061946
-15.61,4.2768,-2.2331,40.419,0.0012785,-0.2,-0.05148
-13.491,4.4322,-2.5903,-12.153,0.00061623,-0.2,-0.041013
-10.623,2.5632,-2.2584,-50.072,-4.6009e-05,-0.2,-0.030546
-15.787,2.7122,-3.9683,92.914,0.010765,-0.2,-0.060764
-15.157,4.1576,-4.5281,41.921,0.0086534,-0.2,-0.050212
-13.034,4.3298,-4.6023,-11.885,0.0065414,-0.2,-0.039661
-10.114,2.3781,-3.9,-50.422,0.0044294,-0.2,-0.029109
-15.051,2.5136,-6.1427,96.003,0.019377,-0.2,-0.058441
-14.43,4.0293,-6.7283,44.77,0.015866,-0.2,-0.048124
-12.387,4.2885,-6.5535,-9.7513,0.012354,-0.2,-0.037806
-9.5504,2.4741,-5.5565,-48.941,0.0088425,-0.2,-0.027489
-14.033,2.297,-8.1459,99.467,0.02762,-0.2,-0.05502
-13.448,3.8851,-8.7846,48.907,0.022808,-0.2,-0.045243
-11.553,4.3006,-8.4189,-5.5587,0.017997,-0.2,-0.035466
-8.9151,2.8039,-7.2358,-45.326,0.013185,-0.2,-0.025689
-12.762,2.0638,-9.9259,103.08,0.035348,-0.2,-0.050566
-12.231,3.7198,-10.649,54.201,0.029382,-0.2,-0.041615
-10.541,4.3311,-10.149,0.74916,0.023416,-0.2,-0.032663
-8.1942,3.3022,-8.9059,-39.348,0.01745,-0.2,-0.023712
-11.284,1.8158,-11.46,106.81,0.042428,-0.2,-0.045166
-10.816,3.5294,-12.281,60.516,0.035496,-0.2,-0.037299
-9.3709,4.3446,-11.714,8.9385,0.028563,-0.2,-0.029431
-7.3881,3.8453,-10.524,-31.376,0.021631,-0.2,-0.021564
-9.6399,1.5549,-12.74,110.63,0.048734,-0.2,-0.038916
-9.2491,3.3118,-13.648,67.598,0.04106,-0.2,-0.032354
