"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-15.853,-4.3291,5.7973,480.18,-0.051881,-0.2,-0.12404
-13.995,-4.6308,4.5546,494.66,-0.055958,-0.2,-0.13364
-16.376,-4.2414,3.5973,481.34,-0.033694,-0.2,-0.13015
-14.429,-4.5128,2.5522,495.52,-0.036362,-0.2,-0.14023
-17.817,-3.3607,6.8572,450.01,-0.047803,-0.2,-0.11443
-18.441,-3.347,4.418,451.7,-0.031026,-0.2,-0.12006
-17.916,-1.1551,6.7732,417.19,-0.043726,-0.2,-0.10483
-18.574,-1.2297,4.2923,419.11,-0.028359,-0.2,-0.10998
-17.931,1.1691,6.8415,381.45,-0.039648,-0.2,-0.09522
-18.62,1.0559,4.3728,383.53,-0.025691,-0.2,-0.099892
-17.946,1.7095,6.7865,341.93,-0.035571,-0.2,-0.085615
-18.649,1.5915,4.3057,344.48,-0.023023,-0.2,-0.089806
-18.299,1.2233,6.9381,304.9,-0.031809,-0.2,-0.076752
-18.991,1.0864,4.3636,308.02,-0.020562,-0.2,-0.080501
-14.617,-4.3687,0.39386,497.38,-0.016036,-0.2,-0.144
-16.614,-4.1326,1.2043,483.3,-0.014831,-0.2,-0.13364
-18.737,-3.3232,1.746,454.15,-0.013626,-0.2,-0.12327
-18.908,-1.3102,1.5678,422.06,-0.01242,-0.2,-0.11291
-18.998,0.92613,1.6567,386.81,-0.011215,-0.2,-0.10254
-19.036,1.4544,1.5838,348.19,-0.01001,-0.2,-0.09218
-19.353,0.93391,1.5709,312.25,-0.0088985,-0.2,-0.082618
-14.449,-4.2103,-1.7601,499.65,0.0046186,-0.2,-0.14479
-16.478,-4.0138,-1.1901,485.51,0.0043362,-0.2,-0.13437
-18.635,-3.2982,-0.92669,456.6,0.0040539,-0.2,-0.12394
-18.84,-1.3955,-1.1608,424.93,0.0037715,-0.2,-0.11352
-18.983,0.7928,-1.0711,390.05,0.0034892,-0.2,-0.10309
-19.028,1.3148,-1.1367,351.93,0.0032069,-0.2,-0.092668
-19.302,0.78244,-1.2,316.49,0.0029463,-0.2,-0.08305
-14.013,-4.043,-3.8849,501.11,0.025192,-0.2,-0.14274
-16.041,-3.8868,-3.5498,487,0.023426,-0.2,-0.13246
-18.178,-3.2642,-3.5507,458.49,0.021661,-0.2,-0.12217
-18.38,-1.4692,-3.8328,427.39,0.019895,-0.2,-0.11188
-18.568,0.66806,-3.7412,393.02,0.01813,-0.2,-0.10159
-18.633,1.1767,-3.7933,355.57,0.016364,-0.2,-0.091307
-18.868,0.63051,-3.8917,320.63,0.014735,-0.2,-0.081816
-13.336,-3.8709,-5.8132,501.63,0.045214,-0.2,-0.13759
-15.3,-3.7556,-5.7623,487.83,0.042006,-0.2,-0.12768
-17.364,-3.2224,-6.0632,460,0.038798,-0.2,-0.11776
-17.563,-1.528,-6.3847,429.53,0.03559,-0.2,-0.10784
-17.788,0.55485,-6.3002,395.72,0.032382,-0.2,-0.097928
-17.882,1.0395,-6.341,358.82,0.029174,-0.2,-0.088012
-18.077,0.47338,-6.4629,324.12,0.026215,-0.2,-0.078863
-12.411,-3.698,-7.5548,501.98,0.064364,-0.2,-0.12982
-14.265,-3.625,-7.8127,488.61,0.059772,-0.2,-0.12045
-16.214,-3.18,-8.427,461.4,0.05518,-0.2,-0.11108
-16.414,-1.5765,-8.7794,431.37,0.050588,-0.2,-0.10171
-16.676,0.45061,-8.7122,397.95,0.045996,-0.2,-0.092346
-16.8,0.8984,-8.7473,361.28,0.041404,-0.2,-0.082978
-16.956,0.30543,-8.8647,326.73,0.037167,-0.2,-0.074335
-11.291,-3.5351,-9.2244,501.93,0.082161,-0.2,-0.11931
-12.994,-3.5037,-9.7347,488.97,0.076284,-0.2,-0.11069
-14.775,-3.1439,-10.6,462.35,0.070407,-0.2,-0.10208
-14.96,-1.6203,-10.979,432.69,0.06453,-0.2,-0.093459
-15.255,0.35081,-10.942,399.46,0.058653,-0.2,-0.084842
-15.406,0.74761,-10.968,362.81,0.052776,-0.2,-0.076226
-15.53,0.12048,-11.055,328.56,0.047354,-0.2,-0.068276
-9.9362,-3.3882,-10.715,502.96,0.098271,-0.2,-0.10637
