"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-12.652,-3.4917,4.6247,304.57,-0.051881,-0.2,-0.12404
-11.178,-3.7383,3.6347,313.8,-0.055958,-0.2,-0.13364
-13.068,-3.4218,2.869,305.31,-0.033694,-0.2,-0.13015
-11.522,-3.6442,2.0358,314.35,-0.036362,-0.2,-0.14023
-14.209,-2.7111,5.4666,285.36,-0.047803,-0.2,-0.11443
-14.707,-2.7006,3.5216,286.45,-0.031026,-0.2,-0.12006
-14.284,-0.95156,5.3932,264.5,-0.043726,-0.2,-0.10483
-14.808,-1.0121,3.4158,265.73,-0.028359,-0.2,-0.10998
-14.287,0.91332,5.4434,241.81,-0.039648,-0.2,-0.09522
-14.835,0.82246,3.477,243.15,-0.025691,-0.2,-0.099892
-14.291,1.3659,5.3963,216.76,-0.035571,-0.2,-0.085615
-14.851,1.2715,3.4214,218.39,-0.023023,-0.2,-0.089806
-14.569,0.98776,5.5149,193.3,-0.031809,-0.2,-0.076752
-15.119,0.8785,3.4657,195.28,-0.020562,-0.2,-0.080501
-11.669,-3.5287,0.3135,315.53,-0.016036,-0.2,-0.144
-13.256,-3.3345,0.95993,306.56,-0.014831,-0.2,-0.13364
-14.942,-2.6818,1.3913,288.01,-0.013626,-0.2,-0.12327
-15.074,-1.0772,1.2447,267.61,-0.01242,-0.2,-0.11291
-15.136,0.71851,1.3138,245.24,-0.011215,-0.2,-0.10254
-15.159,1.1617,1.2546,220.76,-0.01001,-0.2,-0.09218
-15.407,0.75651,1.243,197.98,-0.0088985,-0.2,-0.082618
-11.532,-3.4008,-1.4045,316.97,0.0046186,-0.2,-0.14479
-13.146,-3.2384,-0.9496,307.96,0.0043362,-0.2,-0.13437
-14.86,-2.6615,-0.73925,289.56,0.0040539,-0.2,-0.12394
-15.018,-1.1457,-0.92934,269.44,0.0037715,-0.2,-0.11352
-15.124,0.61174,-0.8584,247.3,0.0034892,-0.2,-0.10309
-15.153,1.05,-0.91091,223.14,0.0032069,-0.2,-0.092668
-15.367,0.63533,-0.96219,200.68,0.0029463,-0.2,-0.08305
-11.182,-3.265,-3.0981,317.89,0.025192,-0.2,-0.14274
-12.794,-3.1352,-2.8306,308.91,0.023426,-0.2,-0.13246
-14.493,-2.6333,-2.8306,290.77,0.021661,-0.2,-0.12217
-14.651,-1.2044,-3.0579,271.01,0.019895,-0.2,-0.11188
-14.793,0.51209,-2.9843,249.2,0.01813,-0.2,-0.10159
-14.839,0.93944,-3.0257,225.46,0.016364,-0.2,-0.091307
-15.022,0.51372,-3.1042,203.31,0.014735,-0.2,-0.081816
-10.639,-3.125,-4.6343,318.22,0.045214,-0.2,-0.13759
-12.201,-3.0281,-4.5938,309.44,0.042006,-0.2,-0.12768
-13.844,-2.5985,-4.833,291.74,0.038798,-0.2,-0.11776
-13.999,-1.2507,-5.0904,272.38,0.03559,-0.2,-0.10784
-14.171,0.42199,-5.0215,250.93,0.032382,-0.2,-0.097928
-14.242,0.82961,-5.0537,227.54,0.029174,-0.2,-0.088012
-14.393,0.38772,-5.1504,205.54,0.026215,-0.2,-0.078863
-9.899,-2.9837,-6.0211,318.43,0.064364,-0.2,-0.12982
-11.375,-2.9209,-6.2275,309.93,0.059772,-0.2,-0.12045
-12.928,-2.5627,-6.7167,292.64,0.05518,-0.2,-0.11108
-13.083,-1.2884,-6.9977,273.55,0.050588,-0.2,-0.10171
-13.286,0.33929,-6.9416,252.36,0.045996,-0.2,-0.092346
-13.381,0.71658,-6.9692,229.12,0.041404,-0.2,-0.082978
-13.501,0.25281,-7.0619,207.21,0.037167,-0.2,-0.074335
-9.0039,-2.8493,-7.3508,318.39,0.082161,-0.2,-0.11931
-10.361,-2.8204,-7.7587,310.15,0.076284,-0.2,-0.11069
-11.78,-2.5313,-8.4481,293.24,0.070407,-0.2,-0.10208
-11.923,-1.3217,-8.7498,274.4,0.06453,-0.2,-0.093459
-12.153,0.26022,-8.7169,253.33,0.058653,-0.2,-0.084842
-12.272,0.59585,-8.737,230.09,0.052776,-0.2,-0.076226
-12.368,0.10433,-8.8055,208.36,0.047354,-0.2,-0.068276
-7.9229,-2.7272,-8.5382,319.04,0.098271,-0.2,-0.10637
-9.137,-2.7326,-9.126,310.79,0.091231,-0.2,-0.098682
-10.402,-2.5116,-9.9966,293.85,0.084192,-0.2,-0.090994
-10.535,-1.3592,-10.324,275.03,0.077152,-0.2,-0.083306
-10.79,0.17914,-10.325,253.92,0.070112,-0.2,-0.075617
-10.932,0.46528,-10.323,230.63,0.063073,-0.2,-0.067929
-11.013,-0.058849,-10.357,209.13,0.056578,-0.2,-0.060836
-6.6961,-2.6369,-9.6205,318.91,0.11255,-0.2,-0.091419
-7.7419,-2.6688,-10.349,310.85,0.10447,-0.2,-0.084797
-8.8236,-2.5083,-11.357,294.15,0.09639,-0.2,-0.078175
