"p","U:0","U:1","U:2","div(phi)","Res:0","Res:1","Res:2","Points:0","Points:1","Points:2"
462.112,-13.171,-4.83111,3.16153,-0.00043348299,1.05956e-09,2.01965e-10,-3.7471201e-10,-0.04448564,-0.2071428,-0.1320499
435.01099,-17.368299,-4.16361,6.0117798,2.53093e-05,5.1643401e-08,1.0608e-08,-1.41395e-08,-0.041136581,-0.2071428,-0.12227266
406.26001,-17.235001,-2.7971599,5.5092402,0.00046774399,2.31795e-07,1.67454e-08,-3.8041001e-08,-0.037787523,-0.2071428,-0.1124954
376.017,-16.996799,1.55322,5.7980199,-0.00014768699,5.6415303e-07,2.5347999e-09,-4.19077e-08,-0.034438469,-0.20714281,-0.10271814
345.58899,-17.115299,3.20204,5.5159402,0.00066640403,2.43838e-07,-7.5627803e-08,1.34082e-07,-0.031089408,-0.20714281,-0.092940897
311.34601,-17.768,2.87028,5.2985601,0.000200579,-6.91558e-07,-5.5922801e-08,-6.9361697e-08,-0.027866956,-0.20714281,-0.083533078
463.92401,-13.4925,-4.6431899,1.18504,0.00033982299,2.65754e-09,4.1984499e-10,-6.9189798e-10,-0.02523748,-0.20714279,-0.13704035
437.05399,-17.8834,-4.0298901,3.46997,-0.000101257,5.7465499e-08,1.1432e-08,-1.5324099e-08,-0.023314681,-0.2071428,-0.1268865
408.952,-17.714899,-2.73,2.94697,-0.00099070102,2.4059099e-07,1.74651e-08,-4.19695e-08,-0.021391882,-0.2071428,-0.11673266
379.02499,-17.5021,1.5517401,3.2962799,0.00030145701,5.8350798e-07,2.14686e-09,-5.92959e-08,-0.019469082,-0.2071428,-0.10657882
348.71799,-17.6287,3.1807201,3.0321801,-0.000499891,3.59935e-07,-7.0204202e-08,3.6470301e-08,-0.017546283,-0.20714281,-0.096424982
314.849,-18.233601,2.7674,2.69681,-0.00100307,-5.1724101e-07,-1.8187899e-08,-5.3032301e-07,-0.015696201,-0.20714281,-0.086654834
465.70099,-13.4801,-4.4448199,-0.81560099,-0.000363375,2.6961999e-09,4.60915e-10,-7.4032902e-10,-0.0054796226,-0.20714279,-0.13923517
439.04199,-18.0012,-3.8979199,0.89296401,-0.00046592701,5.80822e-08,1.31984e-08,-1.6838801e-08,-0.0050216345,-0.20714279,-0.12891294
411.67599,-17.8237,-2.68961,0.36566001,7.9831101e-05,2.5059899e-07,1.9895801e-08,-4.4685301e-08,-0.0045636464,-0.2071428,-0.11859069
382.052,-17.691099,1.52504,0.73058498,-0.00051263103,6.3829998e-07,4.77571e-09,-4.8998601e-08,-0.0041056583,-0.2071428,-0.10826845
351.832,-17.7584,3.1705101,0.50958198,0.00083339598,4.9695097e-07,-8.3210999e-08,1.40813e-07,-0.0036476704,-0.20714281,-0.097946204
318.354,-18.295799,2.6660299,0.083850302,0.00060201401,-3.8681901e-07,-9.8470501e-08,-8.3739899e-08,-0.0032070472,-0.20714281,-0.088014044
468.854,-13.1273,-4.2399998,-2.77684,0.00018746599,2.95699e-09,5.16025e-10,-8.1718099e-10,0.014396601,-0.2071428,-0.13862558
441.55301,-17.779301,-3.76349,-1.68303,0.00049357599,5.50008e-08,1.28493e-08,-1.62586e-08,0.013379619,-0.2071428,-0.12834154
414.24301,-17.5641,-2.63747,-2.1886001,0.000206379,2.6186299e-07,2.24706e-08,-4.9241901e-08,0.012362637,-0.2071428,-0.11805751
384.71301,-17.496799,1.51019,-1.82125,0.00061795098,6.7475497e-07,6.48062e-09,-4.8080398e-08,0.011345655,-0.20714281,-0.10777348
354.83499,-17.540501,3.1730199,-1.99866,-0.000333251,6.0457597e-07,-9.1405397e-08,1.9010901e-07,0.010328673,-0.20714281,-0.097489446
321.88199,-18.0007,2.5817299,-2.4858999,-9.7877198e-14,-2.30235e-07,-1.45683e-07,1.3750601e-07,0.009350053,-0.20714281,-0.087593995
469.38699,-12.6443,-4.0398798,-4.7592001,-0.00050401501,3.68755e-09,5.85686e-10,-9.1858998e-10,0.033968031,-0.2071428,-0.13515307
442.54999,-17.3095,-3.6295099,-4.2167902,0.00036716199,6.8269401e-08,1.65454e-08,-1.9891599e-08,0.031498428,-0.2071428,-0.12512141
416.104,-16.9597,-2.5724101,-4.6888599,0.00030280699,2.83291e-07,2.5228999e-08,-5.4397798e-08,0.029028827,-0.2071428,-0.11508976
387.07199,-16.8873,1.5164,-4.2972102,0.00057295302,7.2031901e-07,8.3136298e-09,-4.93146e-08,0.026559226,-0.20714281,-0.1050581
357.733,-16.965,3.1966801,-4.4074402,-0.000666751,7.1094598e-07,-9.93832e-08,2.31082e-07,0.024089623,-0.20714281,-0.095026456
325.37601,-17.3543,2.5102799,-4.9667101,0.00130446,-6.8370397e-08,-1.89758e-07,3.38207e-07,0.021713285,-0.20714281,-0.085373864
470.978,-11.8704,-3.8412299,-6.3828001,0.00024625001,3.87536e-09,6.5094202e-10,-1.0009e-09,0.052852444,-0.20714279,-0.12891865
444.42599,-16.348801,-3.5027699,-6.6290498,-0.00077261799,6.73108e-08,1.7367899e-08,-2.0452701e-08,0.048979439,-0.2071428,-0.11934347
418.073,-16.031401,-2.48722,-7.02987,-0.000275386,2.9651201e-07,2.85439e-08,-6.04132e-08,0.045106433,-0.2071428,-0.10976829
389.62399,-15.9881,1.5477999,-6.6430101,1.50833e-05,7.6030801e-07,1.15188e-08,-5.2547001e-08,0.041233428,-0.2071428,-0.10019311
360.74399,-16.0739,3.2354701,-6.7128401,0.00083373301,8.0966998e-07,-1.04382e-07,2.6855199e-07,0.037360422,-0.20714281,-0.09061794
328.78799,-16.378599,2.4465101,-7.31426,-0.0013249801,1.0146e-07,-2.29514e-07,5.3645999e-07,0.033633728,-0.20714281,-0.081404634
471.47699,-10.9449,-3.6449299,-8.0420799,-0.00016411,4.3057802e-09,7.4754802e-10,-1.14278e-09,0.070663519,-0.20714279,-0.12009857
445.77701,-15.1134,-3.38363,-8.90973,0.000303876,7.6599903e-08,2.0238501e-08,-2.3066599e-08,0.065465227,-0.2071428,-0.11116886
419.78299,-14.7852,-2.4145601,-9.2341604,0.00027528999,3.1631501e-07,3.21233e-08,-6.7088898e-08,0.060266942,-0.2071428,-0.10223915
391.815,-14.7654,1.58268,-8.8417797,-0.000618199,8.06782e-07,1.46642e-08,-5.7296301e-08,0.055068649,-0.2071428,-0.09330944
363.45901,-14.888,3.28757,-8.8419304,0.00066674699,9.0356502e-07,-1.09579e-07,2.9709e-07,0.049870361,-0.20714281,-0.084379733
331.95999,-15.1,2.3831201,-9.4918604,0.00124422,2.6792301e-07,-2.65675e-07,7.00687e-07,0.044868477,-0.20714281,-0.075787514
472.35001,-9.8298903,-3.47051,-9.5566196,0.00031673,4.6538799e-09,8.3616702e-10,-1.2646501e-09,0.087009355,-0.20714277,-0.10879207
447.104,-13.6021,-3.27685,-10.9725,-0.000215397,8.4674198e-08,2.3510699e-08,-2.58115e-08,0.080595784,-0.20714277,-0.1006964
421.26099,-13.277,-2.3374,-11.1978,0.000137738,3.36456e-07,3.63632e-08,-7.46941e-08,0.074182205,-0.20714279,-0.092600726
393.77899,-13.2823,1.62853,-10.8135,0.000482804,8.5545702e-07,1.91077e-08,-6.4463201e-08,0.067768633,-0.2071428,-0.084505059
365.82501,-13.4272,3.3380101,-10.795,-0.00033357099,9.9443196e-07,-1.12506e-07,3.1935599e-07,0.061355058,-0.2071428,-0.076409385
334.62201,-13.5551,2.30656,-11.4681,-0.00120476,4.34924e-07,-2.97279e-07,8.4332299e-07,0.055183869,-0.20714281,-0.06861975
475.397,-8.4183702,-3.31969,-10.8915,-0.00058573799,4.9558402e-09,9.4047403e-10,-1.41108e-09,0.10165602,-0.2071428,-0.095342092
449.319,-11.7827,-3.2002101,-12.8029,0.000379609,9.0562303e-08,2.6850101e-08,-2.8119301e-08,0.094148964,-0.2071428,-0.088236853
422.92001,-11.4784,-2.2845199,-12.9672,-0.000137561,3.49956e-07,4.0704901e-08,-8.2017301e-08,0.086641908,-0.2071428,-0.081131615
395.40799,-11.5231,1.65625,-12.5868,-0.000497278,8.9559899e-07,2.44844e-08,-7.36609e-08,0.079134859,-0.20714281,-0.074026376
367.724,-11.7271,3.37991,-12.5217,-0.00083295099,1.07412e-06,-1.1219e-07,3.2985301e-07,0.071627803,-0.20714281,-0.06692113
336.90799,-11.7721,2.2169499,-13.2065,0.00026073799,5.98707e-07,-3.2086501e-07,9.4875401e-07,0.064404376,-0.20714281,-0.060084432
473.702,-6.93292,-3.25683,-12.1898,0.000222558,4.7855302e-09,1.11675e-09,-1.67313e-09,0.11418433,-0.2071428,-0.079916067
449.508,-9.7669096,-3.14656,-14.4175,-0.000113871,9.9219299e-08,3.1572799e-08,-3.17089e-08,0.10574306,-0.2071428,-0.073950492
423.91501,-9.4694004,-2.2518201,-14.4794,-0.00027509601,3.7812799e-07,4.6355499e-08,-9.16652e-08,0.097301781,-0.2071428,-0.067984916
396.763,-9.5504398,1.6791101,-14.0881,0,9.58741e-07,2.9871e-08,-8.3283098e-08,0.088860504,-0.20714281,-0.062019344
369.26901,-9.8097696,3.41501,-13.9972,0,1.1624001e-06,-1.14281e-07,3.40719e-07,0.080419227,-0.20714281,-0.056053769
338.78699,-9.7831202,2.1196201,-14.6706,0.00022060399,7.4540702e-07,-3.46745e-07,1.0407e-06,0.072296873,-0.20714281,-0.05031364
474.53201,-5.4177499,-3.2090199,-13.1478,0.00035164901,1.8853801e-09,1.1936e-09,-1.75226e-09,0.12435219,-0.20714279,-0.062818967
450.76901,-7.57268,-3.11222,-15.6942,-0.000253217,9.3872103e-08,3.61375e-08,-3.43057e-08,0.11515187,-0.20714279,-0.058119435
425.21701,-7.3032899,-2.18295,-15.6708,1.19381e-13,3.8587601e-07,5.22333e-08,-1.00795e-07,0.10595153,-0.2071428,-0.053419903
398.17599,-7.3870001,1.74687,-15.2928,-0.000361849,1.00282e-06,3.7838301e-08,-9.79323e-08,0.096751206,-0.2071428,-0.048720371
370.70999,-7.69631,3.4268401,-15.1906,0.00073336798,1.2312e-06,-1.08589e-07,3.3549401e-07,0.087550879,-0.20714281,-0.044020839
340.62701,-7.6319199,2.04105,-15.8277,-0.0012240499,8.8483802e-07,-3.5848799e-07,1.09984e-06,0.07869821,-0.20714281,-0.039498962
462.491,-12.7259,-4.9625001,4.8589201,0.00058380101,1.08107e-06,2.56611e-07,-3.0931099e-07,-0.060517725,-0.20714279,-0.12569229
434.08801,-16.654301,-4.2516699,8.1317797,0.000282547,5.5666501e-06,4.4965699e-07,-9.1630801e-07,-0.055981725,-0.2071428,-0.11639176
405.237,-16.5123,-2.80337,7.6462202,0.000711689,1.12608e-05,1.15852e-07,-9.7314398e-07,-0.05144573,-0.2071428,-0.10709122
374.93399,-16.285299,1.58553,7.8814702,-0.00094368903,6.3244402e-06,-8.7326703e-07,-8.07368e-07,-0.046909731,-0.20714281,-0.097790688
344.35699,-16.386101,3.2226,7.5865998,-0.0015874601,-5.8455998e-06,-1.01615e-06,-6.6509901e-06,-0.042373732,-0.20714281,-0.088490143
309.86099,-17.059999,2.9695499,7.4944301,-0.00054602302,-1.22427e-05,3.0195799e-06,-3.8882801e-05,-0.038009197,-0.20714281,-0.079541035
462.08499,-12.1734,-5.0878401,6.3309898,0.000892009,1.13494e-06,4.75851e-08,-8.15376e-08,-0.073317491,-0.20714279,-0.11866338
434.31699,-15.8092,-4.3133202,9.8586197,-0.00080832699,1.71846e-06,2.3366599e-08,-1.68284e-07,-0.067835324,-0.20714279,-0.10988907
405.09698,-15.6375,-2.7759299,9.3598299,-1.87355e-05,8.5163499e-08,-7.1566397e-08,-5.2453203e-07,-0.062353157,-0.2071428,-0.10111476
374.59,-15.4149,1.64384,9.5356197,0.00119028,-1.51882e-06,9.1061302e-08,-2.2945701e-06,-0.05687099,-0.2071428,-0.092340454
343.47101,-15.5329,3.2396901,9.2511597,0.00022685299,2.6252701e-07,1.24605e-06,-9.7644797e-06,-0.051388819,-0.2071428,-0.083566144
308.61099,-16.224001,3.05793,9.27174,0.000546186,-1.46815e-06,4.3595201e-06,-2.94659e-05,-0.04611389,-0.20714281,-0.075123414
461.54099,-11.476,-5.2053099,7.70573,9.5761403e-05,6.6196299e-07,3.0879502e-08,-9.3578798e-08,-0.085314319,-0.20714279,-0.11034176
434.129,-14.7808,-4.3751898,11.4838,0.00158938,5.2157998e-07,2.2858999e-09,-2.8398e-07,-0.078946263,-0.20714279,-0.10218933
404.45401,-14.5834,-2.76863,10.9872,5.24692e-05,-2.7150301e-07,-2.1455399e-08,-9.0214701e-07,-0.072578207,-0.2071428,-0.0940369
373.73599,-14.3649,1.67298,11.1161,0.000492619,-1.13471e-06,3.4054199e-07,-3.3456199e-06,-0.066210151,-0.2071428,-0.085884467
342.14301,-14.4997,3.2465601,10.84,0.000226893,-6.2252902e-08,1.9202e-06,-1.2265e-05,-0.059842095,-0.2071428,-0.077732041
306.94101,-15.1911,3.1317401,10.9733,4.4421e-14,-7.39911e-07,6.1497799e-06,-3.5418401e-05,-0.053714752,-0.20714281,-0.069887683
460.82501,-10.6565,-5.3145199,8.9937201,-0.00092581101,3.6760099e-07,1.37093e-08,-1.4303799e-07,-0.096377559,-0.20714279,-0.1008153
433.29999,-13.5932,-4.43398,13.0005,-0.00026033199,1.21594e-07,-6.2091798e-09,-4.3417501e-07,-0.089193106,-0.20714279,-0.093373418
403.17401,-13.368,-2.76669,12.5133,2.06154e-05,-3.2407399e-07,5.0659001e-08,-1.29544e-06,-0.082008645,-0.20714279,-0.08593154
372.383,-13.1621,1.6894799,12.5908,-0.00094429898,-7.9412598e-07,6.3233801e-07,-4.3259802e-06,-0.074824192,-0.2071428,-0.078489661
340.41199,-13.3059,3.2409599,12.3298,0.00068075699,-9.9816603e-08,2.7057799e-06,-1.44279e-05,-0.067639731,-0.2071428,-0.071047783
304.90201,-13.9787,3.19399,12.571,0.00109269,-1.16459e-07,7.8597204e-06,-3.8965401e-05,-0.060726847,-0.20714281,-0.063887119
460.285,-9.6990995,-5.4151001,10.1703,0.00017561601,2.6244399e-07,1.72554e-09,-2.02856e-07,-0.10638478,-0.20714277,-0.090187229
432.41,-12.2429,-4.4881802,14.3897,-0.000884582,5.0017199e-08,-2.5128799e-09,-5.91956e-07,-0.098462239,-0.20714277,-0.083536625
401.89899,-11.9938,-2.7684,13.9045,4.3111399e-05,-2.28465e-07,1.4135399e-07,-1.68806e-06,-0.090539694,-0.20714279,-0.076886028
371.103,-11.8038,1.69511,13.9343,0.00075964699,-5.05184e-07,9.6157203e-07,-5.2073701e-06,-0.082617149,-0.2071428,-0.070235431
338.79099,-11.9534,3.2239399,13.6907,0.00068083598,7.1644102e-08,3.52962e-06,-1.6092599e-05,-0.074694604,-0.2071428,-0.063584834
303.01599,-12.5856,3.2316101,14.0381,-0.0010928001,4.43321e-07,9.3553499e-06,-4.0611601e-05,-0.06707155,-0.20714281,-0.057185568
459.914,-8.6094599,-5.5062599,11.2289,0.00076641497,2.9841999e-07,-3.6510499e-09,-2.5401701e-07,-0.1152259,-0.20714277,-0.078573562
431.672,-10.7386,-4.5373001,15.6251,0.00062082999,6.4817897e-08,1.36841e-08,-7.4435002e-07,-0.10665227,-0.20714277,-0.072786883
400.90799,-10.4733,-2.77264,15.1326,0.000487399,-6.5444503e-08,2.4636e-07,-2.05008e-06,-0.098078653,-0.20714279,-0.06700021
370.09799,-10.3076,1.6896,15.1177,0.000184797,-2.4092699e-07,1.29279e-06,-5.8995101e-06,-0.089505032,-0.2071428,-0.061213534
337.45801,-10.4522,3.1961401,14.9001,-0.00045393099,3.9912899e-07,4.2542702e-06,-1.70439e-05,-0.08093141,-0.2071428,-0.055426858
301.45901,-11.0286,3.2525799,15.3436,-0.000546442,1.14191e-06,1.04465e-05,-4.0481402e-05,-0.072681896,-0.2071428,-0.049858868
282.17401,-18.6336,2.3965399,5.3666601,-0.00078835501,-3.0778001e-06,5.6711002e-07,-7.0614901e-06,-0.025731582,-0.20714281,-0.077271409
264.03699,-19.3986,2.14415,5.5735502,-0.0024773499,-1.3509e-06,2.9847399e-06,-2.5207901e-05,-0.024556685,-0.20714281,-0.07378646
242.84599,-20.5327,2.0706899,5.75914,0.00030962401,-2.14026e-06,4.2244901e-06,-3.40609e-05,-0.023381788,-0.20714281,-0.070301503
286.37,-19.072001,2.2504799,2.64329,-0.0041684699,-3.6163899e-06,4.01291e-07,-6.7506799e-06,-0.014474238,-0.20714281,-0.080153689
268.79199,-19.7794,1.96419,2.71436,0.0050861998,-1.72565e-06,2.27961e-06,-2.17367e-05,-0.013807676,-0.20714281,-0.07653784
248.459,-20.9163,1.87244,2.74698,0.00229197,-1.72467e-06,3.2365799e-06,-2.90107e-05,-0.013141113,-0.20714283,-0.072921999
290.40399,-19.0825,2.1097901,-0.062157501,0.00304291,-3.8152498e-06,-2.6040501e-09,-4.7039598e-06,-0.0029228954,-0.20714281,-0.081406534
273.302,-19.702999,1.78579,-0.104569,-0.00029748399,-2.3105699e-06,1.64069e-06,-1.81089e-05,-0.00277785,-0.20714281,-0.077733591
253.85699,-20.795099,1.68213,-0.20035,0.0014252,-1.82627e-06,2.61696e-06,-2.5290101e-05,-0.0026328047,-0.20714281,-0.074060649
294.42599,-18.7346,1.98807,-2.6991601,-0.0034348301,-3.96317e-06,-3.4688799e-07,-2.9798e-06,0.0086899679,-0.20714281,-0.081011236
277.668,-19.262699,1.62412,-2.8271899,5.89831e-05,-3.20203e-06,1.04051e-06,-1.45634e-05,0.0083100554,-0.20714281,-0.077352569
258.905,-20.261801,1.51656,-3.01126,0.000247697,-2.42189e-06,2.06651e-06,-2.1633699e-05,0.0079301428,-0.20714281,-0.073693909
298.375,-18.0359,1.87988,-5.2290802,-6.1955499e-05,-4.0293298e-06,-6.9003698e-07,-1.31672e-06,0.020123634,-0.20714281,-0.078953773
281.97601,-18.4781,1.47805,-5.4235401,-0.00171094,-4.36651e-06,3.7251101e-07,-1.08034e-05,0.0192274,-0.20714281,-0.075387105
263.85999,-19.346901,1.35962,-5.6716399,-0.00198207,-3.5133701e-06,1.42845e-06,-1.73928e-05,0.018331168,-0.20714283,-0.071820438
302.17099,-17.011999,1.77529,-7.6131301,0.000114812,-3.9476599e-06,-1.03148e-06,3.3410601e-07,0.031146303,-0.20714281,-0.075278714
286.07999,-17.377899,1.34503,-7.8536501,0.000590385,-5.6756899e-06,-4.0533399e-07,-6.77345e-06,0.029751837,-0.20714281,-0.071878307
268.64999,-18.1222,1.20952,-8.1210604,0.0022728101,-4.9864002e-06,6.2693999e-07,-1.26761e-05,0.028357375,-0.20714283,-0.068477891
305.707,-15.6911,1.66795,-9.8149996,0.0038830801,-3.7089901e-06,-1.35911e-06,1.8406e-06,0.041533589,-0.20714281,-0.070076346
289.92499,-15.9891,1.2207201,-10.0818,-0.00076742901,-7.02747e-06,-1.2918e-06,-2.7493199e-06,0.039669286,-0.20714281,-0.066908732
273.04199,-16.6119,1.06115,-10.3523,-0.0052678101,-6.6638299e-06,-3.97755e-07,-7.6152501e-06,0.037804987,-0.20714283,-0.06374111
308.73001,-14.1062,1.5549999,-11.8014,-0.00141034,-3.2712001e-06,-1.6620399e-06,3.1908601e-06,0.051072381,-0.20714281,-0.063444279
293.25299,-14.3514,1.10888,-12.0791,-0.00191447,-8.2162196e-06,-2.2704201e-06,1.20507e-06,0.048778214,-0.20714281,-0.060576923
276.827,-14.8778,0.94013101,-12.34,0.00495617,-8.3024397e-06,-1.66008e-06,-2.44747e-06,0.046484042,-0.20714283,-0.057709567
311.39099,-12.2842,1.44209,-13.5395,0.000788451,-2.5863101e-06,-1.91038e-06,4.3167602e-06,0.059592791,-0.20714281,-0.055542935
296.22601,-12.4952,1.00068,-13.8194,-0.000454236,-8.9764198e-06,-3.26744e-06,4.9051e-06,0.056909416,-0.20714281,-0.053028099
280.091,-12.937,0.81257701,-14.0829,-0.00161023,-9.5198102e-06,-3.0999099e-06,2.6192699e-06,0.054226041,-0.20714283,-0.05051326
313.73599,-10.2685,1.33073,-14.9927,-0.0028146,-1.74296e-06,-2.1411299e-06,5.2863702e-06,0.066887863,-0.20714281,-0.046501935
298.909,-10.4478,0.89609402,-15.2795,0.0028775099,-9.3174103e-06,-4.2653601e-06,8.3100904e-06,0.063873261,-0.20714281,-0.044393197
283.069,-10.8324,0.69005001,-15.5475,-0.0024576399,-1.02859e-05,-4.6373002e-06,7.48401e-06,0.060858659,-0.20714283,-0.042284463
316.04099,-8.0944901,1.23072,-16.143999,0.0037465999,-6.4893698e-07,-2.30759e-06,6.0541502e-06,0.072804876,-0.20714281,-0.036498766
301.56799,-8.2635098,0.80238801,-16.432199,0.00123397,-8.8667502e-06,-5.1291499e-06,1.12966e-05,0.069523223,-0.20714281,-0.034842595
286.142,-8.6099005,0.58100098,-16.728201,0.00109038,-1.04426e-05,-6.2579202e-06,1.22847e-05,0.06624157,-0.20714281,-0.033186428
279.96301,-17.937799,2.5289199,7.6850801,0.00122647,-5.29414e-06,1.39498e-05,-0.000115961,-0.035113774,-0.20714281,-0.073583782
261.44199,-18.728201,2.3025999,8.0246496,0.00184668,-9.9847603e-06,1.86537e-05,-0.000148954,-0.033516005,-0.20714281,-0.070266955
239.69501,-19.816401,2.2546301,8.3509197,0.00084288401,-1.40023e-05,1.7071799e-05,-0.00013935901,-0.031918231,-0.20714281,-0.066950127
278.284,-17.099199,2.6423199,9.5843496,0.00092039001,-5.5308801e-06,1.57014e-05,-0.000103348,-0.042612668,-0.20714281,-0.069502763
259.466,-17.895201,2.43665,10.036,-0.0020083799,-2.40397e-06,1.49288e-05,-9.9734301e-05,-0.040677909,-0.20714281,-0.066372618
237.431,-18.9034,2.42257,10.4771,-0.00168666,-4.47192e-06,7.2718299e-06,-5.2979602e-05,-0.038743149,-0.20714283,-0.063242465
276.146,-16.042801,2.73715,11.4091,0.0037587399,-3.8665098e-06,1.93657e-05,-0.000113118,-0.049645904,-0.20714281,-0.064664274
256.96899,-16.823799,2.5557301,11.9691,-0.00313347,-2.2639999e-06,1.59841e-05,-9.8774202e-05,-0.047394831,-0.20714281,-0.061753735
234.582,-17.735201,2.5864999,12.5166,-0.0036267601,-4.03184e-06,7.0483302e-06,-4.84587e-05,-0.045143757,-0.20714283,-0.058843195
273.634,-14.7843,2.8145199,13.1371,-7.6716802e-05,-1.88287e-06,2.2853401e-05,-0.000117877,-0.056134846,-0.20714281,-0.059117794
254.05701,-15.5294,2.6608601,13.7977,0.00241059,-1.71427e-06,1.71867e-05,-9.6713098e-05,-0.053592153,-0.20714281,-0.056458578
231.261,-16.329,2.74088,14.4397,0.0013496201,-3.4817699e-06,6.7329402e-06,-4.4063301e-05,-0.05104946,-0.20714281,-0.053799361
271.36401,-13.3228,2.87954,14.7306,-0.00153487,-2.2003501e-07,2.57955e-05,-0.000118783,-0.062006857,-0.20714281,-0.052922431
251.41701,-14.01,2.76527,15.4829,0.0024917701,-1.06244e-06,1.82193e-05,-9.3481802e-05,-0.059201036,-0.20714281,-0.050544098
228.235,-14.6868,2.8824699,16.202999,-0.00067501899,-2.88353e-06,6.35172e-06,-3.97808e-05,-0.05639521,-0.20714281,-0.048165765
269.47501,-11.67,2.9319201,16.1567,-0.00207248,1.53474e-06,2.7931799e-05,-0.000116389,-0.067199953,-0.20714281,-0.046148289
249.198,-12.279,2.8394401,16.9893,-0.000321578,-1.8274e-07,1.89087e-05,-8.9076602e-05,-0.064161472,-0.20714281,-0.044076439
225.679,-12.8259,3.00793,17.770599,-0.00067513698,-2.1983899e-06,5.9416602e-06,-3.5649398e-05,-0.061122991,-0.20714281,-0.042004589
