"p","U:0","U:1","U:2","div(phi)","Res:0","Res:1","Res:2","Points:0","Points:1","Points:2"
695.99597,-16.163601,-5.86306,3.9014201,-0.00058578799,-3.6106901e-10,4.6770798e-10,-2.57387e-10,-0.04448564,-0.2071428,-0.1320499
655.32898,-21.2966,-5.0598698,7.3607402,0.000202475,-1.7027601e-08,2.36529e-08,-1.19912e-08,-0.041136581,-0.2071428,-0.12227266
612.04102,-21.1402,-3.38694,6.76402,0.00037144299,-5.84314e-08,5.0183498e-08,-3.34148e-08,-0.037787523,-0.2071428,-0.1124954
566.49902,-20.860201,1.95942,7.11903,-0.00105792,-1.8048701e-07,3.4438401e-08,-1.51213e-08,-0.034438469,-0.20714281,-0.10271814
520.61902,-21.0121,3.91436,6.7713199,0.000833005,-9.5508497e-08,-1.35394e-07,3.47509e-07,-0.031089408,-0.20714281,-0.092940897
468.931,-21.8204,3.4906099,6.5104399,-0.000401158,1.9667399e-07,-1.20569e-07,5.2357802e-07,-0.027866956,-0.20714281,-0.083533078
698.72498,-16.5658,-5.6345801,1.47518,0.00090228801,-7.7625401e-10,9.6770203e-10,-5.4069499e-10,-0.02523748,-0.20714279,-0.13704035
658.388,-21.929199,-4.8969998,4.2433701,0.00024175001,-1.9403201e-08,2.54032e-08,-1.2571e-08,-0.023314681,-0.2071428,-0.1268865
616.07098,-21.7285,-3.30372,3.6192,-7.0174603e-05,-6.05746e-08,5.2337199e-08,-3.5315701e-08,-0.021391882,-0.2071428,-0.11673266
571.005,-21.476101,1.95828,4.0482898,1.50728e-05,-1.84171e-07,3.6831199e-08,-2.2552699e-08,-0.019469082,-0.2071428,-0.10657882
525.32001,-21.6434,3.8873,3.71995,-0.00016662999,-1.5136899e-07,-1.15554e-07,2.8213299e-07,-0.017546283,-0.20714281,-0.096424982
474.186,-22.393101,3.36409,3.3134799,-0.000200614,9.7258599e-08,-2.27573e-08,1.52734e-07,-0.015696201,-0.20714281,-0.086654834
701.42297,-16.557699,-5.39467,-0.98249799,0.00078535901,-7.4987799e-10,1.04649e-09,-5.5979399e-10,-0.0054796226,-0.20714279,-0.13923517
