"p","U:0","U:1","U:2","div(phi)","Res:0","Res:1","Res:2","Points:0","Points:1","Points:2"
374.314,-11.8591,-4.3807602,2.8358901,-0.001113,1.12459e-09,1.65301e-10,-2.23736e-10,-0.04448564,-0.2071428,-0.1320499
352.30399,-15.6426,-3.7729599,5.4179101,0.00077193399,4.7120501e-08,8.7216296e-09,-8.8857597e-09,-0.041136581,-0.2071428,-0.12227266
329.00299,-15.5202,-2.54196,4.9562898,-0.000151329,1.57841e-07,1.24347e-08,-2.5939199e-08,-0.037787523,-0.2071428,-0.1124954
304.49301,-15.3008,1.36637,5.2151399,0.00102929,3.1436099e-07,-1.5753699e-09,-2.2384e-08,-0.034438469,-0.20714281,-0.10271814
279.849,-15.4036,2.88937,4.9626298,0.00016660101,8.1475299e-08,-6.7205796e-08,1.63685e-07,-0.031089408,-0.20714281,-0.092940897
252.145,-15.9866,2.6033599,4.7645102,0.00060173601,-4.8220301e-07,-5.5381602e-08,2.0617701e-07,-0.027866956,-0.20714281,-0.083533078
375.785,-12.145,-4.2111101,1.0565799,0.00116008,2.2635001e-09,3.4202699e-10,-4.4360601e-10,-0.02523748,-0.20714279,-0.13704035
353.96701,-16.1059,-3.6524601,3.1289001,-0.00062146201,5.1717102e-08,9.4194199e-09,-9.4587396e-09,-0.023314681,-0.2071428,-0.1268865
331.19299,-15.9524,-2.4828801,2.6500499,-2.61435e-05,1.65543e-07,1.30189e-08,-2.79238e-08,-0.021391882,-0.2071428,-0.11673266
306.94,-15.7573,1.36415,2.96366,-0.000964662,3.29225e-07,-2.0948501e-09,-2.9463999e-08,-0.019469082,-0.2071428,-0.10657882
282.39001,-15.8651,2.8703301,2.7280099,-0.00016662999,1.4426701e-07,-6.31088e-08,1.15922e-07,-0.017546283,-0.20714281,-0.096424982
254.992,-16.4051,2.5110199,2.4244599,-0.00060184102,-3.84277e-07,-2.23279e-08,-4.4048601e-08,-0.015696201,-0.20714281,-0.086654834
377.21899,-12.1306,-4.0313301,-0.74356598,-0.000550923,2.2398601e-09,3.7851999e-10,-4.64524e-10,-0.0054796226,-0.20714279,-0.13923517
355.577,-16.211599,-3.53284,0.808635,0.00115595,5.5474199e-08,1.09761e-08,-1.021e-08,-0.0050216345,-0.20714279,-0.12891294
