"p","U:0","U:1","U:2","div(phi)","Res:0","Res:1","Res:2","Points:0","Points:1","Points:2"
559.39099,-14.4863,-5.2849202,3.4869201,-0.00028117801,2.34195e-10,4.1822501e-10,1.69393e-10,-0.04448564,-0.2071428,-0.1320499
526.66199,-19.0959,-4.5574598,6.6051998,-0.00044291301,9.9867101e-09,2.3959601e-08,5.5888401e-09,-0.041136581,-0.2071428,-0.12227266
491.88,-18.9531,-3.0566101,6.0617399,-0.00030265801,1.82399e-08,4.6778101e-08,1.12454e-08,-0.037787523,-0.2071428,-0.1124954
455.289,-18.697399,1.73423,6.3800998,3.46612e-05,-4.2884501e-08,2.62902e-08,2.85818e-08,-0.034438469,-0.20714281,-0.10271814
418.44501,-18.832399,3.51616,6.0693302,0.000833005,-8.5882697e-08,-1.27519e-07,2.0889e-07,-0.031089408,-0.20714281,-0.092940897
376.95599,-19.554001,3.1454899,5.8333902,-0.000200579,-7.0730501e-08,-2.15173e-08,6.9047798e-07,-0.027866956,-0.20714281,-0.083533078
561.58301,-14.8433,-5.0791502,1.31277,-1.1718e-05,4.24734e-10,9.2998698e-10,2.76486e-10,-0.02523748,-0.20714279,-0.13704035
529.12598,-19.6626,-4.41085,3.81024,-1.39228e-05,1.0114e-08,2.5700301e-08,6.34873e-09,-0.023314681,-0.2071428,-0.1268865
495.12701,-19.4807,-2.9822299,3.2432499,0.000180252,2.1570701e-08,4.91187e-08,1.36761e-08,-0.021391882,-0.2071428,-0.11673266
458.918,-19.251699,1.73279,3.6278701,0.00070842402,-3.7273601e-08,3.09665e-08,4.2416101e-08,-0.019469082,-0.2071428,-0.10657882
422.22601,-19.397699,3.4923301,3.33564,-0.00033326101,-1.13523e-07,-9.2743598e-08,2.54686e-07,-0.017546283,-0.20714281,-0.096424982
381.186,-20.0669,3.0323701,2.9693999,-1.52254e-13,-1.17476e-07,1.2215899e-07,8.3713297e-07,-0.015696201,-0.20714281,-0.086654834
563.73999,-14.8328,-4.8625202,-0.88873601,0.000105496,4.9885801e-10,1.01608e-09,3.1423e-10,-0.0054796226,-0.20714279,-0.13923517
531.534,-19.7925,-4.26688,0.976215,6.4571403e-05,1.2039e-08,2.91744e-08,7.4560402e-09,-0.0050216345,-0.20714279,-0.12891294
498.422,-19.6021,-2.9377,0.40345001,0.00043907101,2.8307101e-08,5.5570499e-08,1.42236e-08,-0.0045636464,-0.2071428,-0.11859069
462.578,-19.460699,1.70359,0.80472201,-0.00111573,-3.5462101e-08,3.95437e-08,3.64189e-08,-0.0041056583,-0.2071428,-0.10826845
