"p","U:0","U:1","U:2","div(phi)","Res:0","Res:1","Res:2","Points:0","Points:1","Points:2"
166.52,-7.9327402,-3.01126,1.8659101,-8.2010301e-05,7.9853602e-10,6.4957803e-11,-1.5666e-10,-0.04448564,-0.2071428,-0.1320499
156.586,-10.4792,-2.5852499,3.64183,2.53093e-05,3.3381198e-08,3.8295598e-09,-6.0972498e-09,-0.041136581,-0.2071428,-0.12227266
146.17,-10.3868,-1.75624,3.30601,-0.000674101,1.08875e-07,2.20102e-09,-1.7550899e-08,-0.037787523,-0.2071428,-0.1124954
135.217,-10.2259,0.82241797,3.4760499,4.5210301e-05,2.5770501e-07,-7.2490698e-09,-2.10428e-08,-0.034438469,-0.20714281,-0.10271814
124.233,-10.2782,1.94433,3.3093801,-0.00023324099,3.21155e-07,-3.27103e-08,5.4969e-08,-0.031089408,-0.20714281,-0.092940897
111.949,-10.6547,1.7686,3.1674299,0.00168486,1.5477301e-09,-3.1678201e-08,6.6512897e-08,-0.027866956,-0.20714281,-0.083533078
167.179,-8.1147203,-2.89627,0.67606401,-0.000937442,1.64596e-09,1.36311e-10,-3.11729e-10,-0.02523748,-0.20714279,-0.13704035
157.34,-10.7886,-2.5039899,2.1093299,-0.00085055502,3.71999e-08,4.1919299e-09,-6.5857599e-09,-0.023314681,-0.2071428,-0.1268865
147.164,-10.6748,-1.71934,1.76511,-0.000217404,1.20249e-07,2.33139e-09,-1.9327199e-08,-0.021391882,-0.2071428,-0.11673266
136.321,-10.5361,0.81904602,1.97144,0.00039189399,2.6671e-07,-8.1359097e-09,-2.5720301e-08,-0.019469082,-0.2071428,-0.10657882
125.371,-10.5849,1.93252,1.8207099,6.6652101e-05,3.52847e-07,-3.3926899e-08,3.1300299e-08,-0.017546283,-0.20714281,-0.096424982
113.229,-10.9326,1.7069401,1.60981,-0.00074227102,9.4093501e-08,-3.0125999e-08,-5.2620202e-08,-0.015696201,-0.20714281,-0.086654834
167.80499,-8.0962,-2.77264,-0.525433,0.00019927,1.66574e-09,1.59716e-10,-3.26281e-10,-0.0054796226,-0.20714279,-0.13923517
158.05299,-10.8587,-2.4214201,0.55702502,0.00062165799,4.0102499e-08,5.1137499e-09,-7.2152502e-09,-0.0050216345,-0.20714279,-0.12891294
