"p","U:0","U:1","U:2","div(phi)","Res:0","Res:1","Res:2","Points:0","Points:1","Points:2"
445.44601,-12.9341,-4.7519102,3.10221,-0.00038662,2.0108899e-09,1.71838e-10,-3.0627201e-10,-0.04448564,-0.2071428,-0.1320499
419.30801,-17.055099,-4.09512,5.9036798,7.5928001e-05,8.8662098e-08,9.2364898e-09,-1.16579e-08,-0.041136581,-0.2071428,-0.12227266
391.58899,-16.9247,-2.75471,5.40804,0.00016508601,3.7339501e-07,1.26621e-08,-3.23876e-08,-0.037787523,-0.2071428,-0.1124954
362.42899,-16.6903,1.5138201,5.69102,0.000384288,8.9593601e-07,-2.6246001e-09,-3.1505401e-08,-0.034438469,-0.20714281,-0.10271814
333.09299,-16.806,3.1468,5.4148998,0.000833005,2.8769901e-07,-7.2640098e-08,1.53123e-07,-0.031089408,-0.20714281,-0.092940897
300.09,-17.4452,2.82724,5.2007699,-0.00060173601,-1.22918e-06,-5.3125799e-08,2.99774e-08,-0.027866956,-0.20714281,-0.083533078
447.19601,-13.2487,-4.5672898,1.1614701,0.000128898,4.4824402e-09,3.5436201e-10,-5.7593802e-10,-0.02523748,-0.20714279,-0.13704035
421.28101,-17.560499,-3.9637699,3.4077201,8.4802399e-05,9.8532198e-08,9.9535402e-09,-1.25456e-08,-0.023314681,-0.2071428,-0.1268865
394.189,-17.3958,-2.68941,2.8922901,-0.00035362499,3.8940101e-07,1.31677e-08,-3.5531201e-08,-0.021391882,-0.2071428,-0.11673266
365.33401,-17.187,1.51188,3.23436,-0.000135656,9.3423301e-07,-3.54737e-09,-4.54156e-08,-0.019469082,-0.2071428,-0.10657882
336.112,-17.3099,3.1259601,2.97628,-0.000999782,5.0588898e-07,-6.9786502e-08,7.13394e-08,-0.017546283,-0.20714281,-0.096424982
303.47198,-17.902,2.7267301,2.6466701,0.00040122701,-9.6572103e-07,-2.38098e-08,-3.6552399e-07,-0.015696201,-0.20714281,-0.086654834
448.90799,-13.2355,-4.37219,-0.802679,0.000363375,4.3764898e-09,3.9347001e-10,-6.1208999e-10,-0.0054796226,-0.20714279,-0.13923517
423.19901,-17.6758,-3.8340499,0.87740099,0.000574812,1.01505e-07,1.15841e-08,-1.36843e-08,-0.0050216345,-0.20714279,-0.12891294
396.81699,-17.502001,-2.65012,0.358006,-0.000652413,4.0801501e-07,1.51627e-08,-3.79878e-08,-0.0045636464,-0.2071428,-0.11859069
368.25299,-17.372,1.48523,0.71526802,0.00064832799,1.03626e-06,-1.7498e-09,-3.7268801e-08,-0.0041056583,-0.2071428,-0.10826845
339.11899,-17.436899,3.11604,0.49991399,0.0013334299,7.35882e-07,-8.2678397e-08,1.6206801e-07,-0.0036476704,-0.20714281,-0.097946204
306.85599,-17.962799,2.62764,0.081744097,-0.00100336,-8.0216302e-07,-9.7521202e-08,3.8061e-08,-0.0032070472,-0.20714281,-0.088014044
451.94699,-12.8881,-4.1705499,-2.72787,-0.000339783,4.5743e-09,4.4286699e-10,-6.7075201e-10,0.014396601,-0.2071428,-0.13862558
425.621,-17.4571,-3.70175,-1.6518199,0.000189837,9.57846e-08,1.13075e-08,-1.31367e-08,0.013379619,-0.2071428,-0.12834154
399.29501,-17.246799,-2.59904,-2.1496301,0.000605379,4.2684701e-07,1.72464e-08,-4.1923599e-08,0.012362637,-0.2071428,-0.11805751
370.823,-17.180901,1.47039,-1.79032,-0.000482303,1.10232e-06,-7.3338002e-10,-3.7095599e-08,0.011345655,-0.20714281,-0.10777348
342.017,-17.222799,3.11866,-1.96253,-0.00099975301,9.2914001e-07,-9.1237098e-08,2.04065e-07,0.010328673,-0.20714281,-0.097489446
310.26199,-17.6731,2.5453501,-2.4407401,-1.95754e-13,-5.7160003e-07,-1.41429e-07,2.38396e-07,0.009350053,-0.20714281,-0.087593995
452.46201,-12.4132,-3.9734099,-4.6733899,4.6885099e-05,5.1049902e-09,5.0556498e-10,-7.4760498e-10,0.033968031,-0.2071428,-0.13515307
426.58801,-16.995199,-3.5697899,-4.1395898,-0.00073432398,1.15149e-07,1.46414e-08,-1.5880699e-08,0.031498428,-0.2071428,-0.12512141
401.09201,-16.653299,-2.5351,-4.6041899,-0.00024775101,4.5796199e-07,1.9468301e-08,-4.63078e-08,0.029028827,-0.2071428,-0.11508976
