"p","U:0","U:1","U:2","div(phi)","Res:0","Res:1","Res:2","Points:0","Points:1","Points:2"
531.92999,-14.1281,-5.1640401,3.3977799,0.00090211298,1.60071e-10,2.92772e-10,1.50067e-10,-0.04448564,-0.2071428,-0.1320499
500.789,-18.623899,-4.4524698,6.4427099,-0.00046822199,7.08769e-09,1.7985901e-08,4.5133701e-09,-0.041136581,-0.2071428,-0.12227266
467.70901,-18.484501,-2.98946,5.9102702,0.00017884299,1.30576e-08,3.0890799e-08,9.2841201e-09,-0.037787523,-0.2071428,-0.1124954
432.91101,-18.2332,1.68072,6.2205601,-0.000791181,-5.3025399e-08,9.3596499e-09,2.49024e-08,-0.034438469,-0.20714281,-0.10271814
397.883,-18.364401,3.43083,5.9176798,-0.00116621,-8.3240899e-08,-1.09892e-07,1.9392201e-07,-0.031089408,-0.20714281,-0.092940897
358.44699,-19.066401,3.07635,5.6872101,0.000401158,-1.74657e-08,-1.5121101e-08,6.4806e-07,-0.027866956,-0.20714281,-0.083533078
534.01801,-14.4749,-4.9630799,1.2776099,0.000410131,2.9831401e-10,6.6549399e-10,2.32831e-10,-0.02523748,-0.20714279,-0.13704035
503.138,-19.1763,-4.30932,3.71684,0.000218967,6.8585e-09,1.92823e-08,5.17002e-09,-0.023314681,-0.2071428,-0.1268865
470.80399,-18.998699,-2.91729,3.16188,0.00046370301,1.5872301e-08,3.2409499e-08,1.15524e-08,-0.021391882,-0.2071428,-0.11673266
436.371,-18.774099,1.67925,3.53672,0.00043711299,-4.6288701e-08,1.19729e-08,3.8169699e-08,-0.019469082,-0.2071428,-0.10657882
401.483,-18.9154,3.40768,3.2522399,0.000999782,-1.1425e-07,-8.5927198e-08,2.37786e-07,-0.017546283,-0.20714281,-0.096424982
362.47601,-19.566299,2.9661701,2.8949201,0.00060184102,-7.8722302e-08,9.1537203e-08,7.87673e-07,-0.015696201,-0.20714281,-0.086654834
536.06897,-14.4635,-4.7512698,-0.86888999,-0.000457149,3.6379799e-10,7.3893602e-10,2.6716401e-10,-0.0054796226,-0.20714279,-0.13923517
505.42899,-19.3027,-4.16855,0.95307499,-0.00081157399,8.2695797e-09,2.2067599e-08,6.1199898e-09,-0.0050216345,-0.20714279,-0.12891294
473.94101,-19.1166,-2.87395,0.39294201,-0.00065929501,2.2351699e-08,3.69653e-08,1.20262e-08,-0.0045636464,-0.2071428,-0.11859069
439.854,-18.9776,1.65081,0.78412402,0.00015077399,-4.5698901e-08,1.72833e-08,3.2409801e-08,-0.0041056583,-0.2071428,-0.10826845
405.065,-19.054501,3.3965199,0.54519999,0.000166679,-1.27799e-07,-1.08946e-07,2.0636899e-07,-0.0036476704,-0.20714281,-0.097946204
366.50601,-19.6332,2.8577399,0.090568997,-0.00060201401,-9.3169703e-08,-4.6544599e-08,7.2741199e-07,-0.0032070472,-0.20714281,-0.088014044
539.70203,-14.0867,-4.5329099,-2.9735301,0.000281199,4.23825e-10,8.4938301e-10,3.2059699e-10,0.014396601,-0.2071428,-0.13862558
508.32401,-19.066,-4.0254102,-1.80975,6.3279003e-05,7.9326101e-09,2.14407e-08,6.2632401e-09,0.013379619,-0.2071428,-0.12834154
476.89401,-18.837999,-2.8181901,-2.3475001,0.00042651701,2.92048e-08,4.16799e-08,1.30599e-08,0.012362637,-0.2071428,-0.11805751
442.91299,-18.768801,1.63495,-1.95383,-0.000105504,-3.92542e-08,2.1053101e-08,2.9569501e-08,0.011345655,-0.20714281,-0.10777348
408.51501,-18.8209,3.39906,-2.1468301,0,-1.35562e-07,-1.21721e-07,1.87862e-07,0.010328673,-0.20714281,-0.097489446
370.56201,-19.3167,2.7676699,-2.66749,0.00040122599,-1.24972e-07,-1.24381e-07,6.9608399e-07,0.009350053,-0.20714281,-0.087593995
540.30902,-13.5699,-4.3197699,-5.1017098,0.00024614701,4.9249099e-10,9.8009401e-10,3.8016901e-10,0.033968031,-0.2071428,-0.13515307
509.457,-18.5639,-3.88288,-4.5268898,0.00041780499,9.7875299e-09,2.7382301e-08,8.2900398e-09,0.031498428,-0.2071428,-0.12512141
479.03101,-18.189699,-2.7488101,-5.0297799,-0.00057808502,3.58609e-08,4.6854399e-08,1.44491e-08,0.029028827,-0.2071428,-0.11508976
445.62399,-18.115601,1.6411999,-4.61057,0.00036186501,-3.2863198e-08,2.5506299e-08,2.7880599e-08,0.026559226,-0.20714281,-0.1050581
411.845,-18.202999,3.4243,-4.7316799,-0.000333376,-1.3985e-07,-1.33307e-07,1.70974e-07,0.024089623,-0.20714281,-0.095026456
374.578,-18.623199,2.6914301,-5.33008,-0.00164563,-1.57426e-07,-1.9761499e-07,6.6069401e-07,0.021713285,-0.20714281,-0.085373864
542.14203,-12.7421,-4.1078601,-6.8448801,-0.00091464102,5.3751098e-10,1.11797e-09,4.5383799e-10,0.052852444,-0.20714279,-0.12891865
511.60599,-17.526199,-3.7481699,-7.1134801,-2.5331699e-05,9.9366799e-09,2.86936e-08,9.0385601e-09,0.048979439,-0.2071428,-0.11934347
481.28699,-17.194799,-2.6579499,-7.5409098,-0.000137693,4.3779e-08,5.2916501e-08,1.5816999e-08,0.045106433,-0.2071428,-0.10976829
448.55399,-17.1513,1.67425,-7.1275902,-0.000150833,-2.4057e-08,3.2006898e-08,2.41862e-08,0.041233428,-0.2071428,-0.10019311
415.30399,-17.246799,3.4658301,-7.2057099,0,-1.36563e-07,-1.41039e-07,1.46063e-07,0.037360422,-0.20714281,-0.09061794
378.50101,-17.5763,2.6234601,-7.8496499,0.00076286698,-1.8191901e-07,-2.6803201e-07,5.99911e-07,0.033633728,-0.20714281,-0.081404634
542.71698,-11.7495,-3.8991101,-8.62675,0.00094949501,6.2937e-10,1.28495e-09,5.4342297e-10,0.070663519,-0.20714279,-0.12009857
513.164,-16.2057,-3.62134,-9.5595303,0.000113953,1.09003e-08,3.32616e-08,1.08689e-08,0.065465227,-0.2071428,-0.11116886
483.254,-15.8586,-2.5808001,-9.90553,0.00068822497,5.1369199e-08,5.9580799e-08,1.78643e-08,0.060266942,-0.2071428,-0.10223915
451.07101,-15.8399,1.71105,-9.4864798,-0.00036187199,-1.5211301e-08,3.8975099e-08,2.2349001e-08,0.055068649,-0.2071428,-0.09330944
418.42401,-15.9741,3.52163,-9.49049,-0.000333373,-1.29753e-07,-1.47547e-07,1.25149e-07,0.049870361,-0.20714281,-0.084379733
382.146,-16.2043,2.5559199,-10.1868,-0.00026088601,-2.03509e-07,-3.30326e-07,5.4059001e-07,0.044868477,-0.20714281,-0.075787514
543.71997,-10.5531,-3.7139599,-10.253,-0.000211153,6.8757799e-10,1.43416e-09,6.49379e-10,0.087009355,-0.20714277,-0.10879207
514.68799,-14.5843,-3.50788,-11.7717,0.00022806801,1.20326e-08,3.8414299e-08,1.29908e-08,0.080595784,-0.20714277,-0.1006964
484.953,-14.2407,-2.49876,-12.0121,-0.00055095099,5.9430899e-08,6.7381002e-08,2.0094401e-08,0.074182205,-0.20714279,-0.092600726
453.328,-14.2488,1.75954,-11.6022,0.00039227799,-5.6261298e-09,4.8111801e-08,1.96187e-08,0.067768633,-0.2071428,-0.084505059
421.14401,-14.4065,3.57582,-11.5864,0.00066714198,-1.17107e-07,-1.50505e-07,9.97507e-08,0.061355058,-0.2071428,-0.076409385
385.20401,-14.5463,2.4742601,-12.3079,0.00100396,-2.14153e-07,-3.8617199e-07,4.6608099e-07,0.055183869,-0.20714281,-0.06861975
547.224,-9.0390196,-3.5541899,-11.6862,0.00035144301,7.7761803e-10,1.60833e-09,7.70569e-10,0.10165602,-0.2071428,-0.095342092
517.23602,-12.633,-3.42681,-13.7344,-0.000126536,1.25438e-08,4.34902e-08,1.52586e-08,0.094148964,-0.2071428,-0.088236853
486.86099,-12.3116,-2.4430101,-13.9105,0.000137561,6.7174398e-08,7.5196297e-08,2.2658901e-08,0.086641908,-0.2071428,-0.081131615
455.20001,-12.3617,1.78845,-13.5049,-0.000663037,4.6866302e-09,5.8802701e-08,1.73677e-08,0.079134859,-0.20714281,-0.074026376
423.327,-12.582,3.6206901,-13.4395,-0.00049976999,-1.0006e-07,-1.4788699e-07,7.3640898e-08,0.071627803,-0.20714281,-0.06692113
387.83099,-12.6328,2.3786299,-14.1739,0.000120341,-2.13159e-07,-4.28607e-07,3.8367099e-07,0.064404376,-0.20714281,-0.060084432
545.276,-7.4449501,-3.4888301,-13.0799,-0.00100737,9.6360997e-10,1.90994e-09,9.48148e-10,0.11418433,-0.2071428,-0.079916067
517.45398,-10.471,-3.37029,-15.4658,-0.000177133,1.37743e-08,5.0806602e-08,1.8394999e-08,0.10574306,-0.2071428,-0.073950492
488.005,-10.1568,-2.4089701,-15.5329,0.00082528702,7.4710002e-08,8.5485503e-08,2.61598e-08,0.097301781,-0.2071428,-0.067984916
456.758,-10.2454,1.81221,-15.1158,0.000678043,1.28757e-08,7.0142697e-08,1.61144e-08,0.088860504,-0.20714281,-0.062019344
425.104,-10.5245,3.6582301,-15.023,0.00049972499,-8.27376e-08,-1.4763999e-07,4.9944902e-08,0.080419227,-0.20714281,-0.056053769
389.992,-10.4982,2.2744901,-15.7455,-0.00078214199,-2.05177e-07,-4.7066499e-07,3.10508e-07,0.072296873,-0.20714281,-0.05031364
546.22998,-5.8192501,-3.43925,-14.1083,0.000117216,9.7134001e-10,2.04795e-09,1.0968501e-09,0.12435219,-0.20714279,-0.062818967
518.90503,-8.1177902,-3.33446,-16.834801,0,1.46711e-08,5.7635098e-08,2.1638201e-08,0.11515187,-0.20714279,-0.058119435
489.505,-7.8334198,-2.3361001,-16.811199,-0.00082582398,8.2208302e-08,9.5893299e-08,2.9891901e-08,0.10595153,-0.2071428,-0.053419903
458.38599,-7.9243698,1.88371,-16.408501,-0.00141724,2.1438201e-08,8.5222197e-08,1.41015e-08,0.096751206,-0.2071428,-0.048720371
426.763,-8.2564602,3.67085,-16.303699,-0.00056669302,-6.1143503e-08,-1.35992e-07,2.0849299e-08,0.087550879,-0.20714281,-0.044020839
392.11099,-8.1894398,2.19032,-16.9877,-0.00070232502,-1.67653e-07,-4.9159098e-07,2.18529e-07,0.07869821,-0.20714281,-0.039498962
532.367,-13.6492,-5.30475,5.2181401,-0.00095864502,1.67759e-07,4.3762199e-07,1.02044e-07,-0.060517725,-0.20714279,-0.12569229
499.73199,-17.858101,-4.5468302,8.7160902,0.000225693,3.59301e-07,8.3506302e-07,2.24281e-07,-0.055981725,-0.2071428,-0.11639176
466.53799,-17.7092,-2.9962299,8.2024603,-1.01528e-14,-1.0853699e-06,3.1974699e-07,4.9674998e-07,-0.05144573,-0.2071428,-0.10709122
431.67099,-17.469101,1.71486,8.4555902,0.00065442797,-1.87561e-06,-1.2007901e-06,2.1712899e-06,-0.046909731,-0.20714281,-0.097790688
396.47101,-17.5819,3.45312,8.1397696,0.00136068,-6.32492e-07,-4.26752e-07,7.6778097e-06,-0.042373732,-0.20714281,-0.088490143
356.742,-18.3064,3.1826899,8.0436401,0.00081903499,-2.6149701e-06,9.2346099e-06,2.02188e-05,-0.038009197,-0.20714281,-0.079541035
531.90198,-13.0555,-5.4391499,6.7965899,-9.5743299e-06,-1.0739e-07,8.87281e-08,3.0031099e-08,-0.073317491,-0.20714279,-0.11866338
499.996,-16.9519,-4.6129799,10.5677,0.00057909999,-3.1340099e-07,3.8739e-08,7.1145202e-08,-0.067835324,-0.20714279,-0.10988907
466.37799,-16.7707,-2.96697,10.0406,-0.00073068601,9.22046e-09,-1.12222e-07,2.46318e-07,-0.062353157,-0.2071428,-0.10111476
431.276,-16.535101,1.77686,10.2303,0.000287309,1.14878e-07,2.9466e-07,9.0041999e-07,-0.05687099,-0.2071428,-0.092340454
395.45401,-16.6663,3.4717901,9.9260902,0.00090740999,-7.95559e-07,2.53607e-06,2.27591e-06,-0.051388819,-0.2071428,-0.083566144
355.30701,-17.4091,3.2773499,9.9510603,-0.0019116499,2.49376e-07,8.0657101e-06,3.9360498e-06,-0.04611389,-0.20714281,-0.075123414
531.276,-12.3065,-5.56528,8.2720203,-0.000223443,2.85465e-08,5.0255199e-08,2.1138501e-08,-0.085314319,-0.20714279,-0.11034176
499.78201,-15.8491,-4.6794801,12.3103,0.00067919103,2.2810401e-08,-1.30477e-08,3.7438401e-08,-0.078946263,-0.20714279,-0.10218933
465.64001,-15.6399,-2.9593999,11.7862,-7.4955901e-06,8.5847198e-08,-3.4419099e-08,2.28384e-07,-0.072578207,-0.2071428,-0.0940369
430.29401,-15.4088,1.80762,11.9257,-0.000513145,6.7958801e-08,6.7038502e-07,8.1399202e-07,-0.066210151,-0.2071428,-0.085884467
393.927,-15.5576,3.47946,11.631,-0.00090757199,-4.4636499e-07,3.3778499e-06,1.6568e-06,-0.059842095,-0.2071428,-0.077732041
353.38699,-16.300501,3.3568201,11.777,0.00163885,3.9678901e-07,1.01258e-05,2.0136399e-06,-0.053714752,-0.20714281,-0.069887683
530.453,-11.4266,-5.6827102,9.6525402,-0.000175585,9.0715503e-08,1.12231e-08,-1.38011e-08,-0.096377559,-0.20714279,-0.1008153
498.828,-14.5757,-4.7427001,13.9368,-0.00134821,1.07376e-07,-4.42794e-08,-1.21372e-08,-0.089193106,-0.20714279,-0.093373418
464.168,-14.3361,-2.95766,13.4231,0.000959553,3.4583099e-08,6.68662e-08,1.8867701e-07,-0.082008645,-0.20714279,-0.08593154
428.737,-14.1183,1.82485,13.5079,-0.00096482702,3.3943699e-08,1.0642e-06,6.14898e-07,-0.074824192,-0.2071428,-0.078489661
391.93701,-14.2765,3.4737401,13.2298,2.9523099e-13,-2.08071e-07,4.3083101e-06,8.1867898e-07,-0.067639731,-0.2071428,-0.071047783
351.043,-14.9994,3.4235001,13.4915,-6.0715501e-13,6.7413902e-07,1.20233e-05,-5.38557e-08,-0.060726847,-0.20714281,-0.063887119
529.83301,-10.3991,-5.7909698,10.9136,0.000143685,2.2163199e-08,-2.21916e-08,-6.0067599e-08,-0.10638478,-0.20714277,-0.090187229
497.80399,-13.1278,-4.8010502,15.4267,0.00116048,9.6893e-09,-5.8665801e-08,-6.0947102e-08,-0.098462239,-0.20714277,-0.083536625
462.703,-12.8621,-2.9598401,14.9154,-0.0010178,-6.2401803e-08,1.86276e-07,1.29372e-07,-0.090539694,-0.20714279,-0.076886028
427.26401,-12.6613,1.8304501,14.9492,0.00051327498,3.0244301e-08,1.4802901e-06,3.3613901e-07,-0.082617149,-0.2071428,-0.070235431
390.07101,-12.8252,3.45576,14.69,-0.00068083598,2.61225e-08,5.2461801e-06,-1.04636e-07,-0.074694604,-0.2071428,-0.063584834
348.87299,-13.5044,3.46381,15.0658,-0.000819596,1.06863e-06,1.35669e-05,-2.01789e-06,-0.06707155,-0.20714281,-0.057185568
