"Points:0","Points:2","U:0","U:1","U:2","Res:0","Res:1","Res:2"
-0.048739072,-0.133422,-7.788596,-0.3354266,2.2160566,-1.4702526e-11,-2.023813e-13,6.4614243e-13
-0.046878174,-0.12840471,-8.510171,-0.6900608,2.9212322,1.2219528e-10,-3.4058846e-11,7.320078e-11
-0.045017275999999995,-0.12338740000000001,-8.778757,-0.9714968,2.9275353,2.4122332e-10,-1.3929367e-10,1.0430237e-10
-0.043156377999999995,-0.11837011,-8.898781,-1.1883299,2.9703448,4.878052e-10,-3.1080447e-10,-5.0706295e-10
-0.041295476,-0.11335281,-8.978399,-1.3349247,2.9982412,6.3284245e-10,-4.455942e-10,-2.6259488e-09
-0.039434578,-0.1083355,-9.034361,-1.3988676,3.0185134,7.0561307e-10,-4.29386e-10,-3.9093444e-09
-0.03757368,-0.1033182,-9.065632,-1.3757797,3.0266886,5.2496074e-10,-4.0676698e-10,-3.4849144e-09
-0.035712782,-0.09830090400000001,-9.068028,-1.263811,3.0181131,2.5366004e-10,-3.2239147e-10,-1.8540723e-09
-0.033851881,-0.093283601,-9.034839,-1.0651447,2.9893262,2.0792838e-10,-7.7682055e-11,-1.5731798e-09
-0.031990983,-0.088266298,-8.95803,-0.78632224,2.9374225,2.0389616e-10,5.2784596e-11,-1.2392402e-09
-0.030130085,-0.083248995,-8.829271,-0.43879172,2.8591492,1.2309663e-09,3.5199582e-10,-5.954102e-10
-0.028269187,-0.078231692,-8.64252,-0.038955055,2.7506437,3.1174994e-09,8.308915e-10,-2.115213e-09
-0.036215965,-0.13733894,-7.9494953,-0.3304581,1.4945767,-1.1324515e-11,-1.000104e-12,1.794466e-12
-0.034826465,-0.13217273,-8.731933,-0.68375087,2.1624572,1.3057012e-10,-3.9092056e-11,8.332226e-11
-0.033436965,-0.12700652,-8.9999075,-0.9690921,2.1312723,3.1294153e-10,-1.5707367e-10,1.6786972e-10
-0.032047462,-0.12184031,-9.1216,-1.1934206,2.1553583,5.592632e-10,-3.3328743e-10,-3.6164413e-10
-0.030657962,-0.11667409,-9.202436,-1.3509262,2.1696115,8.036107e-10,-4.7538834e-10,-2.7311657e-09
-0.02926846,-0.11150788,-9.260326,-1.4286078,2.1795661,6.210718e-10,-4.8645843e-10,-4.0721044e-09
