U:0,U:1,U:2,Res:0,Res:1,Res:2,Points:0,Points:2
3.5765038467407226,-0.016328598787307746,-1.2199135146881104,-2.0386865855274635e-11,7.710626825156004e-13,-3.4465876722429315e-12,-0.048739072,-0.133422
3.8404290634155274,0.04069822564651493,-1.5968379764892582,-2.3323718328988565e-11,5.80255297874347e-12,-3.283412112281797e-10,-0.046878174,-0.12840471
3.938842904663085,0.07406317955017094,-1.5841348045135488,-3.2698366090262766e-10,-3.101067381759762e-11,-6.812736177053599e-10,-0.045017275999999995,-0.12338740000000001
3.977719177246094,0.1009400649261476,-1.5931852181243897,-4.3419479486575095e-10,-2.1489366549758278e-10,-9.727239571859433e-10,-0.043156377999999995,-0.11837011
4.001400723266601,0.12105520212402343,-1.5954687138580326,-4.2307755488592095e-10,-4.1997029942666886e-10,-2.2271357817457134e-09,-0.041295476,-0.11335281
4.017439114379883,0.13292239288330077,-1.5962064589141844,-3.368969320249916e-10,-4.5843299797901497e-10,-2.285444403751902e-09,-0.039434578,-0.1083355
4.025168133544922,0.1345802520370485,-1.5940714242553709,-4.3160030845637693e-10,-4.296748812091168e-10,-3.089544570880871e-10,-0.03757368,-0.1033182
4.022271549987792,0.12670900775909422,-1.5869169637084957,-1.1907300625807768e-09,-3.2011773462753693e-10,2.731367659898291e-09,-0.035712782,-0.09830090400000001
4.005161323547362,0.10926534191131587,-1.5726339613677975,-2.8957216171551093e-09,-2.2786204523284166e-10,4.659129991355091e-09,-0.033851881,-0.093283601
3.9692702529907233,0.08278673393890379,-1.5486375860382076,-5.533873636158245e-09,-5.898874338615556e-10,6.054910045062296e-09,-0.031990983,-0.088266298
3.910328683471679,0.04849627794075012,-1.5120308823944093,-7.785534071131013e-09,-1.1286941786206527e-09,5.105299878873032e-09,-0.030130085,-0.083248995
3.8249800491333,0.008234843822788239,-1.4597263698364253,-9.697300630235313e-09,-1.846288477747869e-09,-3.8490289372740285e-10,-0.028269187,-0.078231692
3.646604684448242,-0.018891094610443138,-0.8191333074188232,-1.814572491037802e-11,8.686260290074613e-13,-6.845733648553158e-12,-0.036215965,-0.13733894
3.940067359924317,0.040012122156372065,-1.1860427722930909,-4.6326875842818975e-11,6.901344018817516e-12,-3.9689072118520027e-10,-0.034826465,-0.13217273
4.038892506408692,0.0739779289436342,-1.1560976840209958,-3.4826144620231624e-10,-2.560866351236455e-11,-8.171132618737878e-10,-0.033436965,-0.12700652
4.078899848937988,0.101639351425171,-1.1568717854858397,-5.394068086868361e-10,-2.1571341543581312e-10,-1.0774161313081253e-09,-0.032047462,-0.12184031
4.103063552856446,0.12278373918762187,-1.1530284459899902,-5.642693219981687e-10,-4.585236388045389e-10,-2.605655728012464e-09,-0.030657962,-0.11667409
4.119773614501954,0.13596217853546144,-1.1489338550567627,-8.187681949041482e-10,-5.734857310942276e-10,-2.7963144314295794e-09,-0.02926846,-0.11150788
4.128317630004883,0.13912968082427968,-1.1434669258880619,-1.0500089795958153e-09,-6.555260604318933e-10,-8.553582021529535e-10,-0.027878961,-0.10634167
4.126626644897462,0.13288052127838124,-1.1346151880859376,-1.8901090515676027e-09,-4.950283282929668e-10,2.363470641550204e-09,-0.026489459,-0.10117546
4.110950765991211,0.11708136508941647,-1.1207408850860596,-3.312279233924517e-09,-3.726514354757701e-10,3.897236974297832e-09,-0.025099958999999998,-0.09600924
4.076989549255371,0.09209125991226197,-1.1000195026184083,-5.851215468565305e-09,-4.072971926697335e-10,5.922693914966739e-09,-0.023710457999999997,-0.090843029
4.019872518920899,0.05894440863204953,-1.0700707088684083,-8.44095988180246e-09,-9.292649102008226e-10,4.5282390621376324e-09,-0.022320956,-0.085676819
3.9355278442382815,0.01933928972362517,-1.0279423991607666,-1.1190648628721591e-08,-2.361531747462179e-09,-1.1219521364038323e-09,-0.020931456,-0.080510601
3.6826238616943368,-0.02205541715431214,-0.4300082339668274,-1.8536307434804745e-11,1.1790876698500275e-12,-8.402163456484231e-12,-0.023389524,-0.14009425
