"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-10.088678,-3.3923917,4.6657844,-0.069613,-0.2,-0.12704000000000001
-12.742423,-2.405863,6.5581536,-0.059497,-0.2,-0.10879000000000001
-12.783923,-0.79977155,6.5052624,-0.054438,-0.2,-0.09966599999999999
-12.766158,1.0327436,6.539821,-0.04938,-0.2,-0.09054
-12.754421,1.4900767,6.517312,-0.044322,-0.2,-0.081415
-13.012368,1.1098065,6.6968737,-0.039655,-0.2,-0.072996
-9.561092,-3.4560132,5.8103867,-0.082504,-0.2,-0.11905999999999999
-10.762241,-3.1924284,6.883755,-0.076521,-0.2,-0.11051
-12.000545,-2.3980696,7.850557,-0.070538,-0.2,-0.10197
-12.010251,-0.74537504,7.8048706,-0.064555,-0.2,-0.093421
-11.980227,1.103525,7.8289795,-0.058571000000000005,-0.2,-0.084876
-11.95598,1.5498571,7.839266,-0.052588,-0.2,-0.07633
-12.198665,1.186434,8.078919,-0.047068,-0.2,-0.068445
-8.928394,-3.5153048,6.855992,-0.094493,-0.2,-0.10977999999999999
-10.016937,-3.2323935,8.00959,-0.08765,-0.2,-0.1019
-11.121673,-2.3954773,9.068043,-0.080808,-0.2,-0.09403099999999999
-11.099827,-0.7030939,9.026107,-0.073965,-0.2,-0.086158
-11.059289,1.1604375,9.035519,-0.067123,-0.2,-0.07828500000000001
-11.022447,1.598885,9.065509,-0.06027999999999999,-0.2,-0.070412
-11.2376995,1.2542081,9.361673,-0.053967999999999995,-0.2,-0.063149
-8.193391,-3.5701964,7.81292,-0.10545,-0.2,-0.09929600000000001
-9.156354,-3.2701132,9.045897,-0.09782,-0.2,-0.092181
-10.115769,-2.3958457,10.192156,-0.090192,-0.2,-0.085066
-10.0654125,-0.66952205,10.147791,-0.082565,-0.2,-0.07795099999999999
-10.017837,1.2050413,10.139657,-0.074937,-0.2,-0.070836
-9.966918,1.6343892,10.180675,-0.06731000000000001,-0.2,-0.063722
-10.141125,1.3080368,10.528448,-0.060273,-0.2,-0.05715800000000001
-7.351689,-3.6205683,8.6761055,-0.11525,-0.2,-0.08772999999999999
-8.1796665,-3.305405,9.981184,-0.10692,-0.2,-0.08145
-8.988049,-2.398868,11.202274,-0.098587,-0.2,-0.075171
-8.915816,-0.64423305,11.149045,-0.090258,-0.2,-0.068892
-8.8639145,1.2374111,11.124676,-0.081929,-0.2,-0.062612
-8.797517,1.6561513,11.170516,-0.0736,-0.2,-0.056333
-8.91981,1.3463715,11.560744,-0.065916,-0.2,-0.050539999999999995
-6.412636,-3.6666563,9.439958,-0.12378,-0.2,-0.075204
-7.097541,-3.3385487,10.808437,-0.11484000000000001,-0.2,-0.069829
-7.752103,-2.404614,12.0882015,-0.1059,-0.2,-0.064455
-7.6651263,-0.6270297,12.018431,-0.096964,-0.2,-0.059079999999999994
-7.610605,1.2580724,11.979984,-0.088026,-0.2,-0.053704999999999996
-7.5275173,1.6652293,12.024719,-0.079087,-0.2,-0.04833
-7.5898232,1.3692542,12.4463,-0.070841,-0.2,-0.043371
-14.61442,0.5301852,3.2885082,-0.019672,-0.2,-0.077065
-14.121317,0.66691446,5.2750926,-0.030438,-0.2,-0.073476
-14.653153,0.9664161,5.4748406,-0.029067000000000003,-0.2,-0.0702
-15.142559,0.7941615,3.4089923,-0.018782,-0.2,-0.073629
-15.512416,2.185329,5.6796513,-0.027696,-0.2,-0.066924
-16.048399,1.9870441,3.5103567,-0.017891999999999998,-0.2,-0.07019299999999999
-14.846646,0.3836289,1.1642221,-0.0085068,-0.2,-0.07909
-15.341955,0.593186,1.2112842,-0.008115100000000002,-0.2,-0.075562
-16.28943,1.7622172,1.1747465,-0.0077235,-0.2,-0.072034
-14.760147,0.24118532,-1.0008669,0.0028318,-0.2,-0.07950399999999999
-15.19812,0.38201502,-1.0141895,0.0027174,-0.2,-0.075959
