"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-18.223,-4.9479,6.6648,635.48,-0.051881,-0.2,-0.12404
-16.081,-5.2896,5.2348,654.61,-0.055958,-0.2,-0.13364
-18.825,-4.8473,4.1358,637,-0.033694,-0.2,-0.13015
-16.582,-5.1543,2.9335,655.73,-0.036362,-0.2,-0.14023
-20.487,-3.8412,7.886,595.6,-0.047803,-0.2,-0.11443
-21.206,-3.8254,5.0808,597.82,-0.031026,-0.2,-0.12006
-20.605,-1.3066,7.7935,552.18,-0.043726,-0.2,-0.10483
-21.362,-1.392,4.9399,554.7,-0.028359,-0.2,-0.10998
-20.627,1.3569,7.8747,504.87,-0.039648,-0.2,-0.09522
-21.419,1.2269,5.0343,507.61,-0.025691,-0.2,-0.099892
-20.648,1.9634,7.8132,452.53,-0.035571,-0.2,-0.085615
-21.457,1.8277,4.9583,455.89,-0.023023,-0.2,-0.089806
-21.057,1.3968,7.9884,403.5,-0.031809,-0.2,-0.076752
-21.853,1.2396,5.0255,407.61,-0.020562,-0.2,-0.080501
-16.8,-4.9895,0.45232,658.18,-0.016036,-0.2,-0.144
-19.1,-4.723,1.3844,639.58,-0.014831,-0.2,-0.13364
-21.546,-3.7984,2.0078,601.06,-0.013626,-0.2,-0.12327
-21.746,-1.4844,1.8057,558.6,-0.01242,-0.2,-0.11291
-21.854,1.0777,1.9091,511.94,-0.011215,-0.2,-0.10254
-21.902,1.6702,1.8258,460.79,-0.01001,-0.2,-0.09218
-22.269,1.0644,1.8114,413.2,-0.0088985,-0.2,-0.082618
-16.608,-4.8088,-2.0244,661.2,0.0046186,-0.2,-0.14479
-18.946,-4.5877,-1.3691,642.51,0.0043362,-0.2,-0.13437
-21.431,-3.7704,-1.0664,604.29,0.0040539,-0.2,-0.12394
-21.669,-1.5826,-1.3335,562.39,0.0037715,-0.2,-0.11352
-21.838,0.92443,-1.2298,516.21,0.0034892,-0.2,-0.10309
-21.892,1.5098,-1.305,465.74,0.0032069,-0.2,-0.092668
-22.21,0.89068,-1.3778,418.81,0.0029463,-0.2,-0.08305
-16.109,-4.6187,-4.4685,663.14,0.025192,-0.2,-0.14274
-18.445,-4.4437,-4.0831,644.49,0.023426,-0.2,-0.13246
-20.906,-3.7324,-4.0848,606.8,0.021661,-0.2,-0.12217
-21.139,-1.6678,-4.4079,565.65,0.019895,-0.2,-0.11188
-21.361,0.78078,-4.3027,520.13,0.01813,-0.2,-0.10159
-21.437,1.3513,-4.3624,470.53,0.016364,-0.2,-0.091307
-21.709,0.71655,-4.4757,424.28,0.014735,-0.2,-0.081816
-15.332,-4.4233,-6.6872,663.83,0.045214,-0.2,-0.13759
-17.594,-4.2951,-6.6282,645.58,0.042006,-0.2,-0.12768
