"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-5.7285,-1.6497,2.0897,60.566,-0.051881,-0.2,-0.12404
-5.08,-1.7734,1.6447,62.474,-0.055958,-0.2,-0.13364
-5.9139,-1.6183,1.2949,60.725,-0.033694,-0.2,-0.13015
-5.2321,-1.7314,0.91924,62.591,-0.036362,-0.2,-0.14023
-6.4106,-1.2827,2.4642,56.633,-0.047803,-0.2,-0.11443
-6.6341,-1.2787,1.587,56.861,-0.031026,-0.2,-0.12006
-6.4366,-0.5065,2.4171,52.392,-0.043726,-0.2,-0.10483
-6.6721,-0.53574,1.527,52.65,-0.028359,-0.2,-0.10998
-6.4143,0.3505,2.4271,47.798,-0.039648,-0.2,-0.09522
-6.6601,0.30864,1.5448,48.078,-0.025691,-0.2,-0.099892
-6.3881,0.60573,2.3951,42.785,-0.035571,-0.2,-0.085615
-6.6379,0.56252,1.5135,43.12,-0.023023,-0.2,-0.089806
-6.4946,0.45533,2.4382,38.12,-0.031809,-0.2,-0.076752
-6.7397,0.40505,1.5255,38.523,-0.020562,-0.2,-0.080501
-5.2936,-1.6784,0.13978,62.831,-0.016036,-0.2,-0.144
-5.9954,-1.5779,0.43196,60.981,-0.014831,-0.2,-0.13364
-6.7386,-1.2704,0.62672,57.184,-0.013626,-0.2,-0.12327
-6.7908,-0.56667,0.55053,53.037,-0.01242,-0.2,-0.11291
-6.795,0.26087,0.57494,48.509,-0.011215,-0.2,-0.10254
-6.7756,0.51199,0.54618,43.605,-0.01001,-0.2,-0.09218
-6.8681,0.34863,0.53545,39.069,-0.0088985,-0.2,-0.082618
-5.2266,-1.6177,-0.63621,63.116,0.0046186,-0.2,-0.14479
-5.9418,-1.532,-0.42987,61.261,0.0043362,-0.2,-0.13437
-6.7005,-1.2602,-0.33314,57.5,0.0040539,-0.2,-0.12394
-6.7645,-0.5981,-0.42675,53.411,0.0037715,-0.2,-0.11352
-6.7885,0.21203,-0.39822,48.933,0.0034892,-0.2,-0.10309
-6.7731,0.46028,-0.42065,44.094,0.0032069,-0.2,-0.092668
-6.851,0.29232,-0.44648,39.617,0.0029463,-0.2,-0.08305
-5.0627,-1.5517,-1.3992,63.296,0.025192,-0.2,-0.14274
-5.7771,-1.4812,-1.2773,61.452,0.023426,-0.2,-0.13246
-6.5325,-1.2452,-1.2745,57.748,0.021661,-0.2,-0.12217
-6.5982,-0.62418,-1.3831,53.734,0.019895,-0.2,-0.11188
-6.6396,0.16677,-1.3503,49.326,0.01813,-0.2,-0.10159
-6.6334,0.40917,-1.3647,44.571,0.016364,-0.2,-0.091307
-6.6981,0.23604,-1.4,40.154,0.014735,-0.2,-0.081816
-4.8112,-1.4821,-2.0896,63.356,0.045214,-0.2,-0.13759
-5.5061,-1.4275,-2.0706,61.562,0.042006,-0.2,-0.12768
-6.2391,-1.2265,-2.1752,57.953,0.038798,-0.2,-0.11776
-6.3031,-0.64379,-2.2955,54.02,0.03559,-0.2,-0.10784
-6.3598,0.12638,-2.2623,49.687,0.032382,-0.2,-0.097928
-6.3669,0.35828,-2.27,45.001,0.029174,-0.2,-0.088012
-6.4184,0.17733,-2.3107,40.612,0.026215,-0.2,-0.078863
-4.4711,-1.411,-2.7119,63.394,0.064364,-0.2,-0.12982
-5.1317,-1.3729,-2.8046,61.661,0.059772,-0.2,-0.12045
-5.8272,-1.2064,-3.0221,58.141,0.05518,-0.2,-0.11108
-5.8892,-0.65869,-3.1514,54.266,0.050588,-0.2,-0.10171
-5.9616,0.089772,-3.1214,49.988,0.045996,-0.2,-0.092346
-5.9829,0.30574,-3.125,45.333,0.041404,-0.2,-0.082978
-6.0218,0.1138,-3.1618,40.958,0.037167,-0.2,-0.074335
-4.063,-1.3416,-3.3088,63.381,0.082161,-0.2,-0.11931
-4.6719,-1.3198,-3.4922,61.702,0.076284,-0.2,-0.11069
-5.3094,-1.1868,-3.8,58.264,0.070407,-0.2,-0.10208
-5.3659,-0.67043,-3.9372,54.445,0.06453,-0.2,-0.093459
-5.453,0.055282,-3.9153,50.195,0.058653,-0.2,-0.084842
-5.4883,0.24981,-3.9142,45.543,0.052776,-0.2,-0.076226
-5.5174,0.04402,-3.9389,41.2,0.047354,-0.2,-0.068276
-3.5729,-1.2759,-3.8419,63.508,0.098271,-0.2,-0.10637
