,U:0,U:1,U:2,Points:0,Points:1,Points:2
0,0.03399499999999911,0.22821179999999996,-0.02530800000000033,-0.051881,-0.2,-0.12404000000000001
1,-7.985311,-2.4588416,2.5541353,-0.055958,-0.2,-0.13364
2,0.08119299999999896,0.22992359999999978,-0.014941499999999941,-0.033694,-0.2,-0.13015
3,-8.238682,-2.4039952999999996,1.4265608,-0.036362,-0.2,-0.14023
4,0.07558399999999921,0.06983399999999995,-0.10220999999999991,-0.047803,-0.2,-0.11442999999999999
5,0.1751750000000012,0.1984735000000002,-0.09616530000000001,-0.031025999999999998,-0.2,-0.12005999999999999
6,0.09938499999999983,-0.06495509999999993,-0.056256599999999324,-0.043726,-0.2,-0.10482999999999999
7,0.12299400000000027,-0.0060339000000001475,-0.0316639000000003,-0.028359,-0.2,-0.10998
8,0.1436529999999987,0.13593369999999994,-0.06396459999999982,-0.039648,-0.2,-0.09522
9,0.09346799999999966,0.06832660000000013,-0.01282099999999975,-0.025691000000000002,-0.2,-0.099892
10,0.1506950000000007,-0.02583879999999983,-0.05883660000000024,-0.035571,-0.2,-0.085615
11,0.06711600000000217,-0.038822000000000134,-0.005113999999999841,-0.023023,-0.2,-0.089806
12,0.5483410000000006,0.04176410000000008,1.3941632000000004,-0.020562,-0.2,-0.080501
13,-0.3313459999999999,-0.09278740000000008,-1.4972092000000004,-0.031809,-0.2,-0.076752
14,0.9585589999999993,-0.038234800000000124,-0.42501685999999994,-0.014831,-0.2,-0.13364
15,-9.582707000000001,-2.2769084,0.67539227,-0.016036,-0.2,-0.14400000000000002
16,0.14128399999999885,0.1582176999999998,-0.04811043000000004,-0.013626,-0.2,-0.12327
17,0.21967200000000098,0.04436859999999998,-0.02929700000000013,-0.01242,-0.2,-0.11291
18,0.17737599999999887,0.04821738000000003,-0.02801869999999973,-0.011215000000000001,-0.2,-0.10254
19,0.04922800000000116,-0.055217659999999946,-0.007747899999999919,-0.01001,-0.2,-0.09218
20,0.018324999999999037,-0.030949349999999987,-0.018886599999999976,-0.0088985,-0.2,-0.082618
21,1.1655689999999996,0.09901420000000005,-0.3125203000000002,0.004336199999999999,-0.2,-0.13437000000000002
22,-9.378976,-2.1469237999999997,-0.6837586999999999,0.0046186000000000005,-0.2,-0.14479
23,0.24030899999999988,0.18304070000000006,0.0022669000000000716,0.0040539,-0.2,-0.12394000000000001
24,0.3097549999999991,0.04356842999999999,0.029030800000000134,0.0037715000000000005,-0.2,-0.11352000000000001
25,0.3214739999999985,0.017181119999999994,0.014664800000000144,0.0034891999999999996,-0.2,-0.10309000000000001
26,0.12474149999999895,-0.06574500000000005,0.02141869999999979,0.0032069000000000004,-0.2,-0.092668
27,-0.07490800000000064,-0.03299274000000002,0.014839850000000099,0.0029463000000000002,-0.2,-0.08305
28,1.0279640000000008,-0.25256880000000015,-0.1791993999999999,0.023426,-0.2,-0.13246
