"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
110.37,-9.7885,0.97195,5.0307,-0.044322,-0.2,-0.081415
98.036,-9.9923,0.74211,5.1544,-0.039655,-0.2,-0.072996
156.21,-8.2424,-2.6167,5.2664,-0.076521,-0.2,-0.11051
161.42,0,0,0,-0.082504,-0.2,-0.11906
145.82,-9.2136,-1.9887,6.1251,-0.070538,-0.2,-0.10197
134.93,-9.2388,-0.70366,6.0367,-0.064555,-0.2,-0.093421
123.04,-9.221,0.64746,6.0671,-0.058571,-0.2,-0.084876
110.05,-9.1929,1.0056,6.0432,-0.052588,-0.2,-0.07633
97.702,-9.39,0.78259,6.2144,-0.047068,-0.2,-0.068445
155.98,-7.6813,-2.6487,6.1417,-0.08765,-0.2,-0.1019
161.17,0,0,0,-0.094493,-0.2,-0.10978
145.56,-8.5388,-1.9833,7.0719,-0.080808,-0.2,-0.094031
134.59,-8.5472,-0.6687,6.9848,-0.073965,-0.2,-0.086158
122.65,-8.5244,0.68163,7.0083,-0.067123,-0.2,-0.078285
109.62,-8.4898,1.0322,6.9944,-0.06028,-0.2,-0.070412
97.26,-8.6671,0.81787,7.2114,-0.053968,-0.2,-0.063149
155.69,-7.0319,-2.6771,6.9503,-0.09782,-0.2,-0.092181
160.9,0,0,0,-0.10545,-0.2,-0.099296
145.19,-7.7664,-1.979,7.9457,-0.090192,-0.2,-0.085066
134.19,-7.7587,-0.63929,7.8585,-0.082565,-0.2,-0.077951
122.22,-7.7321,0.70942,7.8742,-0.074937,-0.2,-0.070836
109.17,-7.6873,1.0525,7.8692,-0.06731,-0.2,-0.063722
96.792,-7.8325,0.84669,8.1289,-0.060273,-0.2,-0.057158
155.47,-6.2932,-2.7019,7.6814,-0.10692,-0.2,-0.08145
160.73,0,0,0,-0.11525,-0.2,-0.08773
144.88,-6.8993,-1.9758,8.7314,-0.098587,-0.2,-0.075171
133.86,-6.8779,-0.61537,8.641,-0.090258,-0.2,-0.068892
121.88,-6.8492,0.73099,8.6489,-0.081929,-0.2,-0.062612
108.81,-6.7902,1.0664,8.6509,-0.0736,-0.2,-0.056333
96.441,-6.8917,0.86885,8.9472,-0.065916,-0.2,-0.05054
155.31,-5.4731,-2.7237,8.3275,-0.11484,-0.2,-0.069829
160.62,0,0,0,-0.12378,-0.2,-0.075204
144.65,-5.9479,-1.9741,9.4176,-0.1059,-0.2,-0.064455
133.63,-5.9162,-0.59729,9.3206,-0.096964,-0.2,-0.05908
121.64,-5.8854,0.74613,9.3217,-0.088026,-0.2,-0.053705
108.57,-5.8091,1.0736,9.3279,-0.079087,-0.2,-0.04833
96.223,-5.8574,0.88386,9.6517,-0.070841,-0.2,-0.043371
90.021,-10.822,0.51579,4.0808,-0.030438,-0.2,-0.073476
91.038,-11.201,0.43496,2.5575,-0.019672,-0.2,-0.077065
83.396,-11.258,0.80415,4.2629,-0.029067,-0.2,-0.0702
84.585,-11.63,0.68064,2.6704,-0.018782,-0.2,-0.073629
74.058,-12.468,1.5526,2.7267,-0.017892,-0.2,-0.070193
72.703,-12.064,1.705,4.4266,-0.027696,-0.2,-0.066924
92.286,-11.377,0.3407,0.91424,-0.0085068,-0.2,-0.07909
86,-11.784,0.53689,0.95907,-0.0081151,-0.2,-0.075562
75.604,-12.634,1.3839,0.89524,-0.0077235,-0.2,-0.072034
93.486,-11.31,0.23874,-0.70847,0.0028318,-0.2,-0.079504
87.349,-11.676,0.38058,-0.72008,0.0027174,-0.2,-0.075959
77.164,-12.519,1.1998,-0.90154,0.002603,-0.2,-0.072413
94.671,-11.022,0.13374,-2.2802,0.014116,-0.2,-0.078316
88.677,-11.337,0.22405,-2.3326,0.013497,-0.2,-0.074816
78.768,-12.149,1.0088,-2.6238,0.012877,-0.2,-0.071315
95.802,-10.523,0.026019,-3.7726,0.025106,-0.2,-0.075495
89.953,-10.786,0.07136,-3.8503,0.023997,-0.2,-0.072126
80.364,-11.546,0.81353,-4.2378,0.022889,-0.2,-0.068758
96.871,-9.8331,-0.084097,-5.1585,0.035589,-0.2,-0.071156
91.166,-10.048,-0.075254,-5.2493,0.03401,-0.2,-0.067976
81.917,-10.74,0.61746,-5.7163,0.032431,-0.2,-0.064797
97.833,-8.9719,-0.1973,-6.414,0.04534,-0.2,-0.065357
92.264,-9.1462,-0.2165,-6.5107,0.043327,-0.2,-0.062437
83.358,-9.758,0.42285,-7.0373,0.041314,-0.2,-0.059517
98.668,-7.9637,-0.31316,-7.5214,0.054172,-0.2,-0.058235
93.222,-8.1053,-0.35301,-7.6197,0.051766,-0.2,-0.055635
84.666,-8.63,0.23139,-8.1831,0.04936,-0.2,-0.053034
99.436,-6.8311,-0.43032,-8.4613,0.061935,-0.2,-0.049959
94.118,-6.9466,-0.48353,-8.5601,0.059172,-0.2,-0.047718
85.932,-7.3828,0.04674,-9.138,0.056409,-0.2,-0.045477
100.16,-5.6023,-0.55058,-9.2234,0.068381,-0.2,-0.04062
94.994,-5.6984,-0.60687,-9.3249,0.065337,-0.2,-0.038801
87.229,-6.049,-0.12402,-9.8994,0.062293,-0.2,-0.036982
100.7,-4.3764,-0.66477,-9.7826,0.073461,-0.2,-0.030472
95.646,-4.4618,-0.71715,-9.8863,0.070184,-0.2,-0.029103
88.212,-4.7441,-0.26657,-10.451,0.066907,-0.2,-0.027734
89.486,-10.334,0.58404,5.3412,-0.037951,-0.2,-0.069883
82.75,-10.76,0.91114,5.5865,-0.036246,-0.2,-0.066771
71.715,-11.524,1.8505,5.8298,-0.034542,-0.2,-0.063658
89.086,-9.7296,0.64372,6.4558,-0.045049,-0.2,-0.065529
82.287,-10.132,1.0016,6.758,-0.043029,-0.2,-0.062612
70.845,-10.847,1.9852,7.0638,-0.041009,-0.2,-0.059696
88.559,-8.9947,0.6953,7.5075,-0.051654,-0.2,-0.060459
81.677,-9.3595,1.0734,7.8621,-0.04934,-0.2,-0.057769
69.871,-10.016,2.0998,8.2278,-0.047027,-0.2,-0.055079
88.001,-8.1385,0.73992,8.4792,-0.057692,-0.2,-0.054725
81.027,-8.4576,1.1289,8.8798,-0.05511,-0.2,-0.052292
68.895,-9.0469,2.1938,9.3005,-0.052529,-0.2,-0.04986
87.588,-7.1658,0.77774,9.349,-0.063096,-0.2,-0.048391
80.536,-7.4318,1.1683,9.7882,-0.060276,-0.2,-0.046242
68.15,-7.9468,2.2661,10.258,-0.057455,-0.2,-0.044093
87.334,-6.0895,0.80834,10.099,-0.067811,-0.2,-0.041529
80.223,-6.2966,1.1915,10.569,-0.064781,-0.2,-0.039686
67.674,-6.7313,2.3163,11.082,-0.061752,-0.2,-0.037844
51.185,-12.52,2.8791,4.1787,-0.024229,-0.2,-0.058559
52.288,-12.943,2.7542,2.4242,-0.015713,-0.2,-0.060838
22.439,-12.017,3.9116,3.5939,-0.020761,-0.2,-0.050193
