"p","U:0","U:1","U:2","div(phi)","Points:0","Points:1","Points:2"
199.31,-8.9520998,-3.1953399,2.2982199,0.00064436701,-0.04448564,-0.2071428,-0.1320499
187.821,-11.3595,-2.7948101,3.8819799,0.000113892,-0.041136581,-0.2071428,-0.12227266
175.38699,-11.3371,-1.9067301,3.6516099,-0.000206357,-0.037787523,-0.2071428,-0.1124954
162.39799,-11.1555,0.92702901,3.7875099,0.00045210301,-0.034438469,-0.20714281,-0.10271814
149.33,-11.2084,2.1380401,3.61569,-0.00016660101,-0.031089408,-0.20714281,-0.092940897
134.70799,-11.6204,1.94683,3.45439,0.0010028901,-0.027866956,-0.20714281,-0.083533078
200.17,-9.1895399,-3.07616,0.95445597,3.5154098e-05,-0.02523748,-0.20714279,-0.13704035
188.75101,-11.6821,-2.7081201,2.22486,0.00068981003,-0.023314681,-0.2071428,-0.1268865
176.58701,-11.6558,-1.86439,1.97066,6.1918799e-05,-0.021391882,-0.2071428,-0.11673266
163.72301,-11.4903,0.923522,2.1460199,-0.00091944402,-0.019469082,-0.2071428,-0.10657882
150.694,-11.545,2.1240399,1.9909199,0.000133304,-0.017546283,-0.20714281,-0.096424982
136.23399,-11.9243,1.87965,1.756,-0.00058177998,-0.015696201,-0.20714281,-0.086654834
200.97701,-9.21311,-2.9483299,-0.409073,-0.00096118602,-0.0054796226,-0.20714279,-0.13923517
189.63499,-11.748,-2.6198399,0.54279202,-0.00097502797,-0.0050216345,-0.20714279,-0.12891294
177.783,-11.7252,-1.83778,0.27769801,0.000151541,-0.0045636464,-0.2071428,-0.11859069
165.04201,-11.6082,0.90350002,0.464257,0.000205053,-0.0041056583,-0.2071428,-0.10826845
152.05299,-11.6293,2.11731,0.34219199,-0.00031669001,-0.0036476704,-0.20714281,-0.097946204
137.75999,-11.9644,1.81291,0.0507982,-0.00124416,-0.0032070472,-0.20714281,-0.088014044
202.341,-9.0123701,-2.8139801,-1.74541,-0.000243706,0.014396601,-0.2071428,-0.13862558
190.717,-11.5819,-2.52758,-1.1393,0.00060494698,0.013379619,-0.2071428,-0.12834154
178.90199,-11.5548,-1.80118,-1.40019,-0.000330207,0.012362637,-0.2071428,-0.11805751
166.202,-11.4773,0.89336199,-1.21021,-0.00018086399,0.011345655,-0.20714281,-0.10777348
153.362,-11.4862,2.11941,-1.29852,-0.00048321401,0.010328673,-0.20714281,-0.097489446
139.289,-11.7709,1.7574,-1.62682,0.00154472,0.009350053,-0.20714281,-0.087593995
202.576,-8.7132797,-2.68014,-3.09518,0.0011018,0.033968031,-0.2071428,-0.13515307
191.19,-11.2172,-2.4337399,-2.7959499,0.00036716199,0.031498428,-0.2071428,-0.12512141
179.713,-11.1614,-1.75489,-3.04088,-0.000233987,0.029028827,-0.2071428,-0.11508976
167.22701,-11.0716,0.90039802,-2.83078,0.00027139901,0.026559226,-0.20714281,-0.1050581
154.625,-11.1093,2.1357501,-2.87356,0.00081677001,0.024089623,-0.20714281,-0.095026456
140.80099,-11.3472,1.71069,-3.2465301,-0.00156535,0.021713285,-0.20714281,-0.085373864
203.229,-8.2131205,-2.5459099,-4.1967502,-0.00111399,0.052852444,-0.20714279,-0.12891865
192.037,-10.6095,-2.3425701,-4.3780298,-0.00117793,0.048979439,-0.2071428,-0.11934347
180.58,-10.556,-1.69461,-4.5773802,0.00111531,0.045106433,-0.2071428,-0.10976829
168.33501,-10.4759,0.92615098,-4.3661399,-0.000256417,0.041233428,-0.2071428,-0.10019311
155.925,-10.5253,2.1627901,-4.38131,-0.000116723,0.037360422,-0.20714281,-0.09061794
142.27299,-10.7086,1.66952,-4.7795601,8.0301797e-05,0.033633728,-0.20714281,-0.081404634
203.36301,-7.5933499,-2.4131501,-5.3191199,3.51665e-05,0.070663519,-0.20714279,-0.12009857
192.57899,-9.8077602,-2.25701,-5.8741298,0.00026589099,0.065465227,-0.2071428,-0.11116886
181.295,-9.7358599,-1.64073,-6.0296402,-0.00086716301,0.060266942,-0.2071428,-0.10223915
169.265,-9.6686401,0.95423102,-5.8059001,0.00076897902,0.055068649,-0.2071428,-0.09330944
157.08701,-9.7492504,2.19912,-5.7740898,0.00053339702,0.049870361,-0.20714281,-0.084379733
143.63499,-9.87286,1.62883,-6.2023702,0.00054183998,0.044868477,-0.20714281,-0.075787514
203.66,-6.8489799,-2.29265,-6.3428202,0.00109096,0.087009355,-0.20714277,-0.10879207
