"p","U:0","U:1","U:2","div(phi)","Points:0","Points:1","Points:2"
535.26099,-14.5788,-5.0689602,3.7506001,0.000234315,-0.04448564,-0.2071428,-0.1320499
504.76999,-18.544399,-4.4414902,6.3345499,0.000316366,-0.041136581,-0.2071428,-0.12227266
471.55801,-18.5166,-2.9976299,5.9735498,0.00111433,-0.037787523,-0.2071428,-0.1124954
436.80701,-18.250999,1.6894701,6.2136898,-0.00086653099,-0.034438469,-0.20714281,-0.10271814
401.74301,-18.369301,3.46614,5.92588,-0.00033320201,-0.031089408,-0.20714281,-0.092940897
362.29599,-19.067499,3.11884,5.6809702,-0.00060173601,-0.027866956,-0.20714281,-0.083533078
537.55402,-14.9775,-4.8776598,1.5592999,0.00035154101,-0.02523748,-0.20714279,-0.13704035
507.21799,-19.0779,-4.30194,3.6282401,0.00015947899,-0.023314681,-0.2071428,-0.1268865
474.71899,-19.0376,-2.92414,3.2235,-0.000888879,-0.021391882,-0.2071428,-0.11673266
440.311,-18.7889,1.68674,3.5271101,-0.000195947,-0.019469082,-0.2071428,-0.10657882
405.37399,-18.923201,3.4415801,3.2586901,2.89058e-13,-0.017546283,-0.20714281,-0.096424982
366.34399,-19.568501,3.0090301,2.8901601,-0.000802455,-0.015696201,-0.20714281,-0.086654834
539.76801,-15.0262,-4.6756101,-0.66744,-0.000421984,-0.0054796226,-0.20714279,-0.13923517
509.60501,-19.190001,-4.1633201,0.87893701,-0.00034311501,-0.0050216345,-0.20714279,-0.12891294
477.92099,-19.1572,-2.8792701,0.45199999,0.00051064399,-0.0045636464,-0.2071428,-0.11859069
443.845,-18.989901,1.65663,0.77226901,1.50774e-05,-0.0041056583,-0.2071428,-0.10826845
408.99301,-19.063,3.4291799,0.551238,0.00050003699,-0.0036476704,-0.20714281,-0.097946204
370.397,-19.635099,2.9010999,0.086824797,0.000200671,-0.0032070472,-0.20714281,-0.088014044
543.48798,-14.7079,-4.4664302,-2.8531599,0.000785015,0.014396601,-0.2071428,-0.13862558
512.55701,-18.923,-4.0209999,-1.87269,0.00060747802,0.013379619,-0.2071428,-0.12834154
480.91501,-18.878201,-2.8211401,-2.29527,0.00061913801,0.012362637,-0.2071428,-0.11805751
446.93399,-18.7756,1.63943,-1.97049,0.00108518,0.011345655,-0.20714281,-0.10777348
412.46399,-18.8298,3.43104,-2.1440899,0.00066650199,0.010328673,-0.20714281,-0.097489446
374.46301,-19.3174,2.81163,-2.6713901,0.00060183898,0.009350053,-0.20714281,-0.087593995
544.09399,-14.2254,-4.2603798,-5.0657601,-0.00085565401,0.033968031,-0.2071428,-0.13515307
513.72699,-18.3645,-3.8777001,-4.5827699,-0.00119011,0.031498428,-0.2071428,-0.12512141
483.064,-18.2344,-2.74949,-4.9827399,0,0.029028827,-0.2071428,-0.11508976
449.64801,-18.1173,1.6452399,-4.62988,0,0.026559226,-0.20714281,-0.1050581
415.79099,-18.2083,3.45577,-4.7308302,0.000166688,0.024089623,-0.20714281,-0.095026456
378.46799,-18.6217,2.73669,-5.3340001,0.00040137299,0.021713285,-0.20714281,-0.085373864
545.836,-13.4202,-4.0536799,-6.8740501,4.6904701e-05,0.052852444,-0.20714279,-0.12891865
515.883,-17.338499,-3.73981,-7.16783,0.00058262999,0.048979439,-0.2071428,-0.11934347
485.30301,-17.245701,-2.65679,-7.4990802,-0.0012392401,0.045106433,-0.2071428,-0.10976829
452.55399,-17.1469,1.67819,-7.14849,-0.00105583,0.041233428,-0.2071428,-0.10019311
419.22198,-17.250401,3.4978299,-7.20717,-0.00050024001,0.037360422,-0.20714281,-0.09061794
382.353,-17.573299,2.6708601,-7.8541398,-7.6180497e-14,0.033633728,-0.20714281,-0.081404634
546.216,-12.4137,-3.8508999,-8.7171602,0.00050405302,0.070663519,-0.20714279,-0.12009857
517.36102,-16.0317,-3.61115,-9.61378,8.8630499e-05,0.065465227,-0.2071428,-0.11116886
487.20599,-15.9082,-2.57816,-9.87673,-2.3877601e-13,0.060266942,-0.2071428,-0.10223915
455.008,-15.8292,1.7145801,-9.5101604,0.0011911599,0.055068649,-0.2071428,-0.09330944
422.284,-15.976,3.5548301,-9.4954596,-0.00050005998,0.049870361,-0.20714281,-0.084379733
385.94,-16.200399,2.60602,-10.1931,-0.000180613,0.044868477,-0.20714281,-0.075787514
547.01099,-11.1981,-3.6721201,-10.3967,-0.000363653,0.087009355,-0.20714277,-0.10879207
518.76202,-14.4029,-3.49721,-11.8199,1.26704e-05,0.080595784,-0.20714277,-0.1006964
488.80399,-14.2901,-2.4960999,-11.9968,0,0.074182205,-0.20714279,-0.092600726
457.17599,-14.2342,1.7620699,-11.6298,-0.00061859301,0.067768633,-0.2071428,-0.084505059
424.92499,-14.4078,3.61064,-11.596,-0.00016678601,0.061355058,-0.2071428,-0.076409385
388.92499,-14.5424,2.52753,-12.3169,-0.000401586,0.055183869,-0.20714281,-0.06861975
550.30798,-9.6750202,-3.51846,-11.8736,0,0.10165602,-0.2071428,-0.095342092
521.18201,-12.4527,-3.4170301,-13.7724,-0.000253073,0.094148964,-0.2071428,-0.088236853
490.60199,-12.3617,-2.44258,-13.9095,0.000550244,0.086641908,-0.2071428,-0.081131615
458.948,-12.3453,1.78843,-13.5359,-0.00052741601,0.079134859,-0.20714281,-0.074026376
427.01901,-12.5836,3.65715,-13.4539,0.00066636101,0.071627803,-0.20714281,-0.06692113
391.47299,-12.6294,2.4354,-14.1862,0.00046130599,0.064404376,-0.20714281,-0.060084432
548.15002,-8.0405998,-3.4579,-13.3129,0.000808237,0.11418433,-0.2071428,-0.079916067
521.26202,-10.2905,-3.36164,-15.4938,-0.00074649003,0.10574306,-0.2071428,-0.073950492
491.634,-10.2082,-2.4121101,-15.5459,-0.00013754801,0.097301781,-0.2071428,-0.067984916
460.40799,-10.2275,1.80795,-15.1504,0.00073831301,0.088860504,-0.20714281,-0.062019344
428.71301,-10.5272,3.69611,-15.0418,0,0.080419227,-0.20714281,-0.056053769
393.56201,-10.4964,2.3325801,-15.7618,-0.00070192199,0.072296873,-0.20714281,-0.05031364
548.97302,-6.3769498,-3.40976,-14.3911,-0.00082051498,0.12435219,-0.20714279,-0.062818967
522.60999,-7.9477701,-3.32653,-16.8524,0.000886261,0.11515187,-0.20714279,-0.058119435
493.04599,-7.8839598,-2.3436401,-16.8398,-0.000275275,0.10595153,-0.2071428,-0.053419903
461.95999,-7.9055099,1.87527,-16.447001,-0.00031661801,0.096751206,-0.2071428,-0.048720371
430.30899,-8.2607298,3.7100599,-16.3274,0.00073336798,0.087550879,-0.20714281,-0.044020839
395.62799,-8.18929,2.2490301,-17.007999,0.00076252403,0.07869821,-0.20714281,-0.039498962
535.46698,-14.0547,-5.2060199,5.6384802,-0.00086293998,-0.060517725,-0.20714279,-0.12569229
503.71899,-17.7896,-4.5341001,8.5913296,0.000122322,-0.055981725,-0.2071428,-0.11639176
470.35699,-17.7323,-3.0045099,8.2677298,0.00016855801,-0.05144573,-0.2071428,-0.10709122
435.552,-17.4851,1.7247,8.4505901,0.00125141,-0.046909731,-0.20714281,-0.097790688
400.314,-17.5847,3.48785,8.1458302,-0.0011339,-0.042373732,-0.20714281,-0.088490143
360.57901,-18.306601,3.22404,8.0363798,0.00054602302,-0.038009197,-0.20714281,-0.079541035
534.89398,-13.4134,-5.3369899,7.31848,0.00078828703,-0.073317491,-0.20714279,-0.11866338
503.99399,-16.896799,-4.59975,10.4237,0.00040674899,-0.067835324,-0.20714279,-0.10988907
