"p","U:0","U:1","U:2","div(phi)","Points:0","Points:1","Points:2"
172.674,-8.3426504,-2.9900899,2.1408701,0.000925545,-0.04448564,-0.2071428,-0.1320499
162.69701,-10.5814,-2.6142399,3.6161399,0.00124016,-0.041136581,-0.2071428,-0.12227266
151.912,-10.5598,-1.78625,3.4002299,0.00034392899,-0.037787523,-0.2071428,-0.1124954
140.647,-10.3881,0.843885,3.5249701,-0.00042196299,-0.034438469,-0.20714281,-0.10271814
129.319,-10.4337,1.99283,3.36552,0.000966286,-0.031089408,-0.20714281,-0.092940897
116.657,-10.8147,1.81708,3.2132699,-0.00134388,-0.027866956,-0.20714281,-0.083533078
173.42101,-8.56283,-2.87883,0.88888299,-0.00035154101,-0.02523748,-0.20714279,-0.13704035
163.506,-10.8814,-2.53339,2.0725701,-0.00020124701,-0.023314681,-0.2071428,-0.1268865
152.95599,-10.8564,-1.7473,1.83495,-0.00056552503,-0.021391882,-0.2071428,-0.11673266
141.799,-10.701,0.84020001,1.99631,0.000753642,-0.019469082,-0.2071428,-0.10657882
130.502,-10.7468,1.9799401,1.85346,-0.000599869,-0.017546283,-0.20714281,-0.096424982
117.982,-11.0973,1.7544,1.63299,0.0015046,-0.015696201,-0.20714281,-0.086654834
174.117,-8.5838099,-2.7591801,-0.38121599,0.00039854,-0.0054796226,-0.20714279,-0.13923517
164.272,-10.9423,-2.45068,0.50601298,-0.000706614,-0.0050216345,-0.20714279,-0.12891294
153.993,-10.9208,-1.72269,0.25859001,0.00115356,-0.0045636464,-0.2071428,-0.11859069
142.942,-10.8098,0.82123202,0.43071601,-0.000135697,-0.0041056583,-0.2071428,-0.10826845
131.681,-10.8251,1.97381,0.319121,1.66679e-05,-0.0036476704,-0.20714281,-0.097946204
119.307,-11.1345,1.69203,0.046467099,-0.000461544,-0.0032070472,-0.20714281,-0.088014044
175.29601,-8.3958902,-2.6331,-1.6256599,-0.00044640401,0.014396601,-0.2071428,-0.13862558
165.207,-10.7872,-2.3640001,-1.0603,1.39214e-05,0.013379619,-0.2071428,-0.12834154
154.96201,-10.7625,-1.68847,-1.30389,-5.5034499e-05,0.012362637,-0.2071428,-0.11805751
143.948,-10.6877,0.81220198,-1.1282099,0.00058780698,0.011345655,-0.20714281,-0.10777348
132.81799,-10.6918,1.97592,-1.2076,-0.00044988899,0.010328673,-0.20714281,-0.097489446
120.634,-10.9545,1.6401,-1.51437,8.0245198e-05,0.009350053,-0.20714281,-0.087593995
175.5,-8.1166897,-2.5072601,-2.88218,0.000351639,0.033968031,-0.2071428,-0.13515307
165.62199,-10.444,-2.27566,-2.6029201,-1.26608e-05,0.031498428,-0.2071428,-0.12512141
155.66701,-10.3958,-1.6450599,-2.8311901,-0.00108735,0.029028827,-0.2071428,-0.11508976
144.839,-10.3094,0.81920499,-2.6365299,-0.00099513005,0.026559226,-0.20714281,-0.1050581
133.916,-10.3412,1.9913,-2.67328,-6.66751e-05,0.024089623,-0.20714281,-0.095026456
121.948,-10.5601,1.59635,-3.0213499,-0.00056192197,0.021713285,-0.20714281,-0.085373864
176.067,-7.6496701,-2.3808701,-3.9073601,-0.00062148698,0.052852444,-0.20714279,-0.12891865
166.362,-9.8811197,-2.18964,-4.0764098,0.00072195497,0.048979439,-0.2071428,-0.11934347
156.423,-9.8319597,-1.5884399,-4.2617698,0.000275386,0.045106433,-0.2071428,-0.10976829
145.80299,-9.7542105,0.84402502,-4.0655799,0.000482667,0.041233428,-0.2071428,-0.10019311
135.04601,-9.7976503,2.01666,-4.0762801,0.00095045503,0.037360422,-0.20714281,-0.09061794
123.227,-9.9658203,1.55777,-4.4476399,0.00100377,0.033633728,-0.20714281,-0.081404634
176.18201,-7.0717602,-2.2560301,-4.9518499,0.00031649799,0.070663519,-0.20714279,-0.12009857
166.83099,-9.1340599,-2.1089001,-5.4696498,-0.000797674,0.065465227,-0.2071428,-0.11116886
157.04401,-9.0678501,-1.53742,-5.6139202,0.00082587003,0.060266942,-0.2071428,-0.10223915
146.61099,-9.0021696,0.87105602,-5.4057102,0.000346794,0.055068649,-0.2071428,-0.09330944
136.05701,-9.0753803,2.0506799,-5.3722701,-0.00103346,0.049870361,-0.20714281,-0.084379733
124.411,-9.1880999,1.51964,-5.7713799,-0.00104354,0.044868477,-0.20714281,-0.075787514
176.44,-6.3783498,-2.14204,-5.9046402,-0.000199423,0.087009355,-0.20714277,-0.10879207
167.287,-8.2073097,-2.0357599,-6.72612,0.00086158898,0.080595784,-0.20714277,-0.1006964
157.56599,-8.1460896,-1.48362,-6.8200102,0,0.074182205,-0.20714279,-0.092600726
147.323,-8.0938902,0.90597802,-6.6075902,-0.00128245,0.067768633,-0.2071428,-0.084505059
136.929,-8.1866798,2.0832901,-6.5623498,0.00026685701,0.061355058,-0.2071428,-0.076409385
125.394,-8.2491798,1.47372,-6.9735398,0.00098388596,0.055183869,-0.20714281,-0.06861975
177.51199,-5.5116801,-2.0411799,-6.7448001,-0.00046859001,0.10165602,-0.2071428,-0.095342092
168.069,-7.0971198,-1.98112,-7.83848,-0.000126536,0.094148964,-0.2071428,-0.088236853
158.151,-7.0480099,-1.44415,-7.9074402,-0.00110049,0.086641908,-0.2071428,-0.081131615
147.90601,-7.01893,0.92994499,-7.6884699,0.000195897,0.079134859,-0.20714281,-0.074026376
137.617,-7.1535301,2.1111701,-7.61481,0.000283203,0.071627803,-0.20714281,-0.06692113
126.234,-7.1662302,1.41988,-8.0317698,-0.00065385102,0.064404376,-0.20714281,-0.060084432
176.806,-4.5824299,-1.99253,-7.5647502,0.00035140701,0.11418433,-0.2071428,-0.079916067
168.08701,-5.8656602,-1.94108,-8.8194304,-0.00037957099,0.10574306,-0.2071428,-0.073950492
158.48399,-5.8224902,-1.41702,-8.8375397,0.00137548,0.097301781,-0.2071428,-0.067984916
