"p","U:0","U:1","U:2","div(phi)","Points:0","Points:1","Points:2"
112.305,-6.7611699,-2.44804,1.73313,0.000890397,-0.04448564,-0.2071428,-0.1320499
105.751,-8.5624304,-2.1372001,2.92572,0.00026574801,-0.041136581,-0.2071428,-0.12227266
98.692596,-8.5456104,-1.47084,2.7492099,-0.00060531503,-0.037787523,-0.2071428,-0.1124954
91.315201,-8.4050703,0.60778397,2.8426199,0.000226052,-0.034438469,-0.20714281,-0.10271814
83.892601,-8.4283705,1.61242,2.7165899,-0.00094962498,-0.031089408,-0.20714281,-0.092940897
75.652199,-8.7255201,1.46964,2.5850699,-0.000401158,-0.027866956,-0.20714281,-0.083533078
112.794,-6.9369602,-2.3573699,0.71931499,-0.000410131,-0.02523748,-0.20714279,-0.13704035
106.285,-8.8038397,-2.0716801,1.67664,-0.00066702801,-0.023314681,-0.2071428,-0.1268865
99.383003,-8.7849703,-1.44137,1.48359,-0.000293082,-0.021391882,-0.2071428,-0.11673266
92.0718,-8.6609497,0.60275197,1.60498,-9.4958901e-05,-0.019469082,-0.2071428,-0.10657882
84.667,-8.6805601,1.60251,1.4963,4.9989099e-05,-0.017546283,-0.20714281,-0.096424982
76.521797,-8.9528704,1.41833,1.31107,0.00048147299,-0.015696201,-0.20714281,-0.086654834
113.244,-6.9514499,-2.2590699,-0.30844799,0.000304766,-0.0054796226,-0.20714279,-0.13923517
106.785,-8.8517599,-2.00371,0.40962899,0.000836263,-0.0050216345,-0.20714279,-0.12891294
100.062,-8.83634,-1.4224,0.209268,-0.000358552,-0.0045636464,-0.2071428,-0.11859069
92.818001,-8.7459202,0.585648,0.33966199,0.00111573,-0.0041056583,-0.2071428,-0.10826845
85.441902,-8.7433596,1.59804,0.257586,-0.000183347,-0.0036476704,-0.20714281,-0.097946204
77.390503,-8.9824305,1.3670501,0.031887598,-0.00056187902,-0.0032070472,-0.20714281,-0.088014044
114.009,-6.7969298,-2.15465,-1.31463,8.6703199e-05,0.014396601,-0.2071428,-0.13862558
107.393,-8.7249498,-1.93183,-0.85648203,-0.00024552201,0.013379619,-0.2071428,-0.12834154
100.695,-8.7097502,-1.39485,-1.05458,0.00048155099,0.012362637,-0.2071428,-0.11805751
