"p","U:0","U:1","U:2","div(phi)","Points:0","Points:1","Points:2"
290.76199,-10.7833,-3.8099301,2.77071,-0.00043348299,-0.04448564,-0.2071428,-0.1320499
274.08701,-13.6976,-3.3351099,4.6803002,8.8582601e-05,-0.041136581,-0.2071428,-0.12227266
255.992,-13.673,-2.2658899,4.40662,-0.00082542998,-0.037787523,-0.2071428,-0.1124954
237.077,-13.4624,1.17527,4.57623,0.00104888,-0.034438469,-0.20714281,-0.10271814
218.03,-13.5365,2.5718601,4.3666,0.00066640403,-0.031089408,-0.20714281,-0.092940897
196.66499,-14.0414,2.3327501,4.1779199,-0.000401158,-0.027866956,-0.20714281,-0.083533078
292.01199,-11.0729,-3.66712,1.15113,0.000187488,-0.02523748,-0.20714279,-0.13704035
275.43201,-14.0883,-3.2309999,2.68191,-0.000650573,-0.023314681,-0.2071428,-0.1268865
257.72699,-14.0584,-2.21347,2.37799,-0.00029721,-0.021391882,-0.2071428,-0.11673266
238.998,-13.8631,1.17213,2.5953801,-0.00061798701,-0.019469082,-0.2071428,-0.10657882
220.013,-13.9437,2.55443,2.4030199,-0.00133304,-0.017546283,-0.20714281,-0.096424982
198.88,-14.4092,2.2518599,2.1245999,0.00060184102,-0.015696201,-0.20714281,-0.086654834
293.19901,-11.1043,-3.51491,-0.49317801,0.000457149,-0.0054796226,-0.20714279,-0.13923517
276.724,-14.1691,-3.1261499,0.65269202,0.000697624,-0.0050216345,-0.20714279,-0.12891294
259.46899,-14.143,-2.1809399,0.334337,8.1207501e-05,-0.0045636464,-0.2071428,-0.11859069
240.92101,-14.008,1.14889,0.56454402,0.00033170299,-0.0041056583,-0.2071428,-0.10826845
221.989,-14.0459,2.54584,0.41044,0.00116675,-0.0036476704,-0.20714281,-0.097946204
201.097,-14.4578,2.1718099,0.062657602,0.00064214802,-0.0032070472,-0.20714281,-0.088014044
295.203,-10.8651,-3.3559201,-2.1057,-0.00010545,0.014396601,-0.2071428,-0.13862558
278.314,-13.9702,-3.01735,-1.37731,-0.000683413,0.013379619,-0.2071428,-0.12834154
261.10101,-13.9371,-2.13728,-1.6910599,0.00068793102,0.012362637,-0.2071428,-0.11805751
242.60899,-13.8502,1.13607,-1.45705,-0.0011304,0.011345655,-0.20714281,-0.10777348
223.89,-13.8734,2.5478799,-1.57297,0.000166625,0.010328673,-0.20714281,-0.097489446
203.32001,-14.2239,2.10533,-1.9659899,0.000220674,0.009350053,-0.20714281,-0.087593995
295.54001,-10.5063,-3.1982601,-3.7358899,0.00033991699,0.033968031,-0.2071428,-0.13515307
278.983,-13.5416,-2.9071701,-3.3766501,0.000430466,0.031498428,-0.2071428,-0.12512141
262.27802,-13.4623,-2.0825801,-3.6721499,0.00030280699,0.029028827,-0.2071428,-0.11508976
244.095,-13.3622,1.14297,-3.4152501,0.00144746,0.026559226,-0.20714281,-0.1050581
225.717,-13.4171,2.5669899,-3.4766099,-0.00030003799,0.024089623,-0.20714281,-0.095026456
205.513,-13.7118,2.04949,-3.92452,-0.000240824,0.021713285,-0.20714281,-0.085373864
296.48999,-9.9066401,-3.0406301,-5.0671,-0.00072702201,0.052852444,-0.20714279,-0.12891865
280.19101,-12.7987,-2.8006799,-5.28508,-0.00086127903,0.048979439,-0.2071428,-0.11934347
263.52301,-12.7322,-2.0114999,-5.5272002,-0.00096385099,0.045106433,-0.2071428,-0.10976829
245.696,-12.6447,1.17135,-5.27002,-0.00147817,0.041233428,-0.2071428,-0.10019311
227.60001,-12.7115,2.599,-5.2991099,-0.00066698599,0.037360422,-0.20714281,-0.09061794
207.645,-12.9401,2.00034,-5.7782898,0.000160604,0.033633728,-0.20714281,-0.081404634
296.69,-9.1610699,-2.8842299,-6.4236598,0.000234443,0.070663519,-0.20714279,-0.12009857
280.987,-11.8325,-2.7007799,-7.09022,0.00075969001,0.065465227,-0.2071428,-0.11116886
264.56201,-11.7436,-1.94927,-7.2803402,0.00027528999,0.060266942,-0.2071428,-0.10223915
247.043,-11.6714,1.20245,-7.0094399,6.0312101e-05,0.055068649,-0.2071428,-0.09330944
229.282,-11.7736,2.6421599,-6.9827499,0.000550066,0.049870361,-0.20714281,-0.084379733
209.616,-11.9299,1.9518,-7.4987998,-0.0015051099,0.044868477,-0.20714281,-0.075787514
297.12201,-8.2634897,-2.7443299,-7.6605401,0.000175961,0.087009355,-0.20714277,-0.10879207
281.75,-10.6312,-2.61131,-8.7182798,6.33522e-05,0.080595784,-0.20714277,-0.1006964
265.435,-10.5495,-1.88397,-8.8437796,0.000137738,0.074182205,-0.20714279,-0.092600726
248.231,-10.4948,1.24275,-8.5698996,0.00046771701,0.067768633,-0.2071428,-0.084505059
230.733,-10.6193,2.6837699,-8.5286903,-0.000366928,0.061355058,-0.2071428,-0.076409385
211.25301,-10.71,1.89315,-9.0612497,0.000120476,0.055183869,-0.20714281,-0.06861975
298.91901,-7.1401701,-2.6222401,-8.7497196,0.00035144301,0.10165602,-0.2071428,-0.095342092
283.065,-9.1925402,-2.5462301,-10.1594,0.000253073,0.094148964,-0.2071428,-0.088236853
266.414,-9.1267595,-1.83843,-10.254,1.19315e-13,0.086641908,-0.2071428,-0.081131615
249.201,-9.1017704,1.26815,-9.9733496,0.00040686401,0.079134859,-0.20714281,-0.074026376
231.88,-9.2772503,2.71907,-9.8959398,0.000149931,0.071627803,-0.20714281,-0.06692113
212.64999,-9.3028097,1.82434,-10.4366,0.0012635801,0.064404376,-0.20714281,-0.060084432
297.73801,-5.9352298,-2.5683,-9.8119802,-0.00093708601,0.11418433,-0.2071428,-0.079916067
283.10101,-7.5970502,-2.49983,-11.4302,-0.000126524,0.10574306,-0.2071428,-0.073950492
