"p","U:0","U:1","U:2","div(phi)","Points:0","Points:1","Points:2"
669.71899,-16.296,-5.6347098,4.1932502,0.00080838701,-0.04448564,-0.2071428,-0.1320499
631.61499,-20.7383,-4.93928,7.0831599,-0.00029105699,-0.041136581,-0.2071428,-0.12227266
590.07098,-20.7062,-3.3227201,6.6813302,-0.00118312,-0.037787523,-0.2071428,-0.1124954
546.58899,-20.415199,1.9234101,6.95292,2.38635e-05,-0.034438469,-0.20714281,-0.10271814
502.69,-20.549101,3.8677399,6.6289101,0,-0.031089408,-0.20714281,-0.092940897
453.27301,-21.334801,3.4613099,6.3569899,0.000401158,-0.027866956,-0.20714281,-0.083533078
672.58197,-16.7449,-5.42204,1.74312,-0.00091400603,-0.02523748,-0.20714279,-0.13704035
634.66302,-21.3367,-4.7841301,4.05652,-0.00081638101,-0.023314681,-0.2071428,-0.1268865
594.00702,-21.289,-3.2402,3.6048801,0.000722386,-0.021391882,-0.2071428,-0.11673266
550.95502,-21.0145,1.9201699,3.94766,0.00042204,-0.019469082,-0.2071428,-0.10657882
507.22299,-21.1696,3.83974,3.6438899,-0.000499891,-0.017546283,-0.20714281,-0.096424982
458.32199,-21.8958,3.3378799,3.23314,-0.0014043,-0.015696201,-0.20714281,-0.086654834
675.36298,-16.8018,-5.1981101,-0.74746001,-0.000609532,-0.0054796226,-0.20714279,-0.13923517
637.651,-21.4631,-4.6308298,0.98128599,0.00035577599,-0.0050216345,-0.20714279,-0.12891294
598.01001,-21.4245,-3.1903601,0.503645,-0.00099238299,-0.0045636464,-0.2071428,-0.11859069
555.37299,-21.2411,1.88613,0.865143,-0.000120619,-0.0041056583,-0.2071428,-0.10826845
511.74301,-21.3265,3.8254001,0.613518,-0.00033335801,-0.0036476704,-0.20714281,-0.097946204
463.38,-21.970301,3.2169001,0.094959103,0.00160537,-0.0032070472,-0.20714281,-0.088014044
680.03101,-16.4482,-4.9670501,-3.19294,-4.68666e-05,0.014396601,-0.2071428,-0.13862558
641.35498,-21.1653,-4.47404,-2.0970199,0.000556855,0.013379619,-0.2071428,-0.12834154
601.75201,-21.1127,-3.12657,-2.5704401,0.00055034499,0.012362637,-0.2071428,-0.11805751
559.23199,-21.0014,1.8659101,-2.2034099,-0.000482303,0.011345655,-0.20714281,-0.10777348
516.078,-21.0658,3.82689,-2.40341,0.00066650199,0.010328673,-0.20714281,-0.097489446
468.46201,-21.6143,3.1165199,-2.9926701,0.00040122599,0.009350053,-0.20714281,-0.087593995
680.78302,-15.9097,-4.7399998,-5.6696,-0.00021098299,0.033968031,-0.2071428,-0.13515307
642.79498,-20.548,-4.3165398,-5.1287899,-0.00083560997,0.031498428,-0.2071428,-0.12512141
604.435,-20.3925,-3.04825,-5.5777402,0.000564321,0.029028827,-0.2071428,-0.11508976
562.61902,-20.2663,1.86983,-5.1802902,0.00120622,0.026559226,-0.20714281,-0.1050581
520.22601,-20.3699,3.8536,-5.29881,-0.000333376,0.024089623,-0.20714281,-0.095026456
473.461,-20.8351,3.03232,-5.973,-0.00040137299,0.021713285,-0.20714281,-0.085373864
682.961,-15.0115,-4.51161,-7.69414,-0.000257976,0.052852444,-0.20714279,-0.12891865
645.46802,-19.3937,-4.1652002,-8.0201597,0.000405308,0.048979439,-0.2071428,-0.11934347
607.21802,-19.2868,-2.9470601,-8.3936195,-0.00082615798,0.045106433,-0.2071428,-0.10976829
566.23798,-19.1819,1.9033,-7.9990401,-0.00093516702,0.041233428,-0.2071428,-0.10019311
524.50299,-19.298,3.8994501,-8.0706396,-0.00050024001,0.037360422,-0.20714281,-0.09061794
478.30399,-19.661501,2.9582701,-8.7937202,-0.00150566,0.033633728,-0.20714281,-0.081404634
683.44098,-13.8868,-4.2892599,-9.7577801,5.86108e-05,0.070663519,-0.20714279,-0.12009857
647.323,-17.932501,-4.0244398,-10.7561,-0.00044315201,0.065465227,-0.2071428,-0.11116886
609.59698,-17.7913,-2.8623099,-11.054,0.00068822497,0.060266942,-0.2071428,-0.10223915
569.29999,-17.708401,1.94048,-10.6425,9.04681e-05,0.055068649,-0.2071428,-0.09330944
528.32001,-17.8717,3.96189,-10.6321,0.00066674699,0.049870361,-0.20714281,-0.084379733
482.77399,-18.124599,2.88539,-11.4115,-2.0068101e-05,0.044868477,-0.20714281,-0.075787514
684.43701,-12.5268,-4.0942101,-11.6378,0.000258076,0.087009355,-0.20714277,-0.10879207
649.07703,-16.1101,-3.9003601,-13.2238,0.00073488499,0.080595784,-0.20714277,-0.1006964
611.59497,-15.9811,-2.77407,-13.4261,-0.00096416502,0.074182205,-0.20714279,-0.092600726
572.00702,-15.9243,1.98953,-13.0152,0.000135789,0.067768633,-0.2071428,-0.084505059
531.61298,-16.116301,4.02351,-12.9833,0.00066714198,0.061355058,-0.2071428,-0.076409385
486.49899,-16.2684,2.7972901,-13.7883,0.00082325097,0.055183869,-0.20714281,-0.06861975
688.56403,-10.8225,-3.92729,-13.2901,-0.000234295,0.10165602,-0.2071428,-0.095342092
652.10999,-13.9283,-3.81426,-15.4076,-0.00063268101,0.094148964,-0.2071428,-0.088236853
613.84802,-13.8238,-2.71842,-15.5663,0.000550244,0.086641908,-0.2071428,-0.081131615
574.22101,-13.8109,2.0146201,-15.1491,0.00094934902,0.079134859,-0.20714281,-0.074026376
534.22803,-14.0744,4.07443,-15.0628,-0.00083295099,0.071627803,-0.20714281,-0.06692113
489.68201,-14.127,2.6940701,-15.88,0.00054153299,0.064404376,-0.20714281,-0.060084432
685.86902,-8.9934502,-3.86481,-14.9,-0.00035140701,0.11418433,-0.2071428,-0.079916067
652.21899,-11.5095,-3.7557499,-17.332899,0.00075914297,0.10574306,-0.2071428,-0.073950492
615.14301,-11.4143,-2.6886201,-17.3974,0.00055019098,0.097301781,-0.2071428,-0.067984916
576.04602,-11.441,2.0320499,-16.955999,-0.0013108799,0.088860504,-0.20714281,-0.062019344
536.34399,-11.7725,4.11693,-16.8402,0.00049972499,0.080419227,-0.20714281,-0.056053769
492.29401,-11.7391,2.5794001,-17.643,8.0219703e-05,0.072296873,-0.20714281,-0.05031364
686.909,-7.1311798,-3.81545,-16.1054,0.00082051498,0.12435219,-0.20714279,-0.062818967
653.914,-8.88871,-3.7198999,-18.8521,-0.000633043,0.11515187,-0.20714279,-0.058119435
616.91901,-8.8141403,-2.61654,-18.844801,0,0.10595153,-0.2071428,-0.053419903
577.99799,-8.8422899,2.10203,-18.4076,0.0010252401,0.096751206,-0.2071428,-0.048720371
538.34802,-9.2356396,4.131,-18.278799,-0.00071669999,0.087550879,-0.20714281,-0.044020839
494.88599,-9.1563902,2.48578,-19.0375,-0.00070232502,0.07869821,-0.20714281,-0.039498962
