"p","U:0","U:1","U:2","div(phi)","Points:0","Points:1","Points:2"
277.57101,-10.5391,-3.72807,2.70766,-0.00014058901,-0.04448564,-0.2071428,-0.1320499
261.64301,-13.3857,-3.2631099,4.57375,0.000316366,-0.041136581,-0.2071428,-0.12227266
244.364,-13.3614,-2.2179201,4.3058701,0.00063283002,-0.037787523,-0.2071428,-0.1124954
226.304,-13.1544,1.14248,4.4710898,0.00047621501,-0.034438469,-0.20714281,-0.10271814
208.12,-13.2259,2.5138099,4.2664399,-0.00049980299,-0.031089408,-0.20714281,-0.092940897
187.728,-13.7185,2.2811601,4.08145,0.00180521,-0.027866956,-0.20714281,-0.083533078
278.76501,-10.8216,-3.5884299,1.12488,0.000269515,-0.02523748,-0.20714279,-0.13704035
262.92801,-13.7674,-3.16135,2.6208701,-0.00059361698,-0.023314681,-0.2071428,-0.1268865
246.02299,-13.7379,-2.1668601,2.3236201,0.00024629899,-0.021391882,-0.2071428,-0.11673266
228.14,-13.5464,1.13933,2.5355899,0.00054262299,-0.019469082,-0.2071428,-0.10657882
210.01401,-13.6237,2.49682,2.3480999,-0.00066652102,-0.017546283,-0.20714281,-0.096424982
189.84399,-14.0778,2.20204,2.0755,-0.000200614,-0.015696201,-0.20714281,-0.086654834
279.897,-10.8521,-3.4395001,-0.48197901,-0.00050403603,-0.0054796226,-0.20714279,-0.13923517
264.16199,-13.8462,-3.0587299,0.63796502,0.000379832,-0.0050216345,-0.20714279,-0.12891294
247.686,-13.8205,-2.1351399,0.326749,-0.00060561497,-0.0045636464,-0.2071428,-0.11859069
229.976,-13.6877,1.11654,0.55131501,-0.0012273,-0.0041056583,-0.2071428,-0.10826845
211.901,-13.7235,2.4884601,0.40137601,0.00083339598,-0.0036476704,-0.20714281,-0.097946204
191.96201,-14.1252,2.1236999,0.0611335,-0.00082275202,-0.0032070472,-0.20714281,-0.088014044
281.80801,-10.618,-3.2838099,-2.0576601,0.000339783,0.014396601,-0.2071428,-0.13862558
265.67899,-13.6517,-2.9521599,-1.3456399,-0.000113902,0.013379619,-0.2071428,-0.12834154
249.244,-13.6193,-2.0924599,-1.65229,-6.8793102e-05,0.012362637,-0.2071428,-0.11805751
231.588,-13.5336,1.104,-1.42398,0.000406943,0.011345655,-0.20714281,-0.10777348
213.717,-13.555,2.49051,-1.5362999,-0.000166625,0.010328673,-0.20714281,-0.097489446
194.08501,-13.8967,2.05861,-1.92071,0.00040122599,0.009350053,-0.20714281,-0.087593995
282.13101,-10.2671,-3.1293399,-3.65044,-0.00085565401,0.033968031,-0.2071428,-0.13515307
266.319,-13.2316,-2.8441801,-3.2992699,-7.5964497e-05,0.031498428,-0.2071428,-0.12512141
250.369,-13.1554,-2.0388999,-3.58799,0.00049550203,0.029028827,-0.2071428,-0.11508976
233.008,-13.0566,1.11095,-3.33711,0.00055787602,0.026559226,-0.20714281,-0.1050581
215.463,-13.1092,2.5092499,-3.3961,-0.000150019,0.024089623,-0.20714281,-0.095026456
196.17999,-13.3965,2.0039201,-3.8340499,0.000341167,0.021713285,-0.20714281,-0.085373864
283.03799,-9.6808004,-2.9748499,-4.9510198,0.00039869,0.052852444,-0.20714279,-0.12891865
