"p","U:0","U:1","U:2","div(phi)","Points:0","Points:1","Points:2"
721.74597,-16.910601,-5.8366399,4.3516402,0,-0.04448564,-0.2071428,-0.1320499
680.71198,-21.523001,-5.1167598,7.3506598,0.000898481,-0.041136581,-0.2071428,-0.12227266
635.95898,-21.490601,-3.43958,6.93471,-0.00072913,-0.037787523,-0.2071428,-0.1124954
589.10999,-21.1917,2.0055499,7.2176499,-0.00052534399,-0.034438469,-0.20714281,-0.10271814
541.79602,-21.3328,4.0123,6.8811102,0.00066640403,-0.031089408,-0.20714281,-0.092940897
488.52499,-22.1502,3.5882199,6.6001701,0.000401158,-0.027866956,-0.20714281,-0.083533078
724.83099,-17.3773,-5.61622,1.8089401,0.000187488,-0.02523748,-0.20714279,-0.13704035
683.99298,-22.1444,-4.9560099,4.2093902,-0.00080372399,-0.023314681,-0.2071428,-0.1268865
640.19501,-22.095301,-3.3538699,3.74142,0.00087374297,-0.021391882,-0.2071428,-0.11673266
593.80902,-21.813101,2.0024199,4.0980101,0.00054262299,-0.019469082,-0.2071428,-0.10657882
546.67902,-21.976999,3.98313,3.7819901,-0.00083315198,-0.017546283,-0.20714281,-0.096424982
493.96301,-22.732599,3.46016,3.3566699,-0.00040122701,-0.015696201,-0.20714281,-0.086654834
727.83197,-17.437099,-5.3843598,-0.77598602,-0.00184032,-0.0054796226,-0.20714279,-0.13923517
687.21399,-22.2759,-4.79741,1.01756,0.000441871,-0.0050216345,-0.20714279,-0.12891294
644.50897,-22.2365,-3.3022299,0.52225697,-0.00104469,-0.0045636464,-0.2071428,-0.11859069
598.56897,-22.048599,1.9670399,0.89801198,-0.00025631601,-0.0041056583,-0.2071428,-0.10826845
551.54797,-22.1399,3.9681699,0.635602,0.00033335801,-0.0036476704,-0.20714281,-0.097946204
499.41,-22.8099,3.3347199,0.098232798,2.8283899e-13,-0.0032070472,-0.20714281,-0.088014044
732.86603,-17.070601,-5.14533,-3.3143201,0.00041008301,0.014396601,-0.2071428,-0.13862558
691.20898,-21.9671,-4.6353898,-2.1775801,-0.00031639499,0.013379619,-0.2071428,-0.12834154
648.54102,-21.9128,-3.2363,-2.6688001,0.000137586,0.012362637,-0.2071428,-0.11805751
602.72699,-21.799801,1.9458899,-2.2874,0.00075359899,0.011345655,-0.20714281,-0.10777348
556.21503,-21.869301,3.96962,-2.4967201,0.000333251,0.010328673,-0.20714281,-0.097489446
504.884,-22.4401,3.23069,-3.1076901,0,0.009350053,-0.20714281,-0.087593995
733.67401,-16.511999,-4.9106102,-5.8853898,0.00022270399,0.033968031,-0.2071428,-0.13515307
692.75299,-21.328899,-4.4727101,-5.3243799,-0.00030385799,0.031498428,-0.2071428,-0.12512141
651.42902,-21.165199,-3.1554599,-5.7905202,-6.8819703e-05,0.029028827,-0.2071428,-0.11508976
606.37402,-21.037001,1.94942,-5.3780398,-0.00025632099,0.026559226,-0.20714281,-0.1050581
560.68201,-21.146601,3.99722,-5.5029402,-0.000166688,0.024089623,-0.20714281,-0.095026456
510.26801,-21.6311,3.14345,-6.2021599,0.00080274598,0.021713285,-0.20714281,-0.085373864
736.02002,-15.5807,-4.6743002,-7.9872398,-5.8630802e-05,0.052852444,-0.20714279,-0.12891865
695.62402,-20.128599,-4.3164201,-8.3252401,0.000696623,0.048979439,-0.2071428,-0.11934347
654.422,-20.017599,-3.0510299,-8.7135096,0.00082615798,0.045106433,-0.2071428,-0.10976829
610.26898,-19.9116,1.98343,-8.3043604,-0.000181,0.041233428,-0.2071428,-0.10019311
565.28699,-20.0338,4.0446601,-8.3807201,-0.00100048,0.037360422,-0.20714281,-0.09061794
515.48297,-20.4125,3.06675,-9.1308804,0.000260981,0.033633728,-0.20714281,-0.081404634
736.539,-14.4137,-4.4447498,-10.1297,-0.000175832,0.070663519,-0.20714279,-0.12009857
