NU,X,Y,Ux,Uy
0.01,0.005,0.030000000000000002,-0.00160816,0.0111116
0.01,0.01,0.030000000000000002,-0.00926128,0.0315776
0.01,0.015,0.030000000000000002,-0.0240302,0.0475044
0.01,0.02,0.030000000000000002,-0.0426876,0.0575251
0.01,0.025,0.030000000000000002,-0.0627952,0.0613481
0.01,0.030000000000000002,0.030000000000000002,-0.0825446,0.0593089
0.01,0.035,0.030000000000000002,-0.100383,0.0521278
0.01,0.04,0.030000000000000002,-0.115044,0.0407439
0.01,0.045,0.030000000000000002,-0.125566,0.0262086
0.01,0.049999999999999996,0.030000000000000002,-0.131282,0.00963834
0.01,0.05499999999999999,0.030000000000000002,-0.131803,-0.00779268
0.01,0.05999999999999999,0.030000000000000002,-0.127027,-0.0248425
0.01,0.06499999999999999,0.030000000000000002,-0.117158,-0.0401971
0.01,0.06999999999999999,0.030000000000000002,-0.102742,-0.0524939
0.01,0.075,0.030000000000000002,-0.0847126,-0.0603938
0.01,0.08,0.030000000000000002,-0.0644226,-0.0627158
0.01,0.085,0.030000000000000002,-0.0436104,-0.0586402
0.01,0.09000000000000001,0.030000000000000002,-0.0243256,-0.0479523
0.01,0.09500000000000001,0.030000000000000002,-0.00921147,-0.0313105
0.01,0.10000000000000002,0.030000000000000002,-0.00154239,-0.0106491
0.01,0.005,0.035,-0.00194394,0.0163366
0.01,0.01,0.035,-0.0110725,0.0445906
0.01,0.015,0.035,-0.0284865,0.0656662
0.01,0.02,0.035,-0.0501929,0.0783742
0.01,0.025,0.035,-0.0732661,0.0827139
0.01,0.030000000000000002,0.035,-0.0956533,0.0793661
0.01,0.035,0.035,-0.115682,0.0694073
0.01,0.04,0.035,-0.132049,0.0541152
0.01,0.045,0.035,-0.1438,0.0348515
0.01,0.049999999999999996,0.035,-0.15028,0.0130183
0.01,0.05499999999999999,0.035,-0.151095,-0.00993422
0.01,0.05999999999999999,0.035,-0.146105,-0.0324765
0.01,0.06499999999999999,0.035,-0.135448,-0.0529732
0.01,0.06999999999999999,0.035,-0.119593,-0.0696892
0.01,0.075,0.035,-0.0994239,-0.080857
0.01,0.08,0.035,-0.0763217,-0.0848304
0.01,0.085,0.035,-0.0521854,-0.0803336
0.01,0.09000000000000001,0.035,-0.0294029,-0.066778
0.01,0.09500000000000001,0.035,-0.0112471,-0.0446182
0.01,0.10000000000000002,0.035,-0.001908,-0.0158425
0.01,0.005,0.04,-0.00230868,0.022523
0.01,0.01,0.04,-0.0129921,0.0598431
0.01,0.015,0.04,-0.0331207,0.0866942
0.01,0.02,0.04,-0.0578517,0.102193
0.01,0.025,0.04,-0.0837417,0.106811
0.01,0.030000000000000002,0.04,-0.108515,0.101738
0.01,0.035,0.04,-0.130434,0.0885277
0.01,0.04,0.04,-0.148223,0.0688662
0.01,0.045,0.04,-0.161001,0.0444468
0.01,0.049999999999999996,0.04,-0.168177,0.0169424
0.01,0.05499999999999999,0.04,-0.169377,-0.0119581
0.01,0.05999999999999999,0.04,-0.164419,-0.040482
0.01,0.06499999999999999,0.04,-0.153337,-0.0667054
0.01,0.06999999999999999,0.04,-0.136459,-0.0885223
0.01,0.075,0.04,-0.114528,-0.103688
0.01,0.08,0.04,-0.0888649,-0.109976
0.01,0.085,0.04,-0.0614606,-0.105471
0.01,0.09000000000000001,0.04,-0.0350306,-0.088987
0.01,0.09500000000000001,0.04,-0.0135613,-0.0605628
0.01,0.10000000000000002,0.04,-0.00233863,-0.0221423
0.01,0.005,0.045,-0.00272622,0.0297525
0.01,0.01,0.045,-0.0150971,0.0774457
0.01,0.015,0.045,-0.0380337,0.110613
0.01,0.02,0.045,-0.0657048,0.12886
0.01,0.025,0.045,-0.0941153,0.133372
0.01,0.030000000000000002,0.045,-0.120818,0.126064
0.01,0.035,0.045,-0.144098,0.109111
0.01,0.04,0.045,-0.162814,0.0846803
0.01,0.045,0.045,-0.17625,0.0548076
0.01,0.049999999999999996,0.045,-0.183951,0.0213995
0.01,0.05499999999999999,0.045,-0.185602,-0.0136841
0.01,0.05999999999999999,0.045,-0.180986,-0.0485065
0.01,0.06499999999999999,0.045,-0.169997,-0.0809249
0.01,0.06999999999999999,0.045,-0.152735,-0.108497
0.01,0.075,0.045,-0.129689,-0.128472
0.01,0.08,0.045,-0.101973,-0.137919
0.01,0.085,0.045,-0.0715441,-0.134062
0.01,0.09000000000000001,0.045,-0.041385,-0.114806
0.01,0.09500000000000001,0.045,-0.01628,-0.0794588
0.01,0.10000000000000002,0.045,-0.00287209,-0.029734
0.01,0.005,0.049999999999999996,-0.00322881,0.0381545
0.01,0.01,0.049999999999999996,-0.0174818,0.097553
0.01,0.015,0.049999999999999996,-0.0433199,0.137408
0.01,0.02,0.049999999999999996,-0.0737152,0.15811
0.01,0.025,0.049999999999999996,-0.104095,0.161906
0.01,0.030000000000000002,0.049999999999999996,-0.131938,0.151714
0.01,0.035,0.049999999999999996,-0.155704,0.130507
0.01,0.04,0.049999999999999996,-0.174532,0.101004
0.01,0.045,0.049999999999999996,-0.188002,0.0655756
0.01,0.049999999999999996,0.049999999999999996,-0.19589,0.0262933
0.01,0.05499999999999999,0.049999999999999996,-0.198005,-0.0149168
0.01,0.05999999999999999,0.049999999999999996,-0.194106,-0.0560763
0.01,0.06499999999999999,0.049999999999999996,-0.183916,-0.0949425
0.01,0.06999999999999999,0.049999999999999996,-0.167219,-0.128822
0.01,0.075,0.049999999999999996,-0.144093,-0.154466
0.01,0.08,0.049999999999999996,-0.115244,-0.168137
0.01,0.085,0.049999999999999996,-0.0823797,-0.165928
0.01,0.09000000000000001,0.049999999999999996,-0.0485984,-0.144418
0.01,0.09500000000000001,0.049999999999999996,-0.0195401,-0.101694
0.01,0.10000000000000002,0.049999999999999996,-0.00355629,-0.0388793
0.01,0.005,0.05499999999999999,-0.00387146,0.0479266
0.01,0.01,0.05499999999999999,-0.0202896,0.120364
0.01,0.015,0.05499999999999999,-0.0490901,0.166975
0.01,0.02,0.05499999999999999,-0.0817547,0.18943
0.01,0.025,0.05499999999999999,-0.113144,0.191558
0.01,0.030000000000000002,0.05499999999999999,-0.140853,0.177648
0.01,0.035,0.05499999999999999,-0.163739,0.151668
0.01,0.04,0.05499999999999999,-0.181432,0.116947
0.01,0.045,0.05499999999999999,-0.19397,0.0761442
0.01,0.049999999999999996,0.05499999999999999,-0.201481,0.0313909
0.01,0.05499999999999999,0.05499999999999999,-0.203969,-0.0154682
0.01,0.05999999999999999,0.05499999999999999,-0.201209,-0.0625844
0.01,0.06499999999999999,0.05499999999999999,-0.192733,-0.107792
0.01,0.06999999999999999,0.05499999999999999,-0.177924,-0.148301
0.01,0.075,0.05499999999999999,-0.156274,-0.180452
0.01,0.08,0.05499999999999999,-0.127815,-0.199638
0.01,0.085,0.05499999999999999,-0.0936653,-0.20054
0.01,0.09000000000000001,0.05499999999999999,-0.0567443,-0.177859
0.01,0.09500000000000001,0.05499999999999999,-0.0235117,-0.127702
0.01,0.10000000000000002,0.05499999999999999,-0.004463,-0.0499333
0.01,0.005,0.05999999999999999,-0.0047575,0.0593858
0.01,0.01,0.05999999999999999,-0.0237634,0.146126
0.01,0.015,0.05999999999999999,-0.0554886,0.199025
0.01,0.02,0.05999999999999999,-0.0895499,0.2219
0.01,0.025,0.05999999999999999,-0.120362,0.220933
0.01,0.030000000000000002,0.05999999999999999,-0.145974,0.202255
0.01,0.035,0.05999999999999999,-0.165977,0.171022
0.01,0.04,0.05999999999999999,-0.180754,0.131181
0.01,0.045,0.05999999999999999,-0.190986,0.0855851
0.01,0.049999999999999996,0.05999999999999999,-0.197273,0.0362681
0.01,0.05499999999999999,0.05999999999999999,-0.1999,-0.0151952
0.01,0.05999999999999999,0.05999999999999999,-0.198707,-0.0673016
0.01,0.06499999999999999,0.05999999999999999,-0.193048,-0.1182
0.01,0.06999999999999999,0.05999999999999999,-0.181853,-0.165245
0.01,0.075,0.05999999999999999,-0.163867,-0.204563
0.01,0.08,0.05999999999999999,-0.138131,-0.230727
0.01,0.085,0.05999999999999999,-0.104704,-0.236772
0.01,0.09000000000000001,0.05999999999999999,-0.0657943,-0.214837
0.01,0.09500000000000001,0.05999999999999999,-0.0284279,-0.157917
0.01,0.10000000000000002,0.05999999999999999,-0.00571211,-0.0633871
0.01,0.005,0.06499999999999999,-0.00608374,0.0730709
0.01,0.01,0.06499999999999999,-0.0283115,0.175142
0.01,0.015,0.06499999999999999,-0.062666,0.232923
0.01,0.02,0.06499999999999999,-0.0965186,0.253942
0.01,0.025,0.06499999999999999,-0.124223,0.247855
0.01,0.030000000000000002,0.06499999999999999,-0.144859,0.223167
0.01,0.035,0.06499999999999999,-0.159214,0.186348
0.01,0.04,0.06499999999999999,-0.168715,0.141874
0.01,0.045,0.06499999999999999,-0.17485,0.0926047
0.01,0.049999999999999996,0.06499999999999999,-0.178783,0.0402694
0.01,0.05499999999999999,0.06499999999999999,-0.181137,-0.0140466
0.01,0.05999999999999999,0.06499999999999999,-0.181879,-0.0694236
0.01,0.06499999999999999,0.06499999999999999,-0.180245,-0.124604
0.01,0.06999999999999999,0.06499999999999999,-0.174739,-0.177419
0.01,0.075,0.06499999999999999,-0.163271,-0.224125
0.01,0.08,0.06499999999999999,-0.143597,-0.25873
0.01,0.085,0.06499999999999999,-0.114125,-0.272545
0.01,0.09000000000000001,0.06499999999999999,-0.0754985,-0.254439
0.01,0.09500000000000001,0.06499999999999999,-0.0346175,-0.192687
0.01,0.10000000000000002,0.06499999999999999,-0.00751345,-0.0799529
0.01,0.005,0.06999999999999999,-0.00821379,0.0899219
0.01,0.01,0.06999999999999999,-0.0345678,0.207693
0.01,0.015,0.06999999999999999,-0.0706025,0.26735
0.01,0.02,0.06999999999999999,-0.101344,0.28292
0.01,0.025,0.06999999999999999,-0.122026,0.26905
0.01,0.030000000000000002,0.06999999999999999,-0.133684,0.237086
0.01,0.035,0.06999999999999999,-0.138849,0.194733
0.01,0.04,0.06999999999999999,-0.140237,0.146709
0.01,0.045,0.06999999999999999,-0.140201,0.09558
0.01,0.049999999999999996,0.06999999999999999,-0.140453,0.0425134
