"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-10.102587,-0.03883907,-17.49717,0.088577,-0.2,-0.05280700000000001
-10.337721,0.08791535,-17.425331,0.07965599999999999,-0.2,-0.047414
-10.469859,-0.58397037,-17.350756,0.071425,-0.2,-0.042438
-5.4935913,-3.4409652,-15.201679,0.13364,-0.2,-0.055958
-6.349513,-3.5339973,-16.456207,0.12403,-0.2,-0.051886
-7.2131176,-3.4319036,-18.072708,0.11442999999999999,-0.2,-0.047813999999999995
-7.3041306,-2.0242894,-18.568712,0.10482000000000001,-0.2,-0.043742
-7.6782594,-0.098167874,-18.685486,0.09521,-0.2,-0.03967
-7.9614453,0.0020166342,-18.592346,0.085602,-0.2,-0.035598000000000005
-8.133624,-0.8244935,-18.458742,0.076738,-0.2,-0.031841
-16.374643,-4.72163,3.5730007,-0.064555,-0.2,-0.11792000000000001
-14.489273,-5.076497,2.942511,-0.069613,-0.2,-0.12704000000000001
-18.347477,-3.6028836,4.125559,-0.059497,-0.2,-0.10879000000000001
-18.41654,-1.1460437,4.081808,-0.054438,-0.2,-0.09966599999999999
-18.41057,0.5348354,4.0935516,-0.04938,-0.2,-0.09054
-18.413872,0.83053374,4.069686,-0.044322,-0.2,-0.081415
-18.796833,0.6326181,4.1746235,-0.039655,-0.2,-0.072996
-13.729445,-5.1749215,3.6653807,-0.082504,-0.2,-0.11905999999999999
-15.475932,-4.7859454,4.3379345,-0.076521,-0.2,-0.11051
-17.278734,-3.5919547,4.9391155,-0.070538,-0.2,-0.10197
-17.301567,-1.0649415,4.8988757,-0.064555,-0.2,-0.093421
-17.276236,0.5752473,4.9028687,-0.058571000000000005,-0.2,-0.084876
-17.261053,0.86448884,4.8973966,-0.052588,-0.2,-0.07633
-17.621838,0.67612225,5.0390234,-0.047068,-0.2,-0.068445
-12.819755,-5.2674127,4.325973,-0.094493,-0.2,-0.10977999999999999
-14.403369,-4.8482776,5.0484858,-0.08765,-0.2,-0.1019
-16.013092,-3.589156,5.705708,-0.080808,-0.2,-0.09403099999999999
-15.988873,-1.0025237,5.666888,-0.073965,-0.2,-0.086158
-15.94771,0.60780525,5.660568,-0.067123,-0.2,-0.07828500000000001
-15.913256,0.89193666,5.6657586,-0.06027999999999999,-0.2,-0.070412
-16.234043,0.7138229,5.841287,-0.053967999999999995,-0.2,-0.063149
-11.762909,-5.3537297,4.9305935,-0.10545,-0.2,-0.09929600000000001
-13.165003,-4.9074216,5.7023616,-0.09782,-0.2,-0.092181
-14.564766,-3.5911236,6.413533,-0.090192,-0.2,-0.085066
-14.497955,-0.9533817,6.372333,-0.082565,-0.2,-0.07795099999999999
-14.445508,0.6334496,6.3539267,-0.074937,-0.2,-0.070836
-14.389186,0.91181976,6.364299,-0.06731000000000001,-0.2,-0.063722
-14.651189,0.7440251,6.5708923,-0.060273,-0.2,-0.05715800000000001
-10.553558,-5.43352,5.4759502,-0.11525,-0.2,-0.08772999999999999
-11.759952,-4.963279,6.2926836,-0.10692,-0.2,-0.08145
-12.940899,-3.5972483,7.049805,-0.098587,-0.2,-0.075171
-12.84217,-0.9167269,7.002106,-0.090258,-0.2,-0.068892
-12.780377,0.6522717,6.972509,-0.081929,-0.2,-0.062612
-12.699578,0.92421186,6.98452,-0.0736,-0.2,-0.056333
-12.887665,0.76631093,7.216439,-0.065916,-0.2,-0.050539999999999995
-9.205091,-5.5070124,5.95871,-0.12378,-0.2,-0.075204
-10.204212,-5.015979,6.8145022,-0.11484000000000001,-0.2,-0.069829
-11.161128,-3.6076162,7.6074758,-0.1059,-0.2,-0.064455
-11.039468,-0.89234394,7.5489445,-0.096964,-0.2,-0.059079999999999994
-10.971864,0.6644593,7.5096283,-0.088026,-0.2,-0.053704999999999996
-10.865645,0.92942894,7.519801,-0.079087,-0.2,-0.04833
-10.966619,0.78024155,7.770368,-0.070841,-0.2,-0.043371
-21.122858,0.32463726,2.0442352,-0.019672,-0.2,-0.077065
-20.410723,0.4026338,3.284894,-0.030438,-0.2,-0.073476
-21.186914,0.59827924,3.4072227,-0.029067000000000003,-0.2,-0.0702
-21.895327,0.49692777,2.1177802,-0.018782,-0.2,-0.073629
-22.443409,1.2818955,3.5300531,-0.027696,-0.2,-0.066924
-23.220888,1.1646581,2.1773999,-0.017891999999999998,-0.2,-0.07019299999999999
-21.458511,0.23977558,0.717412,-0.0085068,-0.2,-0.07909
-22.185436,0.37812376,0.7457202,-0.008115100000000002,-0.2,-0.075562
-23.573648,1.0314361,0.72105736,-0.0077235,-0.2,-0.072034
-21.332338,0.15602896,-1.3573781,0.0028318,-0.2,-0.07950399999999999
-21.977995,0.25256956,-1.3739015,0.0027174,-0.2,-0.075959
-23.414585,0.88497007,-1.6332151,0.0026030000000000003,-0.2,-0.072413
-20.790586,0.07528905,-4.3218846,0.014116,-0.2,-0.078316
-21.343113,0.12879162,-4.4037075,0.013497,-0.2,-0.074816
-22.77957,0.7331088,-4.8609295,0.012877000000000001,-0.2,-0.071315
-19.860794,-0.059556037,-7.1146307,0.025106,-0.2,-0.075495
-20.322927,-0.051741913,-7.2335935,0.023997,-0.2,-0.072126
-21.706753,0.5798031,-7.886404,0.022889,-0.2,-0.068758
-18.579535,-0.23489173,-9.687105,0.035588999999999996,-0.2,-0.071156
-18.961506,-0.2892976,-9.828251,0.034010000000000006,-0.2,-0.067976
-20.24546,0.4293319,-10.652616,0.032431,-0.2,-0.06479700000000001
-16.985023,-0.42405844,-12.033999,0.04534,-0.2,-0.065357
-17.30308,-0.5152692,-12.195055,0.043327,-0.2,-0.062437
